鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,建物,桃園市桃園區重慶街1~30號,0.0,商,,,1100301,土地0建物1車位0,一層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0691007,47.01,0,0,0,無,有,無,27000,574,,0.0,0,,RPUOMLMJLHGGFAH87CC
桃園區,建物,桃園市桃園區鎮一街61~90號,0.0,住,,,1091219,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681020,86.04,3,2,2,有,無,有,18000,209,,0.0,0,社會住宅,RPUTMLMJLHGGFAH38CC
桃園區,建物,桃園市桃園區復興路61~90號,0.0,商,,,1100116,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0691007,25.77,0,0,0,無,無,有,6000,233,,0.0,0,社會住宅,RPWTMLMJLHGGFAH58CC
桃園區,建物,桃園市桃園區中埔六街91~120號,0.0,住,,,1100120,土地0建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880721,132.3,4,2,2,有,無,有,18500,140,,0.0,0,社會住宅,RPXTMLMJLHGGFAH68CC
桃園區,建物,桃園市桃園區水汴一路121~150號,0.0,商,,,1100101,土地0建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050701,74.28,0,0,0,無,無,有,18000,242,,0.0,0,社會住宅,RPQUMLMJLHGGFAH08CC
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段31~60號,35.65,住,,,1091031,土地1建物1車位1,一層,1,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040525,209.86,0,0,0,無,無,有,66000,314,坡道平面,32.06,0,,RPUOMLMJLHGGFBH97CC
中壢區,房地(土地+建物),桃園市中壢區中山東路三段31~60號,1.86,住,,,1100301,土地1建物1車位0,三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970428,23.72,2,1,1,有,有,有,13500,569,,0.0,0,,RPRPMLMJLHGGFBH77CC
中壢區,建物,桃園市中壢區永泰路151~180號,0.0,住,,,1100115,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000330,207.39000000000001,3,2,2,有,無,有,19800,95,,0.0,0,社會住宅租賃車位一個租金另計,RPUQMLMJLHGGFBH18CC
大園區,建物,桃園市大園區?林路361~390號,0.0,其他,,,1091225,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0821122,84.62,2,2,1,有,無,有,15000,177,,0.0,0,社會住宅,RPSOMLMJLHGGFEH08CC
