編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUTMLMJLHGGFAH38CC,41,86.04,住家用,鋼筋混凝土造,68年10月20日,五層,
RPUOMLMJLHGGFAH87CC,40,47.01,商業用,鋼筋混凝土造,69年10月7日,十二層,
RPXTMLMJLHGGFAH68CC,21,102.47,住家用,鋼筋混凝土造,88年7月21日,十四層,
RPXTMLMJLHGGFAH68CC,21,29.83,共有部份,鋼筋混凝土造,88年7月21日,十四層,
RPUOMLMJLHGGFBH97CC,5,142.66,見其他登記事項,鋼筋混凝土造,104年5月25日,二十一層,
RPUOMLMJLHGGFBH97CC,5,67.20,見其他登記事項,鋼筋混凝土造,104年5月25日,二十一層,
RPRPMLMJLHGGFBH77CC,13,23.72,住家用,鋼筋混凝土造,97年4月28日,二十四層,
RPSOMLMJLHGGFEH08CC,27,76.33,住家用,鋼筋混凝土造,82年11月22日,五層,
RPSOMLMJLHGGFEH08CC,27,8.29,共有部份,鋼筋混凝土造,82年11月22日,五層,
RPVOMLMJLHGGFGH58CC,23,77.86,住家用,鋼筋混凝土造,86年10月27日,八層,
RPVOMLMJLHGGFGH58CC,23,8.94,共有部份,鋼筋混凝土造,86年10月27日,八層,
RPVOMLMJLHGGFGH58CC,23,42.60,共有部份,鋼筋混凝土造,86年10月27日,八層,
RPWTMLMJLHGGFAH58CC,40,18.57,見其他登記事項,鋼筋混凝土造,69年10月7日,十二層,
RPWTMLMJLHGGFAH58CC,40,7.20,共有部份,鋼筋混凝土造,69年10月7日,十二層,
RPQUMLMJLHGGFAH08CC,5,49.82,住家用,鋼筋混凝土造,105年7月1日,十四層,
RPQUMLMJLHGGFAH08CC,5,24.46,見其他登記事項,鋼筋混凝土造,105年7月1日,十四層,
RPUQMLMJLHGGFBH18CC,10,150.21,住家用,鋼筋混凝土造,100年3月30日,十二層,
RPUQMLMJLHGGFBH18CC,10,23.56,見其他登記事項,鋼筋混凝土造,100年3月30日,十三層,
RPUQMLMJLHGGFBH18CC,10,14.17,見其他登記事項,鋼筋混凝土造,100年3月30日,十三層,
RPUQMLMJLHGGFBH18CC,10,19.45,見其他登記事項,鋼筋混凝土造,100年3月30日,十二層,
RPROMLNJLHGGFHH38CC,2,626.05,見其他登記事項,鋼筋混凝土造,108年1月17日,五層,
RPROMLNJLHGGFHH38CC,2,686.07,見其他登記事項,鋼筋混凝土造,108年1月17日,五層,
RPROMLNJLHGGFHH38CC,2,334.90,見其他登記事項,鋼筋混凝土造,108年1月17日,五層,
RPROMLNJLHGGFHH38CC,2,271.29,見其他登記事項,鋼筋混凝土造,108年1月17日,五層,
RPUOMLNJLHGGFHH68CC,27,86.79,住家用,鋼筋混凝土造,82年7月16日,八層,
RPUOMLNJLHGGFHH68CC,27,9.81,共有部份,鋼筋混凝土造,82年7月16日,八層,
RPUOMLNJLHGGFHH68CC,27,34.76,共有部份,鋼筋混凝土造,82年7月16日,八層,
RPUOMLNJLHGGFHH68CC,27,12.92,共有部份,鋼筋混凝土造,82年7月16日,八層,
RPORMLMJLHGGFBH77DC,23,38.32,見其他登記事項,鋼筋混凝土造,87年8月4日,十五層,
RPORMLMJLHGGFBH77DC,23,10.33,見其他登記事項,鋼筋混凝土造,87年8月4日,十五層,
RPUNMLNJLHGGFEH28CC,4,67.06,住家用,鋼筋混凝土造,106年5月1日,十一層,
RPORMLMJLHGGFBH77DC,23,2.03,見其他登記事項,鋼筋混凝土造,87年8月4日,十五層,
RPORMLMJLHGGFBH77DC,23,5.13,見其他登記事項,鋼筋混凝土造,87年8月4日,十五層,
RPUNMLNJLHGGFEH28CC,4,27.41,共有部份,鋼筋混凝土造,106年5月1日,十一層,
RPUPMLNJLHGGFEH48CC,27,95.74,住家用,鋼筋混凝土造,83年5月3日,九層,
RPUPMLNJLHGGFEH48CC,27,11.88,共有部份,鋼筋混凝土造,83年5月3日,九層,
RPUPMLNJLHGGFEH48CC,27,21.45,共有部份,鋼筋混凝土造,83年5月3日,九層,
RPPQMLNJLHGGFAH77DC,3,88.03,見其他登記事項,鋼筋混凝土造,107年5月15日,十一層,
RPWRMLNJLHGGFAH58DC,14,274.13,見其他登記事項,鋼筋混凝土造,96年8月21日,四層,
RPPOMLNJLHGGFEH87CC,7,120.82,住家用,鋼筋混凝土造,103年4月2日,十一層,
RPQNMLNJLHGGFFH97CC,27,124.90,商業用,鋼筋混凝土造,83年8月26日,七層,
RPQNMLNJLHGGFFH97CC,27,11.54,共有部分,鋼筋混凝土造,83年8月26日,七層,
RPQNMLNJLHGGFFH97CC,27,21.51,共有部分,鋼筋混凝土造,83年8月26日,七層,
RPTNMLNJLHGGFFH28CC,40,75.69,住家用,鋼筋混凝土造,69年10月2日,五層,
RPUNMLNJLHGGFFH38CC,27,105.53,住家用,鋼筋混凝土造,83年5月30日,五層,
RPUNMLNJLHGGFFH38CC,27,14.41,共有部分,鋼筋混凝土造,83年5月30日,五層,
RPSOMLNJLHGGFEH28DC,7,16.70,住家用,鋼筋混凝土造,103年3月7日,十層,
RPTOMLNJLHGGFEH38DC,26,56.54,住家用,鋼筋混凝土造,83年9月14日,五層,
RPVNMLOJLHGGFAH08CC,26,85.06,住家用,鋼筋混凝土造,83年10月5日,十七層,
RPVNMLOJLHGGFAH08CC,26,2.79,共有部份,鋼筋混凝土造,83年10月5日,十七層,
RPVNMLOJLHGGFAH08CC,26,12.94,共有部份,鋼筋混凝土造,83年10月5日,十七層,
RPRNMLNJLHGGFBH67CC,13,32.78,住家用,鋼筋混凝土造,97年4月6日,二十二層,
RPRNMLNJLHGGFBH67CC,13,1.92,共有部分,鋼筋混凝土造,97年4月6日,二十二層,
