編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUOMLMJLHGGFBH97CC,坡道平面,0,32.06,
RPROMLNJLHGGFHH38CC,坡道平面,0,,
RPROMLNJLHGGFHH38CC,坡道平面,0,,
RPROMLNJLHGGFHH38CC,坡道平面,0,,
RPROMLNJLHGGFHH38CC,坡道平面,0,,
RPPOMLNJLHGGFEH87CC,坡道平面,0,57.81,
RPPOMLNJLHGGFEH87CC,坡道平面,0,57.81,
RPVQMLNJLHGGFAH28CC,坡道平面,0,22.34,
RPSQMLNJLHGGFBH08CC,坡道平面,0,30.76,
RPUOMLOJLHGGFBH18CC,坡道平面,2500,,
RPQOMLOJLHGGFGH28CC,升降機械,1000,,
RPVOMLPJLHGGFHH98CC,坡道平面,0,29.88,
RPPNMLQJLHGGFGH28CC,坡道平面,0,,
RPPNMLQJLHGGFGH28CC,坡道平面,0,,
RPPNMLQJLHGGFGH28CC,坡道平面,0,,
RPPNMLQJLHGGFGH28CC,坡道平面,0,,
RPPNMLQJLHGGFGH28CC,坡道平面,0,,
RPPNMLQJLHGGFGH28CC,坡道平面,0,,
RPPNMLRJLHGGFAH77CC,坡道平面,0,40.77,
RPOPMLSJLHGGFAH97CC,坡道平面,2500,,
RPTOMLSJLHGGFAH38CC,坡道平面,0,,
RPTOMLSJLHGGFAH38CC,坡道平面,0,,
RPTOMLSJLHGGFAH38CC,坡道平面,0,,
RPRNMLSJLHGGFGH68CC,坡道平面,0,40.71,
RPVOMLSJLHGGFEH09DC,坡道平面,0,,
RPPOMLTJLHGGFEH48CC,坡道平面,2200,,
RPTRMLTJLHGGFBH98DC,坡道平面,0,39.26,
RPSRMLTJLHGGFAH78DC,坡道平面,0,,
RPSRMLTJLHGGFAH78DC,坡道平面,0,,
RPPQMLTJLHGGFBH38CC,坡道平面,500,,
RPSRMLKKLHGGFAH87CC,坡道平面,0,,
RPTPMLKKLHGGFBH87CC,坡道平面,0,7.78,
RPTPMLKKLHGGFBH87CC,坡道平面,0,7.78,
RPTNMLKKLHGGFGH18CC,坡道平面,0,,
RPVOMLKKLHGGFEH28CC,坡道平面,0,,
RPVOMLKKLHGGFEH28CC,坡道平面,0,,
RPTOMLKKLHGGFFH18CC,坡道平面,0,,
RPUOMLKKLHGGFFH28CC,坡道平面,0,,
