鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
嘉義市,房地(土地+建物),台斗街91~120號,22.86,都市：其他:住宅區,,,1100207,土地3建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811006,117.47,3,2,2,有,有,3650000,31072,,0.0,0,,RPQOMLNLKHGGFAI67DA,89.54,0.62,9.67,有,01
嘉義市,房地(土地+建物),吳鳳南路166巷1~30號,82.0,都市：其他:住宅區,,,1100318,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0590723,74.94,3,2,1,有,無,2450000,32693,,0.0,0,其他增建；,RPOPMLNLLHGGFAI67DA,74.94,0.0,0.0,無,
嘉義市,房地(土地+建物),杭州四街61~90號,12.18,都市：其他:住宅區,,,1100103,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780117,54.56,1,0,1,有,有,2100000,38490,,0.0,0,,RPPOMLPLLHGGFAI87DA,47.22,0.0,0.0,有,02
嘉義市,房地(土地+建物)+車位,仁愛路240巷1~30號,34.25,都市：其他:住宅區,,,1100316,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931029,185.17000000000002,3,2,2,有,有,4380000,23654,坡道平面,0.0,0,,RPTNMLQLLHGGFAI28DA,101.27,0.0,12.92,有,
嘉義市,房地(土地+建物),青年街1~30號,23.46,都市：其他:住宅區,,,1100305,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790809,117.91,3,2,2,有,有,1680000,14248,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSLLHGGFAI08DA,79.0,0.0,11.77,有,
嘉義市,房地(土地+建物),興業東路175巷1~30號,59.0,都市：其他:住宅區,,,1100302,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0601203,95.09,3,2,1,有,無,5700000,59943,,0.0,0,其他增建；,RPUOMLTLLHGGFAI78DA,91.25,3.84,0.0,無,
嘉義市,房地(土地+建物),劉富街130巷1~30號,83.23,都市：其他:住宅區,,,1100227,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0841222,196.08,3,2,3,有,無,8400000,42840,,0.0,0,,RPWOMLTLLHGGFAI98DA,158.58,25.5,12.0,無,
嘉義市,房地(土地+建物),國華街61~90號,93.0,都市：其他:住宅區,,,1100310,土地1建物1車位0,全,四層,透天厝,店舖，住宅，梯間，辦公室,鋼筋混凝土造,0960824,241.81,4,2,6,有,無,17600000,72784,,0.0,0,,RPQNMLKMLHGGFAI47DA,216.99,0.0,24.82,無,03
嘉義市,房地(土地+建物),彌陀路151~180號,8.16,都市：其他:住宅區,,,1100208,土地1建物1車位0,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850311,105.88000000000001,3,1,1,有,有,2600000,24556,,0.0,0,,RPRNMLKMLHGGFAI57DA,75.99,0.0,7.3,有,
嘉義市,土地,竹圍子段241~270地號,53.67,都市：其他:住宅區,,,1100112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2870000,53475,,0.0,0,,RPVNMLKMLHGGFAI97DA,0.0,0.0,0.0,無,04
嘉義市,房地(土地+建物),友忠路827巷2弄1~30號,122.0,都市：其他:住宅區,,,1100317,土地1建物1車位0,全,一層,透天厝,住家用,木石磚造（雜木）,0470720,77.72,2,1,1,有,無,7382000,94982,,0.0,0,,RPWNMLKMLHGGFAI18EA,77.72,0.0,0.0,無,
嘉義市,土地,車店段451~480地號,123.5,都市：其他:住宅區,,,1080812,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7472000,60502,,0.0,0,未登記建物；,RPSNMLLMLHGGFAI87EA,0.0,0.0,0.0,無,05
嘉義市,土地,竹圍子段1~30地號,1302.0,都市：其他:住宅區,,,1100210,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,63016800,48400,,0.0,0,,RPWNMLLMLHGGFAI28EA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),義教東路128巷31~60號,139.3,都市：其他:住宅區,,,1100210,土地2建物1車位0,全,四層,透天厝,住宅，梯間，停車空間,鋼筋混凝土造,0960523,226.23,5,2,2,有,無,12500000,55254,,0.0,0,,RPPOMLLMLHGGFAI67EA,206.49,0.0,19.74,無,06
嘉義市,房地(土地+建物),林森東路364巷15弄31~60號,72.0,都市：其他:住宅區,,,1100303,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660202,88.96,4,2,2,有,無,4500000,50585,,0.0,0,含土地增值稅或其他稅費；親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPROMLLMLHGGFAI87EA,88.96,0.0,0.0,無,
嘉義市,房地(土地+建物),健康十六街31~60號,115.0,都市：其他:住宅區,,,1100310,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土構造,1090603,215.5,4,3,5,有,無,13300000,61717,,0.0,0,,RPRNMLLJMHGGFAI47DA,194.19,0.0,21.31,無,
嘉義市,房地(土地+建物),保成路121~150號,117.0,都市：其他:住宅區,,,1100321,土地2建物1車位0,全,四層,透天厝,住宅、停車空間,鋼筋混凝土構造,1080625,269.17,5,3,6,有,無,18880000,70142,,0.0,0,,RPTNMLLJMHGGFAI67DA,242.46,0.0,26.72,無,
嘉義市,房地(土地+建物),小雅路331~360號,3.39,都市：其他:住宅區,,,1100321,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,26.93,1,1,1,有,無,950000,35277,,0.0,0,,RPXNMLKMLHGGFAI18DA,15.96,0.0,2.28,有,07
嘉義市,土地,盧東段841~870地號,407.71,都市：其他:農業區,,,1100205,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3699000,9073,,0.0,0,,RPQOMLKMLHGGFAI57DA,0.0,0.0,0.0,無,08
嘉義市,房地(土地+建物),興安街203巷19弄1~30號,92.0,都市：其他:道路用地,,,1100313,土地4建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土木磚造,0880622,95.46,4,2,2,有,無,6060000,63482,,0.0,0,,RPRNMLLMLHGGFAI67DA,95.46,0.0,0.0,無,
嘉義市,房地(土地+建物),興美五街151~180號,245.97,都市：其他:住宅區,,,1080416,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土構造,1091113,354.25,4,3,5,有,無,25800000,72830,,0.0,0,,RPVNMLLMLHGGFAI08DA,308.76,0.0,45.49,無,
嘉義市,房地(土地+建物),吳鳳南路621巷49弄1~30號,133.0,都市：其他:住宅區,,,1100313,土地1建物1車位0,全,三層,透天厝,住宅、樓梯間,鋼筋混凝土構造,1091208,229.14,4,3,3,有,無,14200000,61971,,0.0,0,,RPQNMLPLLHGGFAI87DA,213.72,0.0,15.42,無,
嘉義市,房地(土地+建物),博愛路一段482巷1~30號,22.18,都市：其他:住宅區,,,1100227,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840125,129.14000000000001,3,2,2,有,有,5500000,42589,,0.0,0,,RPQOMLOJLHGGFAI67DA,78.04,1.23,18.35,有,09
嘉義市,房地(土地+建物),杭州四街61~90號,29.23,都市：其他:住宅區,,,1100227,土地1建物1車位0,四層，走廊,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780117,127.19,4,2,2,有,有,4200000,33021,,0.0,0,陽台外推；,RPOPMLOJLHGGFAI57DA,99.83,0.0,11.41,有,10
嘉義市,房地(土地+建物),民生南路331~360號,52.56,都市：其他:住宅區,,,1100308,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741214,104.49000000000001,5,3,3,有,無,1900000,18184,,0.0,0,頂樓加蓋；,RPSOMLMKLHGGFAI77DA,91.56,0.0,0.0,無,
嘉義市,房地(土地+建物),永安街390巷1~30號,26.4,都市：其他:住宅區,,,1100312,土地1建物1車位0,全,二層,透天厝,住家用,木造,0611007,40.91,4,1,1,有,無,1500000,36666,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUOMLQKLHGGFAI38DA,40.92,0.0,0.0,無,
嘉義市,房地(土地+建物),上海路61~90號,33.16,都市：其他:住宅區,,,1100203,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0730220,78.48,3,1,2,有,無,4000000,50968,,0.0,0,,RPROMLSKLHGGFAI28DA,78.48,0.0,0.0,無,11
嘉義市,房地(土地+建物)+車位,頂福街1~30號,31.57,都市：其他:住宅區,,,1100320,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830718,142.18,3,2,2,有,有,4800000,33760,坡道平面,26.0,0,,RPPNMLKLLHGGFAI27DA,90.44,1.02,10.27,有,
