編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLPLLHGGFAI87DA,32,47.22,住家用,鋼筋混凝土造,78年1月17日,七層,五層
RPPOMLPLLHGGFAI87DA,32,7.34,共有部份,鋼筋混凝土造,78年1月17日,七層,
RPOPMLNLLHGGFAI67DA,51,74.94,住家用,鋼筋混凝土加強磚造,59年7月23日,二層,一層 二層
RPTNMLQLLHGGFAI28DA,16,114.19,住家用,鋼筋混凝土造,93年10月29日,十四層,十四層
RPUOMLTLLHGGFAI78DA,49,95.09,住家用,鋼筋混凝土加強磚造,60年12月3日,二層,一層 二層 騎樓
RPTNMLQLLHGGFAI28DA,16,70.98,共有部份,鋼筋混凝土造,93年10月29日,十四層,
RPWOMLTLLHGGFAI98DA,25,196.08,住家用,鋼筋混凝土造,84年12月22日,四層,一層 二層 三層 四層
RPQNMLKMLHGGFAI47DA,14,241.81,見其他登記事項,鋼筋混凝土造,96年8月24日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLSLLHGGFAI08DA,31,45.38,住家用,鋼筋混凝土造,79年8月9日,七層,六層
RPPNMLSLLHGGFAI08DA,31,45.38,住家用,鋼筋混凝土造,79年8月9日,七層,六層
RPPNMLSLLHGGFAI08DA,31,13.57,共有部份,鋼筋混凝土造,79年8月9日,七層,
RPPNMLSLLHGGFAI08DA,31,13.57,共有部份,鋼筋混凝土造,79年8月9日,七層,
RPRNMLKMLHGGFAI57DA,25,83.29,住家用,鋼筋混凝土造,85年3月11日,二十層,八層
RPRNMLKMLHGGFAI57DA,25,22.59,共有部份,鋼筋混凝土造,85年3月11日,二十層,
RPQOMLNLKHGGFAI67DA,28,88.67,住家用,鋼筋混凝土造,81年10月6日,七層,七層
RPQOMLNLKHGGFAI67DA,28,13.92,共有部份,鋼筋混凝土造,81年10月6日,七層,
RPQOMLNLKHGGFAI67DA,28,11.16,見其他登記事項,鋼筋混凝土造,81年10月6日,七層,地下層
RPQOMLNLKHGGFAI67DA,28,3.72,,鋼筋混凝土造,81年10月6日,七層,
RPQOMLNLKHGGFAI67DA,28,.00,,鋼筋混凝土造,81年10月6日,七層,
