交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),嘉義市嘉義市臺斗街91~120號,1070607,土地3建物1車位0,七層,七層,華廈(10層含以下有電梯),26,117.47,3,2,2,有,有,3500000,29795,0,01
房地(土地+建物),台斗街91~120號,1100207,土地3建物1車位0,七層,七層,華廈(10層含以下有電梯),28,117.47,3,2,2,有,有,3650000,31072,0,01
房地(土地+建物),嘉義市嘉義市杭州四街61~90號,1081103,土地1建物1車位0,五層,七層,套房(1房1廳1衛),31,54.56,1,1,1,有,有,1680000,30792,0,02
房地(土地+建物),杭州四街61~90號,1100103,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),32,54.56,1,0,1,有,有,2100000,38490,0,02
房地(土地+建物),嘉義市嘉義巿國華街61~90號,1041010,土地1建物1車位0,全,四層,透天厝,8,241.81,4,2,4,有,無,15000000,62032,0,03
房地(土地+建物),國華街61~90號,1100310,土地1建物1車位0,全,四層,透天厝,14,241.81,4,2,6,有,無,17600000,72784,0,03
土地,竹圍子段241~270地號,1061112,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5730000,53387,0,04
土地,竹圍子段241~270地號,1100112,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2870000,53475,0,04
土地,車店段451~480地號,1080312,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,2116638,60510,0,05
土地,車店段451~480地號,1080812,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,688000,60563,0,05
土地,車店段451~480地號,1080812,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7472000,60502,0,05
房地(土地+建物),嘉義市嘉義市義教東路128巷31~60號,1060410,土地2建物1車位0,全,四層,透天厝,10,226.23,5,2,5,有,無,10000000,44203,0,06
房地(土地+建物),義教東路128巷31~60號,1100210,土地2建物1車位0,全,四層,透天厝,14,226.23,5,2,2,有,無,12500000,55254,0,06
房地(土地+建物),嘉義市嘉義巿小雅路331~360號,1020821,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),20,26.93,1,1,1,有,無,450000,16710,0,07
房地(土地+建物),嘉義市嘉義市小雅路331~360號,1080721,土地1建物1車位0,十一層,十二層,套房(1房1廳1衛),26,26.93,1,1,1,有,有,600000,22280,0,07
房地(土地+建物),小雅路331~360號,1100321,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),28,26.93,1,1,1,有,無,950000,35277,0,07
土地,盧東段841~870地號,1080805,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,12977721,7865,0,08
土地,盧東段841~870地號,1090605,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3520000,8449,0,08
土地,盧東段841~870地號,1090705,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3269000,7864,0,08
土地,盧東段841~870地號,1090805,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,6390000,7862,0,08
土地,盧東段841~870地號,1090705,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4000000,7831,0,08
土地,盧東段841~870地號,1090705,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1605760,7864,0,08
土地,盧東段841~870地號,1090805,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3130000,7677,0,08
土地,盧東段841~870地號,1090705,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3180000,7851,0,08
土地,盧東段841~870地號,1100205,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3699000,9073,0,08
房地(土地+建物),博愛路一段482巷1~30號,1091227,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),26,129.14000000000001,3,2,2,有,有,3400000,26328,0,09
房地(土地+建物),博愛路一段482巷1~30號,1100227,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),26,129.14000000000001,3,2,2,有,有,5500000,42589,0,09
房地(土地+建物),嘉義市嘉義巿杭州四街61~90號,1020627,土地1建物1車位0,四層，走廊,七層,華廈(10層含以下有電梯),24,127.19,3,2,2,有,有,3020000,23744,0,10
房地(土地+建物),杭州四街61~90號,1100227,土地1建物1車位0,四層，走廊,七層,華廈(10層含以下有電梯),32,127.19,4,2,2,有,有,4200000,33021,0,10
房地(土地+建物),嘉義市嘉義巿上海路61~90號,1030103,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),30,78.48,3,2,2,有,無,2000000,25484,0,11
房地(土地+建物),上海路61~90號,1100203,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),37,78.48,3,1,2,有,無,4000000,50968,0,11
土地,港子坪段241~270地號,1080620,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,24901800,63525,0,12
土地,港子坪段241~270地號,1090820,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,23884000,84695,0,12
房地(土地+建物),嘉義市嘉義巿友愛路541~570號,1031224,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),19,37.7,1,1,1,有,無,900000,23873,0,13
房地(土地+建物),嘉義市嘉義市友愛路541~570號,1060824,土地1建物1車位0,十二層,十四層,套房(1房1廳1衛),22,37.7,1,1,1,有,有,1225000,32493,0,13
房地(土地+建物),友愛路541~570號,1100324,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),26,37.7,1,1,1,有,有,1250000,33156,0,13
房地(土地+建物),嘉義市嘉義巿興業西路181~210號,1041208,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),11,169.32,3,1,2,有,有,3662917,21633,0,14
房地(土地+建物)+車位,興業西路181~210號,1100308,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),16,169.32,3,2,2,有,有,6000000,35436,0,14
房地(土地+建物),嘉義市嘉義市軍輝路91巷31~60號,1090306,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),27,129.67000000000002,3,2,2,有,有,2220000,17120,0,15
房地(土地+建物),軍輝路91巷31~60號,1100206,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),28,129.67000000000002,3,2,2,有,無,3550000,27377,0,15
房地(土地+建物),嘉義市嘉義巿荖藤里1鄰荖藤宅1~30號,1040409,土地1建物1車位0,全,二層,透天厝,33,123.08,3,2,2,有,無,3370000,27381,0,16
房地(土地+建物),嘉義市嘉義巿荖藤里1鄰荖藤宅1~30號,1041109,土地1建物1車位0,全,二層,透天厝,33,123.08,4,2,3,有,無,5500000,44686,0,16
