鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
竹北市,房地(土地+建物)+車位,北新一街1~30號,9.56,都市：其他:第三種商業區,,,1081120,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091225,122.63,2,1,1,有,有,7100000,61682,坡道平面,29.41,1350000,其他                    ；預售屋、或土地及建物分次登記案件；,RPRPMLSKKHGGFBJ48DA,57.48,0.0,5.64,有,
竹北市,房地(土地+建物)+車位,北新一街1~30號,14.65,都市：其他:第三種商業區,,,1090801,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091225,163.47,3,2,2,有,有,10500000,67507,坡道平面,29.41,1450000,預售屋、或土地及建物分次登記案件；,RPWPMLSKKHGGFBJ98DA,79.44,0.0,11.34,有,
竹北市,房地(土地+建物)+車位,北新一街1~30號,11.47,都市：其他:第三種商業區,,,1090605,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091225,131.07,2,1,1,有,有,7700000,62955,坡道平面,29.41,1300000,含裝潢費20000元；預售屋、或土地及建物分次登記案件；,RPPQMLSKKHGGFBJ38DA,62.8,0.0,6.06,有,
竹北市,房地(土地+建物)+車位,北新一街1~30號,14.01,都市：其他:第三種商業區,,,1090610,土地1建物1車位1,三層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091225,153.42000000000002,3,2,2,有,有,9230000,63140,坡道平面,29.41,1400000,預售屋、或土地及建物分次登記案件；,RPXQMLSKKHGGFBJ56DA,78.29,0.0,5.82,有,
竹北市,房地(土地+建物)+車位,北新一街1~30號,10.83,都市：其他:第三種商業區,,,1090806,土地1建物1車位1,九層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091225,127.83,2,1,1,有,有,7200000,59947,坡道平面,29.41,1300000,預售屋、或土地及建物分次登記案件；,RPURMLSKKHGGFBJ98DA,62.09,0.0,4.88,有,
竹北市,房地(土地+建物)+車位,北新一街1~30號,10.83,都市：其他:第三種商業區,,,1080610,土地1建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091225,123.81,2,1,1,有,有,7000000,59852,坡道平面,29.41,1350000,預售屋、或土地及建物分次登記案件；,RPRSMLSKKHGGFBJ78DA,57.48,0.0,6.49,有,
竹北市,房地(土地+建物)+車位,北新一街1~30號,11.47,都市：其他:第三種商業區,,,1091012,土地1建物1車位1,十六層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091225,129.19,2,1,1,有,有,7980000,66501,坡道平面,28.74,1300000,預售屋、或土地及建物分次登記案件；,RPUTMLSKKHGGFBJ56DA,62.63,0.0,5.36,有,
竹北市,房地(土地+建物)+車位,北新一街1~30號,10.83,都市：其他:第三種商業區,,,1080820,土地1建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091225,123.81,2,1,1,有,有,6900000,58792,坡道平面,29.41,1350000,預售屋、或土地及建物分次登記案件；,RPXNMLTKKHGGFBJ98DA,57.48,0.0,6.49,有,
竹北市,房地(土地+建物)+車位,北新一街1~30號,11.47,都市：其他:第三種商業區,,,1090325,土地1建物1車位1,八層,二十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091225,130.03,2,1,1,有,有,7250000,58140,坡道平面,29.41,1400000,含裝潢費20000元；預售屋、或土地及建物分次登記案件；,RPUOMLTKKHGGFBJ78DA,62.8,0.0,5.36,有,
