編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPQMLSKKHGGFBJ38DA,,68.86,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,十二層
RPPQMLSKKHGGFBJ38DA,,62.21,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPWPMLSKKHGGFBJ98DA,,90.78,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,二十層
RPWPMLSKKHGGFBJ98DA,,72.69,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPURMLSKKHGGFBJ98DA,,66.97,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,九層
RPURMLSKKHGGFBJ98DA,,60.86,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPUTMLSKKHGGFBJ56DA,,67.99,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,十六層
RPUTMLSKKHGGFBJ56DA,,61.20,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPRSMLSKKHGGFBJ78DA,,63.97,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,八層
RPRSMLSKKHGGFBJ78DA,,59.84,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPUOMLTKKHGGFBJ78DA,,68.16,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,八層
RPUOMLTKKHGGFBJ78DA,,61.87,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPXNMLTKKHGGFBJ98DA,,63.97,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,四層
RPXNMLTKKHGGFBJ98DA,,59.84,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPXQMLSKKHGGFBJ56DA,,42.05,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,三層
RPXQMLSKKHGGFBJ56DA,,42.05,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,三層
RPXQMLSKKHGGFBJ56DA,,34.65,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPXQMLSKKHGGFBJ56DA,,34.65,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPWOMLTKKHGGFBJ98DA,,34.08,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,十二層
RPWOMLTKKHGGFBJ98DA,,34.08,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,十二層
RPWOMLTKKHGGFBJ98DA,,30.94,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPWOMLTKKHGGFBJ98DA,,30.94,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPRPMLSKKHGGFBJ48DA,,31.56,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,十二層
RPRPMLSKKHGGFBJ48DA,,31.56,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,十二層
RPRPMLSKKHGGFBJ48DA,,29.75,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPRPMLSKKHGGFBJ48DA,,29.75,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPOQMLTKKHGGFBJ38DA,,67.95,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,九層
RPOQMLTKKHGGFBJ38DA,,61.20,本共有部分之項目有停車空間、防空避難室兼停車空間、管委會空間、防災中心、梯間、機房、水箱等七項。,鋼筋混凝土造,109年12月25日,二十四層,
RPSPMLTKKHGGFBJ68DA,,63.97,集合住宅,鋼筋混凝土造,109年12月25日,二十四層,五層
