交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,新竹縣竹北市勝利八街一段211~240號,1050725,土地1建物1車位1,十七層,二十七層,住宅大樓(11層含以上有電梯),0,115.12,2,1,1,有,有,8090000,83695,950000,001
房地(土地+建物)+車位,勝利八街一段211~240號,1100125,土地1建物1車位1,十七層,二十七層,住宅大樓(11層含以上有電梯),5,115.12,2,1,1,有,有,9150000,79482,0,001
土地,溪洲段1021~1050地號,1021207,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,20000000,12399,0,002
土地,溪洲段1021~1050地號,1100107,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,32600000,20211,0,002
房地(土地+建物)+車位,新竹縣竹北市六家五路二段271~300號,1011021,土地1建物1車位2,十九層,二十五層,住宅大樓(11層含以上有電梯),0,163.91,3,2,2,有,有,12600000,110228,2200000,003
房地(土地+建物)+車位,六家五路二段271~300號,1100221,土地1建物1車位2,十九層,二十五層,住宅大樓(11層含以上有電梯),8,233.47,3,2,2,有,有,18300000,78383,0,003
房地(土地+建物),新竹縣竹北市中山二街18巷1~30號,1040709,土地2建物1車位0,全,四層,透天厝,0,216.26,4,2,4,有,無,15800000,73060,0,004
房地(土地+建物),中山二街18巷1~30號,1100209,土地2建物1車位0,全,四層,透天厝,5,216.26,4,2,4,有,有,16880000,78054,0,004
車位,新竹縣竹北市光明六路東二段421~450號,1060822,土地0建物0車位1,,,其他,0,26.86,0,0,0,有,有,1200000,,1200000,005
車位,新竹縣竹北市光明六路東二段421~450號,1061022,土地0建物0車位1,,,其他,0,26.86,0,0,0,有,有,1100000,,1100000,005
車位,新竹縣竹北市光明六路東二段421~450號,1070622,土地0建物0車位1,,,其他,0,26.86,0,0,0,有,有,1300000,,1300000,005
車位,新竹縣竹北市光明六路東二段421~450號,1070822,土地0建物0車位1,,,其他,0,26.86,0,0,0,有,有,1500000,,1500000,005
車位,新竹縣竹北市光明六路東二段等號,1070922,土地0建物0車位1,,,其他,0,26.86,0,0,0,有,有,1500000,,1500000,005
車位,新竹縣竹北市光明東路二段421~450號,1080222,土地0建物0車位2,,,其他,0,53.72,0,0,0,有,有,2100000,,2100000,005
車位,新竹縣竹北市光明六路東二段421~450號,1080322,土地0建物0車位1,,,其他,0,26.86,0,0,0,有,有,1300000,,1300000,005
車位,新竹縣竹北市光明六路東二段421~450號,1081022,土地0建物0車位1,,,其他,0,26.86,0,0,0,有,有,1100000,,1100000,005
車位,光明六路東二段421~450號,1100222,土地1建物1車位1,,,其他,-1,0.0,0,0,0,有,有,1000000,,1000000,005
房地(土地+建物),新竹縣新埔鎮大享路130巷31~60號,1050409,土地6建物1車位0,全,三層,透天厝,0,227.01,4,2,4,有,有,18800000,82816,0,006
房地(土地+建物),大享路130巷31~60號,1100209,土地6建物1車位0,全,三層,透天厝,5,227.01,5,2,4,有,有,21600000,95150,0,006
房地(土地+建物)+車位,新竹縣竹北市高鐵七路61~90號,1020418,土地1建物1車位2,十五層,十八層,辦公商業大樓,3,167.54,1,0,1,有,有,8770000,52346,0,007
房地(土地+建物)+車位,新竹縣竹北市高鐵七路61~90號,1090118,土地1建物1車位2,十五層,十八層,辦公商業大樓,10,167.54,0,0,0,無,有,8250000,49242,0,007
房地(土地+建物)+車位,高鐵七路61~90號,1100318,土地1建物1車位2,十五層,十八層,住宅大樓(11層含以上有電梯),11,167.54,0,0,0,無,有,8250000,49242,0,007
車位,台元街31~60號,1091018,土地1建物1車位1,一層,十四層,其他,12,28.84,0,0,0,有,有,650000,,650000,008
車位,台元街31~60號,1100318,土地1建物1車位1,一層,十四層,其他,12,28.84,0,0,0,有,有,550000,,550000,008
車位,台元街31~60號,1100318,土地1建物1車位2,一層,十四層,其他,13,57.68,0,0,0,有,有,1300000,,1300000,008
房地(土地+建物),新竹縣竹北市縣政十街91~120號,1011019,土地1建物1車位0,四層,八層,套房(1房1廳1衛),18,36.81,1,1,1,有,有,2000000,54333,0,009
房地(土地+建物),新竹縣竹北市縣政十街91~120號,1030119,土地1建物1車位0,四層,八層,套房(1房1廳1衛),19,36.81,1,1,1,有,有,2450000,66558,0,009
房地(土地+建物),縣政十街91~120號,1100319,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),26,36.81,1,1,1,有,有,2100000,57050,0,009
房地(土地+建物)+車位,中興路四段721~750號,1090808,土地1建物1車位1,一層,四層,華廈(10層含以下有電梯),0,132.75,2,2,2,有,有,9800000,89839,1100000,011
房地(土地+建物)+車位,中興路四段721~750號,1100308,土地1建物1車位2,二層,四層,華廈(10層含以下有電梯),0,208.23000000000002,3,2,2,有,有,14580000,90122,2400000,011
土地,富貴段511~540地號,1090208,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,7986000,45370,0,012
土地,富貴段511~540地號,1091108,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1091008,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090808,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090708,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090808,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1091108,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090808,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1091208,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1091008,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1091108,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090508,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1091208,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1091208,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090508,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1091008,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090708,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090608,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090908,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090608,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090608,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1091208,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090908,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090608,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090708,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090508,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1091008,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090608,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1091208,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1091008,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1090608,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1091108,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1100208,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1100108,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1100208,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1100208,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1100208,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
土地,富貴段511~540地號,1100308,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,220000,47516,0,012
房地(土地+建物),新竹縣竹東鎮和江街439巷3弄1~30號,1051228,土地3建物1車位0,全,四層,透天厝,2,201.0,4,2,4,有,有,10800000,53731,0,013
