編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPPQMLSKKHGGFBJ38DA,水瀧段,11.47,都市：其他:第三種商業區,10000,18,持分移轉
RPWPMLSKKHGGFBJ98DA,水瀧段,14.65,都市：其他:第三種商業區,10000,23,持分移轉
RPURMLSKKHGGFBJ98DA,水瀧段,10.83,都市：其他:第三種商業區,10000,17,持分移轉
RPUTMLSKKHGGFBJ56DA,水瀧段,11.47,都市：其他:第三種商業區,10000,18,持分移轉
RPRSMLSKKHGGFBJ78DA,水瀧段,10.83,都市：其他:第三種商業區,10000,17,持分移轉
RPUOMLTKKHGGFBJ78DA,水瀧段,11.47,都市：其他:第三種商業區,10000,18,持分移轉
RPXNMLTKKHGGFBJ98DA,水瀧段,10.83,都市：其他:第三種商業區,10000,17,持分移轉
RPXQMLSKKHGGFBJ56DA,水瀧段,14.01,都市：其他:第三種商業區,10000,22,持分移轉
RPWOMLTKKHGGFBJ98DA,水瀧段,11.47,都市：其他:第三種商業區,10000,18,持分移轉
RPRPMLSKKHGGFBJ48DA,水瀧段,9.56,都市：其他:第三種商業區,10000,15,持分移轉
RPOQMLTKKHGGFBJ38DA,水瀧段,11.47,都市：其他:第三種商業區,10000,18,持分移轉
RPSPMLTKKHGGFBJ68DA,水瀧段,10.83,都市：其他:第三種商業區,10000,17,持分移轉
RPQPMLTKKHGGFBJ48DA,水瀧段,14.01,都市：其他:第三種商業區,10000,22,持分移轉
RPVPMLRLJHGGFBJ78DA,莊敬段,8.68,都市：其他:第二種商業區,100000,99,持分移轉
RPUNMLQLJHGGFBJ38DA,世興段,58.99,都市：其他:第二種商業區,100000,1286,持分移轉
RPVRMLTKKHGGFBJ56DA,水瀧段,15.29,都市：其他:第三種商業區,10000,24,持分移轉
RPWNMLSLJHGGFBJ78DA,水瀧段,15.93,都市：其他:第三種商業區,10000,25,持分移轉
