編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPQMLSKKHGGFBJ38DA,坡道平面,1300000,29.41,
RPWPMLSKKHGGFBJ98DA,坡道平面,1450000,29.41,
RPURMLSKKHGGFBJ98DA,坡道平面,1300000,29.41,
RPUTMLSKKHGGFBJ56DA,坡道平面,1300000,28.74,
RPRSMLSKKHGGFBJ78DA,坡道平面,1350000,29.41,
RPUOMLTKKHGGFBJ78DA,坡道平面,1400000,29.41,
RPXNMLTKKHGGFBJ98DA,坡道平面,1350000,29.41,
RPXQMLSKKHGGFBJ56DA,坡道平面,1400000,29.41,
RPWOMLTKKHGGFBJ98DA,坡道平面,1400000,29.41,
RPRPMLSKKHGGFBJ48DA,坡道平面,1350000,29.41,
RPOQMLTKKHGGFBJ38DA,坡道平面,1300000,28.74,
RPSPMLTKKHGGFBJ68DA,坡道平面,1300000,29.41,
RPQPMLTKKHGGFBJ48DA,坡道平面,1350000,29.41,
RPVPMLRLJHGGFBJ78DA,坡道平面,0,29.81,
RPUNMLQLJHGGFBJ38DA,坡道平面,0,26.86,
RPUNMLQLJHGGFBJ38DA,坡道平面,0,26.86,
RPUNMLQLJHGGFBJ38DA,坡道平面,0,26.86,
RPVRMLTKKHGGFBJ56DA,坡道平面,1300000,29.41,
RPVRMLTKKHGGFBJ56DA,坡道平面,1300000,29.41,
RPWNMLSLJHGGFBJ78DA,坡道平面,1450000,29.41,
RPVOMLSLJHGGFBJ78DA,坡道平面,1350000,29.41,
RPRTMLTLJHGGFBJ98DA,坡道平面,1400000,29.41,
RPSOMLTLJHGGFBJ58DA,坡道平面,1350000,29.41,
RPVOMLPJKHGGFBJ38DA,坡道機械,0,,
RPOTNLMJKHGGFBJ97DA,坡道平面,1400000,34.78,
RPOTNLMJKHGGFBJ97DA,坡道平面,1300000,34.78,
RPPTMLTKKHGGFBJ78DA,坡道平面,1400000,29.41,
RPUTMLTKKHGGFBJ66DA,坡道平面,1400000,29.41,
RPPNMLLLLHGGFBJ57DA,坡道平面,1350000,29.41,
RPWTMLTKKHGGFBJ86DA,坡道平面,1350000,29.41,
RPXTMLTKKHGGFBJ96DA,坡道平面,1350000,29.41,
RPOUMLTKKHGGFBJ78DA,坡道平面,1350000,29.41,
RPQNMLLLLHGGFBJ67DA,坡道平面,1350000,29.41,
RPRNMLLLLHGGFBJ77DA,坡道平面,1450000,29.41,
RPRNMLLLLHGGFBJ77DA,坡道平面,1450000,29.41,
RPSNMLLLLHGGFBJ87DA,坡道平面,1350000,29.41,
RPTNMLLLLHGGFBJ97DA,坡道平面,1350000,30.77,
RPUNMLLLLHGGFBJ08DA,坡道平面,1250000,30.77,
RPVNMLLLLHGGFBJ18DA,坡道平面,1400000,28.74,
RPWNMLLLLHGGFBJ28DA,坡道平面,1350000,30.77,
RPOOMLLLLHGGFBJ57DA,坡道平面,1450000,29.41,
RPXNMLLLLHGGFBJ38DA,坡道平面,1300000,29.41,
RPPOMLLLLHGGFBJ67DA,坡道平面,1350000,29.41,
RPQOMLLLLHGGFBJ77DA,坡道平面,1350000,30.77,
RPROMLLLLHGGFBJ87DA,坡道平面,1300000,29.41,
RPSOMLLLLHGGFBJ97DA,坡道平面,1300000,29.41,
RPTOMLLLLHGGFBJ08DA,坡道平面,1350000,29.41,
RPUOMLLLLHGGFBJ18DA,坡道平面,1350000,29.41,
RPWOMLLLLHGGFBJ38DA,坡道平面,1350000,29.41,
RPVOMLLLLHGGFBJ28DA,坡道平面,1300000,29.41,
RPOPMLLLLHGGFBJ67DA,坡道平面,1450000,29.41,
RPPPMLLLLHGGFBJ77DA,坡道平面,1450000,29.41,
RPXOMLLLLHGGFBJ48DA,坡道平面,1300000,29.41,
RPQPMLLLLHGGFBJ87DA,坡道平面,1450000,29.41,
RPRPMLLLLHGGFBJ97DA,坡道平面,1400000,29.41,
RPSPMLLLLHGGFBJ08DA,坡道平面,1300000,29.41,
RPTPMLLLLHGGFBJ18DA,坡道平面,1400000,29.41,
RPUPMLLLLHGGFBJ28DA,坡道平面,1300000,29.41,
RPVPMLLLLHGGFBJ38DA,坡道平面,1400000,29.41,
RPWPMLLLLHGGFBJ48DA,坡道平面,1450000,29.41,
RPXPMLLLLHGGFBJ58DA,坡道平面,1450000,29.41,
RPPQMLLLLHGGFBJ87DA,坡道平面,1300000,29.41,
RPOQMLLLLHGGFBJ77DA,坡道平面,1450000,29.41,
RPSQMLLLLHGGFBJ18DA,坡道平面,1300000,29.41,
RPRQMLLLLHGGFBJ08DA,坡道平面,1250000,30.77,
RPQQMLLLLHGGFBJ97DA,坡道平面,1250000,28.74,
RPTQMLLLLHGGFBJ28DA,坡道平面,1350000,28.74,
RPUQMLLLLHGGFBJ38DA,坡道平面,1400000,29.41,
RPXOMLSJLHGGFBJ98DA,坡道平面,1000000,26.86,
RPVQMLLLLHGGFBJ48DA,坡道平面,1350000,29.41,
RPSQMLPLKHGGFBJ48DA,坡道平面,0,,
RPSQMLPLKHGGFBJ48DA,坡道平面,0,,
RPWQMLLLLHGGFBJ58DA,坡道平面,1350000,29.41,
RPXPMLTJLHGGFBJ56DA,坡道平面,0,36.64,
RPUOMLPKLHGGFBJ48DA,坡道平面,1300000,27.20,
RPUOMLPKLHGGFBJ48DA,坡道平面,1300000,27.20,
RPUOMLPKLHGGFBJ48DA,坡道平面,1500000,27.20,
RPRNMLTLLHGGFBJ58DA,坡道機械,0,18.82,
RPRNMLTLLHGGFBJ58DA,坡道平面,0,37.64,
RPWUMLTLLHGGFBJ17DA,坡道平面,0,28.84,
RPWUMLTLLHGGFBJ17DA,坡道平面,0,28.84,
RPSPMLKMLHGGFBJ08DA,坡道平面,550000,28.84,
RPSNMLKKLHGGFCJ77DA,坡道平面,0,35.91,
RPSNMLKKLHGGFCJ77DA,坡道平面,0,37.17,
RPWNMLOJLHGGFCJ48DA,坡道機械,0,,
RPRPMLKMLHGGFBJ08EA,坡道平面,0,36.42,地下二樓
RPSPMLKMLHGGFBJ18EA,坡道平面,0,40.21,地下三樓
RPTNMLKMLHGGFDJ18DA,坡道平面,1000000,26.27,
RPXPMLKMLHGGFBJ68EA,坡道機械,0,,地下三樓
RPXPMLKMLHGGFBJ68EA,坡道機械,0,,地下三樓
RPTPMLQLLHGGFBJ78EA,坡道平面,0,22.84,
RPQPMLQLLHGGFBJ48EA,坡道平面,1500000,,
RPWPMLKMLHGGFBJ58EA,坡道平面,0,31.69,地下二樓
RPPNMLLMLHGGFCJ87EA,坡道平面,0,28.04,
RPQNMLTLLHGGFBJ58EA,坡道平面,0,,地下三樓
RPQNMLTLLHGGFBJ58EA,坡道平面,0,,地下三樓
RPPTMLTLLHGGFBJ09EA,坡道平面,0,29.81,地下三樓
RPTTMLTLLHGGFBJ86EA,坡道平面,1200000,,地下二樓
RPSNMLLJMHGGFCJ97EA,坡道平面,0,,地下一樓
RPQPMLKMLHGGFBJ87DA,坡道平面,0,,地下一樓
RPQOMLKMLHGGFBJ77DA,坡道機械,0,21.81,地下四樓
RPQOMLKMLHGGFBJ77DA,坡道機械,0,21.81,地下四樓
RPROMLLMLHGGFBJ97DA,坡道平面,0,,地下二樓
RPSNMLLMLHGGFBJ97DA,坡道平面,0,25.95,地下四樓
RPVPMLLMLHGGFBJ48DA,坡道機械,0,,地下三樓
RPOQMLLMLHGGFBJ87DA,坡道平面,0,,地下一樓
RPPNMLTLLHGGFBJ38DA,坡道平面,0,34.50,地下四樓
RPWSMLTLLHGGFBJ96DA,坡道平面,0,,地下二樓
RPPQMLKKLHGGFBJ67DA,坡道平面,0,33.34,地下三樓
RPPQMLKKLHGGFBJ67DA,坡道平面,0,34.40,地下三樓
RPPQMLKKLHGGFBJ67DA,坡道平面,0,34.40,地下三樓
RPPQMLKKLHGGFBJ67DA,坡道平面,0,34.40,地下三樓
RPPQMLKKLHGGFBJ67DA,坡道平面,0,34.40,地下三樓
RPOQMLKKLHGGFBJ57DA,坡道平面,0,34.40,地下三樓
RPOQMLKKLHGGFBJ57DA,坡道平面,0,34.40,地下三樓
RPOQMLKKLHGGFBJ57DA,坡道平面,0,34.40,地下三樓
RPOQMLKKLHGGFBJ57DA,坡道平面,0,34.40,地下三樓
RPOQMLKKLHGGFBJ57DA,坡道平面,0,34.40,地下三樓
RPPNMLRKJHGGFBJ87DA,坡道平面,0,,地下三樓
RPPNMLNJLHGGFBJ57DA,一樓平面,0,,一樓
RPPNMLNJLHGGFBJ57DA,一樓平面,0,,一樓
RPQNMLNJLHGGFBJ67DA,一樓平面,0,,一樓
RPQNMLNJLHGGFBJ67DA,一樓平面,0,,一樓
RPSNMLNJLHGGFBJ87DA,一樓平面,0,,一樓
RPSNMLNJLHGGFBJ87DA,一樓平面,0,,一樓
RPTNMLNJLHGGFBJ97DA,一樓平面,0,,一樓
RPTNMLNJLHGGFBJ97DA,一樓平面,0,,一樓
RPUNMLNJLHGGFBJ08DA,一樓平面,0,,一樓
RPUNMLNJLHGGFBJ08DA,一樓平面,0,,一樓
RPVNMLNJLHGGFBJ18DA,一樓平面,0,,一樓
RPVNMLNJLHGGFBJ18DA,一樓平面,0,,一樓
RPQOMLNJLHGGFBJ77DA,一樓平面,0,,一樓
RPQOMLNJLHGGFBJ77DA,一樓平面,0,,一樓
RPWOMLNJLHGGFBJ38DA,其他,0,,一樓
RPWOMLNJLHGGFBJ38DA,其他,0,,一樓
RPXOMLNJLHGGFBJ48DA,其他,0,,一樓
RPXOMLNJLHGGFBJ48DA,其他,0,,一樓
RPOPMLNJLHGGFBJ67DA,其他,0,,一樓
RPOPMLNJLHGGFBJ67DA,其他,0,,一樓
RPQPMLNJLHGGFBJ87DA,其他,0,,一樓
RPQPMLNJLHGGFBJ87DA,其他,0,,一樓
RPSPMLNJLHGGFBJ08DA,其他,0,,一樓
RPSPMLNJLHGGFBJ08DA,其他,0,,一樓
RPRPMLNJLHGGFBJ97DA,其他,0,,一樓
RPRPMLNJLHGGFBJ97DA,其他,0,,一樓
RPUPMLNJLHGGFBJ28DA,其他,0,,一樓
RPUPMLNJLHGGFBJ28DA,其他,0,,一樓
RPVPMLNJLHGGFBJ38DA,其他,0,,一樓
RPVPMLNJLHGGFBJ38DA,其他,0,,一樓
RPWPMLNJLHGGFBJ48DA,其他,0,,一樓
RPWPMLNJLHGGFBJ48DA,其他,0,,一樓
RPTNMLNLLHGGFBJ18DA,其他,0,,一樓
RPTNMLNLLHGGFBJ18DA,其他,0,,一樓
RPTPMLPLLHGGFBJ58DA,坡道平面,0,33.63,地下二樓
RPWPMLQLLHGGFBJ98DA,坡道平面,800000,24.69,地下二樓
RPOQMLQLLHGGFBJ28DA,坡道平面,700000,24.69,地下二樓
RPXPMLQLLHGGFBJ09DA,坡道平面,800000,20.87,地下二樓
RPXPMLKKLHGGFBJ38DA,坡道平面,1410000,35.92,地下二樓
RPOOMLLMLHGGFBJ67DA,坡道平面,0,,地下一樓
RPWNMLLMLHGGFBJ38DA,坡道平面,0,32.29,地下二樓
RPWNMLLMLHGGFBJ38DA,坡道平面,0,32.29,地下二樓
RPPNMLLMLHGGFBJ67DA,坡道平面,0,32.07,地下二樓
RPSNMLQJMHGGFBJ28DA,坡道平面,0,32.09,地下二樓
RPSNMLQJMHGGFBJ28DA,坡道平面,0,32.09,地下二樓
RPPPMLLJMHGGFBJ67DA,坡道平面,0,32.72,地下三樓
RPPPMLLJMHGGFBJ67DA,坡道平面,0,32.72,地下三樓
RPSOMLLJMHGGFCJ97DA,一樓平面,0,,
RPSOMLLJMHGGFCJ97DA,一樓平面,0,,
RPSNMLTLLHGGFCJ78DA,坡道平面,0,,
RPXNMLQJMHGGFBJ88EA,坡道平面,0,,地下二樓
RPXNMLQJMHGGFBJ88EA,坡道平面,0,,地下二樓
RPVNMLQLLHGGFDJ88DA,坡道平面,800000,28.92,地下一樓
RPOOMLQJMHGGFBJ08EA,坡道機械,0,17.96,地下三樓
RPTNMLLJMHGGFBJ97EA,升降平面,0,,地下二樓
RPUNMLLJMHGGFBJ08EA,坡道平面,1200000,,地下三樓
RPUNMLLJMHGGFBJ08EA,坡道平面,1200000,,地下三樓
RPWNMLQJMHGGFBJ78EA,坡道平面,0,,地下三樓
RPVNMLQJMHGGFCJ78EA,坡道平面,0,63.75,
RPWPMLRJMHGGFBJ09EA,坡道機械,0,,地下三樓
RPQOMLTLLHGGFDJ78DA,坡道平面,0,,地下一樓
RPTOMLLMLHGGFDJ38DA,一樓平面,0,,
RPWNMLQJMHGGFDJ88DA,坡道平面,0,,
RPQOMLRKKHGGFDJ38DA,一樓平面,0,,
RPQOMLQJMHGGFCJ28DA,坡道平面,0,,
RPQOMLQJMHGGFCJ28DA,坡道平面,0,,
RPTNMLQJMHGGFBJ38DA,坡道平面,0,,地下一樓
RPTNMLQJMHGGFBJ38DA,坡道平面,0,,地下二樓
RPVSMLTLLHGGFBJ86DA,坡道機械,0,,地下一樓
RPRNMLMLKHGGFBJ77DA,坡道平面,0,41.35,地下二樓
RPTQMLSJKHGGFBJ68DA,坡道平面,0,29.81,地下四樓
RPQNMLKLLHGGFBJ57DA,坡道平面,0,30.03,地下五樓含以下
RPQNMLKLLHGGFBJ57DA,坡道平面,0,30.03,地下五樓含以下
RPUNMLKMLHGGFBJ08DA,坡道平面,0,,地下二樓
RPXNMLLJMHGGFBJ28DA,坡道機械,0,,地下一樓
RPQOMLLJMHGGFBJ67DA,坡道平面,0,,地下四樓
RPQOMLLJMHGGFBJ67DA,坡道平面,0,,地下四樓
RPTOMLQJMHGGFBJ48DA,坡道平面,0,30.03,地下五樓含以下
RPPNMLRJMHGGFBJ08DA,坡道平面,0,,地下二樓
RPUOMLRJMHGGFBJ68DA,坡道平面,0,,地下一樓
RPRNMLNJMHGGFBJ87DA,坡道平面,0,26.76,地下一樓
RPQNMLNJMHGGFBJ77DA,坡道平面,0,26.78,地下一樓
