編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLSJLHGGFBJ58CC,9,64.19,住家用,鋼筋混凝土造,101年5月1日,五層,
RPTNMLSJLHGGFBJ58CC,9,8.12,見其他登記事項,鋼筋混凝土造,101年5月1日,五層,
RPRNMLSJLHGGFDJ58CC,3,55.54,見其他登記事項,鋼筋混凝土造,106年10月20日,七層,
RPTNMLSJLHGGFBJ58CC,9,22.73,見其他登記事項,鋼筋混凝土造,101年5月1日,五層,
RPRNMLSJLHGGFDJ58CC,3,8.33,見其他登記事項,鋼筋混凝土造,106年10月20日,七層,
RPSNMLPJLHGGFDJ48DC,26,155.33,住家用,鋼筋混凝土造,83年12月16日,五層,
RPRNMLSJLHGGFDJ58CC,3,19.87,見其他登記事項,鋼筋混凝土造,106年10月20日,七層,
RPXOMLOJLHGGFBJ68CC,5,57.97,住家用,鋼筋混凝土造,105年6月8日,二十七層,
RPXOMLOJLHGGFBJ68CC,5,17.87,見其他登記事項,鋼筋混凝土造,105年6月8日,二十七層,
RPXOMLOJLHGGFBJ68CC,5,9.47,見其他登記事項,鋼筋混凝土造,105年6月8日,二十七層,
RPOOMLOJLHGGFDJ97CC,6,20.27,見其他登記事項,鋼筋混凝土造,104年8月21日,四層,
RPXNMLOJLHGGFDJ78CC,23,27.47,住商用,鋼筋混凝土造,87年1月2日,三層,
