鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
大湖鄉,土地,大湖段751~780地號,48788.0,,山坡地保育區,林業用地,1100222,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7270000,149,,0.0,0,,RPQNMLOLLHGGFAK97DA,0.0,0.0,0.0,無,001
卓蘭鎮,土地,食水坑段1~30地號,20.89,都市：其他:,,,1100318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30000,1436,,0.0,0,,RPPNMLTLLHGGFAK38DA,0.0,0.0,0.0,無,
公館鄉,房地(土地+建物),大坑村3鄰大坑61~90號,942.0,,特定農業區,農牧用地,1091213,土地3建物1車位0,一層，二層,,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751102,242.54,5,3,2,有,無,12500000,51538,,0.0,0,1建地每坪大約9.2萬，金額730萬元。農地每坪大約2.54萬，金額520萬元2前院停車,RPOOMLTJLHGGFBK28DA,206.02,18.26,18.26,無,
公館鄉,土地,北河段451~480地號,1256.9,,山坡地保育區,林業用地,1100310,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,760000,605,,0.0,0,,RPTNMLPKLHGGFBK38DA,0.0,0.0,0.0,無,002
苗栗市,房地(土地+建物),福星里5鄰福星街181~210號,10.89,都市：其他:住宅區,,,1100311,土地4建物1車位0,六層,,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810929,68.92,1,1,1,有,有,1425000,20676,,0.0,0,,RPVOMLNLLHGGFBK58DA,36.0,0.0,6.04,有,003
苗栗市,土地,福麗段1051~1080地號,20932.5,,山坡地保育區,農牧用地,1100128,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18000000,860,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLRLLHGGFBK38DA,0.0,0.0,0.0,無,
苗栗市,房地(土地+建物)+車位,文山里28鄰自治路426巷1~30號,32.98,都市：其他:住宅區,,,1100305,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091215,182.64999999999998,3,2,2,有,有,7500000,41062,坡道平面,27.04,0,,RPPOMLSLLHGGFBK48DA,99.79,0.0,7.28,有,
苗栗市,房地(土地+建物)+車位,文山里28鄰自治路426巷1~30號,32.62,都市：其他:住宅區,,,1090306,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091215,179.2,3,2,2,有,有,7380000,41183,坡道平面,27.04,0,,RPQOMLSLLHGGFBK58DA,97.36,0.0,6.7,有,
苗栗市,房地(土地+建物)+車位,文山里28鄰自治路426巷1~30號,32.98,都市：其他:住宅區,,,1100306,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091215,180.64,3,2,2,有,有,7450000,41242,坡道平面,27.04,0,,RPROMLSLLHGGFBK68DA,98.49,0.0,6.57,有,
