編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLTJLHGGFBK28DA,34,242.54,住家用,鋼筋混凝土造,75年11月2日,,一層 二層
RPQNMLKMLHGGFBK77DA,19,239.29,住商用,鋼筋混凝土造,91年3月8日,三層,一層 二層 三層 屋頂突出物 夾層
RPQOMLSLLHGGFBK58DA,,104.06,住家用,鋼筋混凝土造,109年12月15日,十二層,五層
RPQOMLSLLHGGFBK58DA,,75.14,本共有部分之項目有台電配電室、防空避難室、樓梯間、消防泵浦室、管委會空間、緊急發電機室、樓電梯間、機房、水箱、停車空間（室內６２輛室外７輛）等十項。,鋼筋混凝土造,109年12月15日,十二層,
RPROMLSLLHGGFBK68DA,,105.06,住家用,鋼筋混凝土造,109年12月15日,十二層,五層
RPROMLSLLHGGFBK68DA,,75.58,本共有部分之項目有台電配電室、防空避難室、樓梯間、消防泵浦室、管委會空間、緊急發電機室、樓電梯間、機房、水箱、停車空間（室內６２輛室外７輛）等十項。,鋼筋混凝土造,109年12月15日,十二層,
RPPOMLSLLHGGFBK48DA,,107.07,住家用,鋼筋混凝土造,109年12月15日,十二層,二層
RPPOMLSLLHGGFBK48DA,,75.58,本共有部分之項目有台電配電室、防空避難室、樓梯間、消防泵浦室、管委會空間、緊急發電機室、樓電梯間、機房、水箱、停車空間（室內６２輛室外７輛）等十項。,鋼筋混凝土造,109年12月15日,十二層,
RPVOMLNLLHGGFBK58DA,28,42.04,住家用,鋼筋混凝土造,81年9月29日,,六層
RPVOMLNLLHGGFBK58DA,28,26.88,公共設施,鋼筋混凝土造,81年9月29日,,
RPRNMLKMLHGGFBK87DA,24,218.00,住家用,鋼筋混凝土造,85年11月30日,,一層 二層 三層 四層 騎樓
RPPNMLNJLHGGFCK77DA,2,234.47,見其他登記事項,鋼筋混凝土造,108年1月21日,四層,一層 二層 三層 四層
RPUNMLTLLHGGFCK09DA,,164.67,見其他登記事項,鋼筋混凝土造,109年12月29日,三層,一層 二層 三層 見其他登記事項
RPVNMLTLLHGGFCK56DA,,187.55,見其他登記事項,鋼筋混凝土造,109年12月29日,三層,一層 二層 三層 見其他登記事項
RPUNMLSJLHGGFDK88DA,,69.25,住家用,鋼筋混凝土造,109年10月12日,三層,一層 二層 三層
