交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,大湖段751~780地號,1070822,土地3建物0車位0,,,其他,0,0.0,0,0,0,有,無,5000000,102,0,001
土地,大湖段751~780地號,1080822,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2000000,123,0,001
土地,大湖段751~780地號,1100222,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7270000,149,0,001
土地,北河段451~480地號,1090610,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,340000,605,0,002
土地,北河段451~480地號,1100310,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,760000,605,0,002
房地(土地+建物),苗栗縣苗栗巿福星里5鄰福星街181~210號,1021211,土地4建物1車位0,六層,,套房(1房1廳1衛),21,42.04,1,0,1,有,無,940000,22360,0,003
房地(土地+建物),苗栗縣苗栗市福星里5鄰福星街181~210號,1051111,土地4建物1車位0,六層,,住宅大樓(11層含以上有電梯),24,68.92,1,1,1,有,無,1300000,18862,0,003
房地(土地+建物),福星里5鄰福星街181~210號,1100311,土地4建物1車位0,六層,,華廈(10層含以下有電梯),28,68.92,1,1,1,有,有,1425000,20676,0,003
房地(土地+建物),中苗里4鄰中正路503巷31~60號,1091027,土地1建物1車位0,一層，二層，三層，四層，騎樓,,公寓(5樓含以下無電梯),24,218.0,3,2,4,有,無,5300000,24312,0,004
房地(土地+建物),中苗里4鄰中正路503巷31~60號,1100227,土地1建物1車位0,全,,透天厝,24,218.0,5,2,4,有,無,6950000,31881,0,004
土地,通北段811~840地號,1091229,土地12建物0車位0,,,其他,-1,0.0,0,0,0,有,無,729059,2612,0,005
土地,通北段811~840地號,1091229,土地12建物0車位0,,,其他,-1,0.0,0,0,0,有,無,47902,172,0,005
土地,通北段811~840地號,1091229,土地12建物0車位0,,,其他,-1,0.0,0,0,0,有,無,39882,143,0,005
土地,通北段811~840地號,1091229,土地12建物0車位0,,,其他,-1,0.0,0,0,0,有,無,16760,60,0,005
土地,通北段811~840地號,1091229,土地12建物0車位0,,,其他,-1,0.0,0,0,0,有,無,27514,99,0,005
土地,通北段811~840地號,1091229,土地12建物0車位0,,,其他,-1,0.0,0,0,0,有,無,303793,1088,0,005
土地,通北段811~840地號,1091229,土地12建物0車位0,,,其他,-1,0.0,0,0,0,有,無,270657,970,0,005
土地,福田段1201~1230地號,1100218,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,970117,45375,0,012
土地,福田段1201~1230地號,1100118,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,11964782,41971,0,012
房地(土地+建物),苗栗縣造橋鄉談文村5鄰育英街31~60號,1080906,土地1建物1車位0,二層,三層,套房(1房1廳1衛),15,20.87,1,1,1,有,有,352000,16866,0,014
房地(土地+建物),談文村5鄰育英街31~60號,1100306,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),17,20.87,1,1,1,有,有,355000,17010,0,014
土地,新高埔段1921~1950地號,1070308,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,4500000,1745,0,015
土地,新高埔段1921~1950地號,1100308,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2500000,1939,0,015
房地(土地+建物),苗栗縣頭份鎮成功里8鄰山下街113巷1~30號,1060609,土地1建物1車位0,全,二層,透天厝,37,98.26,2,2,2,有,無,4000000,40708,0,016
房地(土地+建物),成功里8鄰山下街113巷1~30號,1100209,土地1建物1車位0,全,二層,透天厝,40,98.26,3,2,2,有,無,8000000,81417,0,016
土地,園段1051~1080地號,1100216,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,470000,6945,0,017
土地,園段,1100316,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,563000,8320,0,017
房地(土地+建物)+車位,苗栗縣頭份鎮後庄里21鄰公北二路61~90號,1030407,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),0,148.17000000000002,3,2,2,有,無,7700000,53030,550000,018
房地(土地+建物)+車位,後庄里21鄰公北二路61~90號,1100307,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),5,148.17000000000002,3,2,2,有,有,8180000,55207,0,018
土地,北獅里興段北獅里興小段211~240地號,1100302,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2899,164,0,019
土地,北獅里興段北獅里興小段211~240地號,1100302,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1499,170,0,019
土地,顯會段211~240地號,1100301,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1221,0,0,021
土地,顯會段211~240地號,1100301,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2593,0,0,021
土地,顯會段211~240地號,1100301,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,310,0,0,021
土地,顯會段211~240地號,1100301,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,289973,8939,0,022
土地,顯會段211~240地號,1100301,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2090984,8057,0,022
土地,顯會段211~240地號,1100301,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1042765,8037,0,022
土地,顯會段211~240地號,1100301,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,57308,7049,0,023
土地,顯會段211~240地號,1100301,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,57308,7049,0,023
房地(土地+建物),頭份里14鄰頭份241~270號,1100301,土地2建物20車位0,全,二層,透天厝,28,1345.92,34,0,34,有,無,32852525,24409,0,026
房地(土地+建物),頭份里14鄰頭份241~270號,1100301,土地2建物20車位0,全,二層,透天厝,28,1345.92,34,0,34,有,無,66435281,49360,0,026
房地(土地+建物),苗栗縣竹南鎮大埔里2鄰科專二路5巷1~30號,1041006,土地3建物1車位0,全,四層,透天厝,0,240.72,3,3,5,有,有,10650000,44242,0,031
房地(土地+建物),大埔里2鄰科專二路5巷1~30號,1100306,土地3建物1車位0,全,四層,透天厝,6,240.72,4,3,5,有,無,11500000,47773,0,031
房地(土地+建物),苗栗縣竹南鎮開元里3鄰平等街一段61~90號,1031202,土地1建物1車位0,一層,十五層,店面(店鋪),0,133.89,0,0,0,無,有,7600000,56763,0,032
房地(土地+建物),開元里3鄰平等街一段61~90號,1100202,土地1建物1車位0,一層,十五層,住宅大樓(11層含以上有電梯),6,133.89,0,0,0,無,有,7500000,56016,0,032
土地,大同段811~840地號,1020419,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,23351891,22504,0,033
土地,大同段811~840地號,1090419,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,37660000,36293,0,033
土地,大同段811~840地號,1100119,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,48652950,46887,0,033
房地(土地+建物),苗栗縣通霄鎮平元里11鄰平新路1~30號,1020929,土地1建物2車位0,全,四層,透天厝,24,496.52,4,2,4,有,無,13000000,26182,0,034
房地(土地+建物),平元里11鄰平新路1~30號,1100129,土地1建物2車位0,全,四層,透天厝,31,496.52,4,2,4,有,無,12000000,24168,0,034
房地(土地+建物),苗栗縣苗栗巿水源里22鄰金陽街1~30號,1011025,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),19,112.83,3,2,2,有,有,2300000,20385,0,035
房地(土地+建物),苗栗縣苗栗巿金陽街1~30號,1030325,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),21,112.83,3,2,2,有,有,2680000,23753,0,035
房地(土地+建物),水源里22鄰金陽街1~30號,1100225,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),28,112.83,3,1,1,有,無,2800000,24816,0,035
土地,新湖段451~480地號,1080112,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1260000,21758,0,036
土地,新湖段451~480地號,1090212,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2380000,41098,0,036
房地(土地+建物),苗栗縣竹南鎮大埔里10鄰想思林1~30號,1020828,土地2建物1車位0,全,二層,透天厝,-1,179.37,0,0,2,有,無,5180000,28879,0,037
