編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPQNMLOLLHGGFAK97DA,大湖段,5688.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉
RPQNMLOLLHGGFAK97DA,大湖段,12348.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉
RPQNMLOLLHGGFAK97DA,大湖段,30752.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉
RPQNMLRLLHGGFBK38DA,福麗段,5698.50,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉
RPQNMLRLLHGGFBK38DA,福麗段,1472.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉
RPQNMLRLLHGGFBK38DA,福麗段,5281.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉
RPQNMLRLLHGGFBK38DA,福麗段,8481.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉
RPPNMLTLLHGGFAK38DA,食水坑段,20.89,都市：其他:,1,1,全筆移轉
RPTNMLPKLHGGFBK38DA,北河段,33.08,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,1322,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,33.08,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,1322,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,33.08,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,1322,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,330.76,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,13220,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,99.23,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,3966,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,33.08,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,1322,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,33.08,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,1322,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,33.08,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,1322,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,165.38,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,6610,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,165.38,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,6610,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,33.08,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,1322,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,66.15,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,2644,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,33.08,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,1322,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,33.08,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,1322,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,33.08,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,1322,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,33.08,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,1322,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,33.08,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,1322,持分移轉
RPTNMLPKLHGGFBK38DA,北河段,33.08,非都市：山坡地保育區 ; 非都市編定：林業用地,100000,1322,持分移轉
RPOOMLTJLHGGFBK28DA,大坑段,262.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPOOMLTJLHGGFBK28DA,大坑段,90.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPOOMLTJLHGGFBK28DA,大坑段,590.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLKMLHGGFBK77DA,芒埔段,105.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPQOMLSLLHGGFBK58DA,文發段,32.62,都市：其他:住宅區,10000,181,持分移轉
RPROMLSLLHGGFBK68DA,文發段,32.98,都市：其他:住宅區,10000,183,持分移轉
RPQNMLQLJHGGFCK18DA,慈護段,126.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPPOMLSLLHGGFBK48DA,文發段,32.98,都市：其他:住宅區,10000,183,持分移轉
RPVOMLNLLHGGFBK58DA,華清段,4.08,都市：其他:住宅區,20000,38,持分移轉
RPVOMLNLLHGGFBK58DA,華清段,6.23,都市：其他:住宅區,10000,29,持分移轉
RPVOMLNLLHGGFBK58DA,華清段,.07,都市：其他:住宅區,20000,38,持分移轉
RPVOMLNLLHGGFBK58DA,華清段,.10,都市：其他:住宅區,10000,29,持分移轉
RPVOMLNLLHGGFBK58DA,華清段,.13,都市：其他:住宅區,20000,38,持分移轉
RPVOMLNLLHGGFBK58DA,華清段,.20,都市：其他:住宅區,10000,29,持分移轉
RPVOMLNLLHGGFBK58DA,華清段,.03,都市：其他:住宅區,20000,38,持分移轉
RPVOMLNLLHGGFBK58DA,華清段,.05,都市：其他:住宅區,10000,29,持分移轉
RPQNMLSKLHGGFCK48DA,社柑段,15.68,非都市：特定農業區 ; 非都市編定：甲種建築用地,100,10,持分移轉
RPRNMLKMLHGGFBK87DA,苗栗段,67.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLMLLHGGFCK87DA,通北段,3.07,非都市： ; 非都市編定：,1,1,全筆移轉
RPPNMLMLLHGGFCK87DA,通北段,7.56,非都市： ; 非都市編定：,1,1,全筆移轉
RPPNMLMLLHGGFCK87DA,通北段,20.46,非都市： ; 非都市編定：,1,1,全筆移轉
RPPNMLMLLHGGFCK87DA,通北段,35.19,非都市： ; 非都市編定：,1,1,全筆移轉
RPPNMLMLLHGGFCK87DA,通北段,7.04,非都市： ; 非都市編定：,1,1,全筆移轉
RPPNMLMLLHGGFCK87DA,通北段,14.60,非都市： ; 非都市編定：,1,1,全筆移轉
RPPNMLMLLHGGFCK87DA,通北段,34.98,非都市： ; 非都市編定：,1,1,全筆移轉
RPPNMLMLLHGGFCK87DA,通平段,63.29,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
RPPNMLMLLHGGFCK87DA,通平段,1.35,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
RPPNMLMLLHGGFCK87DA,通平段,11.14,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
RPPNMLMLLHGGFCK87DA,通平段,2.12,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
RPPNMLMLLHGGFCK87DA,通平段,78.32,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
RPPNMLNJLHGGFCK77DA,中正段,128.45,都市：其他:住宅區,1,1,全筆移轉
SPPNMLMLLHGGFCK97DA,通北段,3.07,非都市： ; 非都市編定：,1,1,全筆移轉
SPPNMLMLLHGGFCK97DA,通北段,7.56,非都市： ; 非都市編定：,1,1,全筆移轉
SPPNMLMLLHGGFCK97DA,通北段,20.46,非都市： ; 非都市編定：,1,1,全筆移轉
SPPNMLMLLHGGFCK97DA,通北段,35.19,非都市： ; 非都市編定：,1,1,全筆移轉
SPPNMLMLLHGGFCK97DA,通北段,7.04,非都市： ; 非都市編定：,1,1,全筆移轉
SPPNMLMLLHGGFCK97DA,通北段,14.60,非都市： ; 非都市編定：,1,1,全筆移轉
SPPNMLMLLHGGFCK97DA,通北段,34.98,非都市： ; 非都市編定：,1,1,全筆移轉
SPPNMLMLLHGGFCK97DA,通平段,63.29,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
SPPNMLMLLHGGFCK97DA,通平段,1.35,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
SPPNMLMLLHGGFCK97DA,通平段,11.14,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
SPPNMLMLLHGGFCK97DA,通平段,2.12,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
SPPNMLMLLHGGFCK97DA,通平段,78.32,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
UPPNMLMLLHGGFCK18DA,通北段,3.07,非都市： ; 非都市編定：,1,1,全筆移轉
UPPNMLMLLHGGFCK18DA,通北段,7.56,非都市： ; 非都市編定：,1,1,全筆移轉
UPPNMLMLLHGGFCK18DA,通北段,20.46,非都市： ; 非都市編定：,1,1,全筆移轉
UPPNMLMLLHGGFCK18DA,通北段,35.19,非都市： ; 非都市編定：,1,1,全筆移轉
UPPNMLMLLHGGFCK18DA,通北段,7.04,非都市： ; 非都市編定：,1,1,全筆移轉
UPPNMLMLLHGGFCK18DA,通北段,14.60,非都市： ; 非都市編定：,1,1,全筆移轉
UPPNMLMLLHGGFCK18DA,通北段,34.98,非都市： ; 非都市編定：,1,1,全筆移轉
UPPNMLMLLHGGFCK18DA,通平段,63.29,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
UPPNMLMLLHGGFCK18DA,通平段,1.35,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
UPPNMLMLLHGGFCK18DA,通平段,11.14,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
UPPNMLMLLHGGFCK18DA,通平段,2.12,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
UPPNMLMLLHGGFCK18DA,通平段,78.32,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
WPPNMLMLLHGGFCK38DA,通北段,3.07,非都市： ; 非都市編定：,1,1,全筆移轉
WPPNMLMLLHGGFCK38DA,通北段,7.56,非都市： ; 非都市編定：,1,1,全筆移轉
WPPNMLMLLHGGFCK38DA,通北段,20.46,非都市： ; 非都市編定：,1,1,全筆移轉
WPPNMLMLLHGGFCK38DA,通北段,35.19,非都市： ; 非都市編定：,1,1,全筆移轉
WPPNMLMLLHGGFCK38DA,通北段,7.04,非都市： ; 非都市編定：,1,1,全筆移轉
WPPNMLMLLHGGFCK38DA,通北段,14.60,非都市： ; 非都市編定：,1,1,全筆移轉
WPPNMLMLLHGGFCK38DA,通北段,34.98,非都市： ; 非都市編定：,1,1,全筆移轉
WPPNMLMLLHGGFCK38DA,通平段,63.29,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
WPPNMLMLLHGGFCK38DA,通平段,1.35,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
WPPNMLMLLHGGFCK38DA,通平段,11.14,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
WPPNMLMLLHGGFCK38DA,通平段,2.12,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
WPPNMLMLLHGGFCK38DA,通平段,78.32,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
XPPNMLMLLHGGFCK48DA,通北段,3.07,非都市： ; 非都市編定：,1,1,全筆移轉
XPPNMLMLLHGGFCK48DA,通北段,7.56,非都市： ; 非都市編定：,1,1,全筆移轉
XPPNMLMLLHGGFCK48DA,通北段,20.46,非都市： ; 非都市編定：,1,1,全筆移轉
XPPNMLMLLHGGFCK48DA,通北段,35.19,非都市： ; 非都市編定：,1,1,全筆移轉
XPPNMLMLLHGGFCK48DA,通北段,7.04,非都市： ; 非都市編定：,1,1,全筆移轉
XPPNMLMLLHGGFCK48DA,通北段,14.60,非都市： ; 非都市編定：,1,1,全筆移轉
XPPNMLMLLHGGFCK48DA,通北段,34.98,非都市： ; 非都市編定：,1,1,全筆移轉
XPPNMLMLLHGGFCK48DA,通平段,63.29,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
XPPNMLMLLHGGFCK48DA,通平段,1.35,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
XPPNMLMLLHGGFCK48DA,通平段,11.14,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
XPPNMLMLLHGGFCK48DA,通平段,2.12,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
XPPNMLMLLHGGFCK48DA,通平段,78.32,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
VPPNMLMLLHGGFCK28DA,通北段,3.07,非都市： ; 非都市編定：,1,1,全筆移轉
VPPNMLMLLHGGFCK28DA,通北段,7.56,非都市： ; 非都市編定：,1,1,全筆移轉
VPPNMLMLLHGGFCK28DA,通北段,20.46,非都市： ; 非都市編定：,1,1,全筆移轉
VPPNMLMLLHGGFCK28DA,通北段,35.19,非都市： ; 非都市編定：,1,1,全筆移轉
VPPNMLMLLHGGFCK28DA,通北段,7.04,非都市： ; 非都市編定：,1,1,全筆移轉
VPPNMLMLLHGGFCK28DA,通北段,14.60,非都市： ; 非都市編定：,1,1,全筆移轉
