鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南投市,房地(土地+建物),彰南路三段1211巷1~30號,86.84,都市：其他:住宅區,,,1100121,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1080710,183.59,5,3,4,有,無,8400000,45754,,0.0,0,,RPQNMLMKLHGGFAM87DA,164.7,0.0,18.89,無,
南投市,房地(土地+建物)+車位,彰南路三段511~540號,35.6,都市：其他:住宅區,,,1091218,土地2建物1車位1,九層,十層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1091228,146.44,3,2,2,有,有,6950000,52931,坡道平面,34.03,1000000,預售屋、或土地及建物分次登記案件；,RPQOMLPKLHGGFAM28DA,68.69,0.0,7.99,有,
名間鄉,房地(土地+建物),彰南路110巷1~30號,207.63,都市：其他:農業區,,,1100205,土地2建物1車位0,全,三層,透天厝,集合住宅、停車空間、樓梯間,鋼筋混凝土造,1080313,231.61,3,3,4,有,無,15800000,68218,,0.0,0,土地758.4萬 建物821.6萬，總價共1580萬,RPPNMLRLKHGGFAM28DA,219.59,0.0,12.02,無,
南投市,土地,成功段541~570地號,83.91,都市：其他:住宅區,,,1100217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,23835,,0.0,0,,RPQNMLMJLHGGFAM77DA,0.0,0.0,0.0,無,
中寮鄉,土地,龍眼林段691~720地號,2046.0,,山坡地保育區,林業用地,1100320,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,440,,0.0,0,,RPXNMLMLLHGGFAM68DA,0.0,0.0,0.0,無,001
南投市,房地(土地+建物)+車位,彰南路三段511~540號,38.95,都市：其他:住宅區,,,1080408,土地2建物1車位1,六層,十層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1091228,157.08,3,2,2,有,有,7080000,51036,坡道平面,34.03,800000,預售屋、或土地及建物分次登記案件；,RPSOMLQLLHGGFAM68DA,75.67,0.0,8.26,有,
南投市,房地(土地+建物)+車位,彰南路三段511~540號,35.6,都市：其他:住宅區,,,1071103,土地2建物1車位1,七層,十層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1091228,146.44,3,2,2,有,有,6800000,53376,坡道平面,34.03,800000,預售屋、或土地及建物分次登記案件；,RPTOMLQLLHGGFAM78DA,68.69,0.0,7.99,有,
南投市,房地(土地+建物)+車位,彰南路三段511~540號,38.95,都市：其他:住宅區,,,1090406,土地2建物1車位1,七層,十層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1091228,157.08,3,2,2,有,有,7500000,54043,坡道平面,34.03,850000,預售屋、或土地及建物分次登記案件；,RPUOMLQLLHGGFAM88DA,75.67,0.0,8.26,有,
中寮鄉,土地,龍眼林段721~750地號,1463.0,,山坡地保育區,農牧用地,1100226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,366000,250,,0.0,0,,RPSNMLTLLHGGFAM88DA,0.0,0.0,0.0,無,
南投市,土地,首區段91~120地號,124.62,都市：其他:第四種住宅區,,,1100315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9850000,79040,,0.0,0,,RPUNMLTLLHGGFAM09DA,0.0,0.0,0.0,無,
草屯鎮,土地,新豐段2131~2160地號,214.6,,鄉村區,乙種建築用地,1100210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12073000,56258,,0.0,0,,RPQNMLNJLHGGFBM97DA,0.0,0.0,0.0,無,002
草屯鎮,房地(土地+建物),太平路一段351巷117弄1~30號,124.95,都市：其他:農業區,,,1100123,土地4建物1車位0,全,三層,透天厝,住宅、梯間、水箱間,鋼筋混凝土造,1090811,211.4,4,3,5,有,無,13700000,64806,,0.0,0,,RPVNMLOJLHGGFBM58DA,211.4,0.0,0.0,無,
草屯鎮,房地(土地+建物),草溪路富貴巷1~30號,89.18,,特定農業區,甲種建築用地,1100306,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690315,80.0,5,3,3,有,無,5800000,72500,,0.0,0,,RPOOMLSJLHGGFBM38DA,80.0,0.0,0.0,無,
草屯鎮,房地(土地+建物),富林路一段1~30號,103.61,都市：其他:住宅區,,,1100305,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0780919,116.74,5,3,5,有,無,9320000,79836,,0.0,0,,RPUNMLTJLHGGFBM98DA,109.27,0.0,7.47,無,
草屯鎮,房地(土地+建物),正義街61~90號,98.0,都市：其他:住宅區,,,1100309,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0791029,211.85,4,3,5,有,無,14500000,68445,,0.0,0,,RPRNMLLKLHGGFBM97DA,200.75,0.0,11.1,無,
草屯鎮,房地(土地+建物),民權一街91~120號,114.0,都市：其他:住宅區,,,1100220,土地1建物1車位0,全,三層,透天厝,住宅、樓梯間,鋼筋混凝土造,1080725,226.92,4,3,5,有,無,18180000,80116,,0.0,0,土地交易價格:900萬元，建物交易價格:918萬元。,RPROMLMLLHGGFBM28DA,218.7,0.0,8.22,無,
草屯鎮,土地,坪頂段1111~1140地號,631.33,,山坡地保育區,農牧用地,1100315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1528000,2420,,0.0,0,共有人間之交易,RPQNMLTLLHGGFBM78DA,0.0,0.0,0.0,無,
草屯鎮,土地,將軍段421~450地號,413.42,,鄉村區,乙種建築用地,1100318,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21000000,50796,,0.0,0,未登記建物；,RPRNMLTLLHGGFBM88DA,0.0,0.0,0.0,無,003
草屯鎮,土地,草屯段211~240地號,856.75,,特定農業區,甲種建築用地,1090710,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22000000,25678,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKMLHGGFBM97DA,0.0,0.0,0.0,無,
埔里鎮,房地(土地+建物),恆吉一路1~30號,69.4,,鄉村區,乙種建築用地,1090425,土地1建物1車位0,全,四層,透天厝,住家用,ＲＣ造,1090430,163.49,5,2,4,有,有,11000000,67282,,0.0,0,,RPPOMLQLLHGGFCM58DA,148.52,0.0,14.97,有,
國姓鄉,土地,成功段181~210地號,470.12,都市：其他:住宅區,,,1100201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9180000,19527,,0.0,0,,RPUNMLTLLHGGFCM66DA,0.0,0.0,0.0,無,
魚池鄉,房地(土地+建物),有水巷31~60號,62.0,,山坡地保育區,丙種建築用地,1100313,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0700123,18.21,1,0,1,有,無,500000,27457,,0.0,0,,RPPNMLLMLHGGFCM08DA,18.21,0.0,0.0,無,004
魚池鄉,房地(土地+建物),有水巷31~60號,63.0,,山坡地保育區,丙種建築用地,1100313,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0700123,18.21,1,0,1,有,無,500000,27457,,0.0,0,,RPQNMLLMLHGGFCM18DA,18.21,0.0,0.0,無,
竹山鎮,房地(土地+建物),大禮路211~240號,22.84,都市：其他:住宅區,,,1100222,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0871117,111.11,3,2,2,有,有,2600000,23400,,0.0,0,,RPPNMLNLKHGGFDM18DA,77.61,0.0,10.62,有,005
竹山鎮,土地,前山段391~420地號,915.98,,特定農業區,農牧用地,1100316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3150000,3439,,0.0,0,,RPRNMLKMLHGGFDM28DA,0.0,0.0,0.0,無,
南投市,土地,包尾段661~690地號,1455.04,都市：其他:農業區,,,1100125,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7600000,5223,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLKMLHGGFAM18EA,0.0,0.0,0.0,無,006
南投市,房地(土地+建物),吉利路511~540號,159.81,,山坡地保育區,丙種建築用地,1100201,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0830825,121.5,5,2,2,有,無,6600000,54321,,0.0,0,,RPWNMLKMLHGGFAM58EA,121.5,0.0,0.0,無,
水里鄉,房地(土地+建物),民權路421~450號,78.0,都市：其他:商業區,,,1100324,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土加強磚造,0691215,234.11,6,3,3,有,無,3600000,15377,,0.0,0,,RPQNMLLMLHGGFEM38DA,234.11,0.0,0.0,無,
中寮鄉,房地(土地+建物),永安街126巷1~30號,71.45,都市：其他:第二種住宅區,,,1100318,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0700615,77.73,3,2,2,有,無,1500000,19298,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLLJMHGGFAM08EA,77.73,0.0,0.0,無,
竹山鎮,土地,中和段1141~1170地號,223.42,,特定農業區,甲種建築用地,1100324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,2238,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLMLHGGFDM18DA,0.0,0.0,0.0,無,
竹山鎮,土地,德興段571~600地號,2990.45,,特定農業區,農牧用地,1100304,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,2174,,0.0,0,未登記建物；,RPQNMLLMLHGGFDM28DA,0.0,0.0,0.0,無,
竹山鎮,土地,中州段631~660地號,291.61,,山坡地保育區,丙種建築用地,1100303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,343,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLNJLHGGFDM38DA,0.0,0.0,0.0,無,
竹山鎮,房地(土地+建物),鯉南路91~120號,89.89,都市：其他:住宅區,,,1100310,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820429,168.39,5,2,3,有,無,4260000,25298,,0.0,0,,RPTNMLLMLHGGFDM58DA,151.74,2.25,14.4,無,
竹山鎮,房地(土地+建物),大勇路61~90號,106.0,都市：其他:住宅區,,,1100228,土地1建物1車位0,全,三層,透天厝,住宅、水箱間,鋼筋混凝土造,1090721,197.38,5,2,5,有,無,10880000,55122,,0.0,0,其他                    ；,RPUNMLLMLHGGFDM68DA,195.29,0.0,2.09,有,
鹿谷鄉,土地,廣興段361~390地號,207.91,都市：其他:住宅區,,,1091026,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5341700,25692,,0.0,0,,RPVNMLLMLHGGFDM78DA,0.0,0.0,0.0,無,
竹山鎮,房地(土地+建物),大公街31~60號,100.93,,鄉村區,乙種建築用地,1100222,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0650428,124.2,4,2,2,有,無,1600000,12882,,0.0,0,此交易為持分買賣其他增建；,RPOOMLLMLHGGFDM18DA,124.2,0.0,0.0,無,007
埔里鎮,土地,中峰段541~570地號,6.27,,鄉村區,乙種建築用地,1100309,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,271052,43230,,0.0,0,政府機關標讓售；,RPRNMLQJMHGGFCM58DA,0.0,0.0,0.0,無,
國姓鄉,土地,福龜段511~540地號,58.58,,鄉村區,乙種建築用地,1100312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,372130,6353,,0.0,0,,RPRNMLLMLHGGFCM28DA,0.0,0.0,0.0,無,
埔里鎮,房地(土地+建物),中山路三段241~270號,14.1,都市：其他:住宅區,,,1100312,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0831231,103.55,3,2,2,有,有,4800000,46354,,0.0,0,,RPSNMLLMLHGGFCM38DA,74.74,0.0,6.97,有,008
埔里鎮,土地,水尾段211~240地號,3844.0,,特定農業區,農牧用地,1100206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,1041,,0.0,0,,RPTNMLLMLHGGFCM48DA,0.0,0.0,0.0,無,
埔里鎮,土地,新福興1~30地號,4266.31,,特定專用區,遊憩用地,1100311,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,87048709,20404,,0.0,0,,RPQNMLLJMHGGFCM97DA,0.0,0.0,0.0,無,
埔里鎮,土地,新福興31~60地號,1313.41,,特定專用區,遊憩用地,1100315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,29312951,22318,,0.0,0,,RPRNMLLJMHGGFCM08DA,0.0,0.0,0.0,無,009
埔里鎮,土地,新福興31~60地號,6331.96,,特定專用區,遊憩用地,1100312,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,130311470,20580,,0.0,0,,RPQNMLKMLHGGFCM08DA,0.0,0.0,0.0,無,010
埔里鎮,房地(土地+建物),民族路1~30號,51.0,都市：其他:商業區,,,1100202,土地2建物1車位0,全,三層,透天厝,店舖、住宅、人行道,鋼筋混凝土造,0701027,134.79,5,1,3,有,無,6000000,44514,,0.0,0,,RPRNMLKMLHGGFCM18DA,134.79,0.0,0.0,無,
國姓鄉,土地,北港溪段31~60地號,1580.0,,特定農業區,農牧用地,1091230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,1076,,0.0,0,未臨接道路,RPRNMLTLLHGGFCM98DA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物),北投路361~390號,191.68,,鄉村區,乙種建築用地,1100227,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0710826,130.19,3,3,2,有,無,6500000,49927,,0.0,0,朋友關係間之交易,RPPNMLKMLHGGFBM87DA,130.19,0.0,0.0,無,
魚池鄉,土地,內池段1351~1380地號,4862.65,都市：其他:農業區,,,1091014,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,98000000,20154,,0.0,0,,RPQNMLPLLHGGFCM48DA,0.0,0.0,0.0,無,
魚池鄉,土地,東池段961~990地號,302.39,都市：其他:住宅區,,,1100305,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2744154,9075,,0.0,0,親友關係間之交易,RPOOMLQLLHGGFCM48DA,0.0,0.0,0.0,無,011
