編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLRLKHGGFAM28DA,2,231.61,見其他登記事項,鋼筋混凝土造,108年3月13日,三層,一層 二層 三層 屋頂突出物
RPQOMLPKLHGGFAM28DA,,76.68,集合住宅,鋼筋混凝土造,109年12月28日,十層,九層
RPQOMLPKLHGGFAM28DA,,69.76,台電配電室、緊急發電機室、消防機房、污水機房、車道、防空避難室兼停車空間、電信室、排煙室、一般昇降機、停車空間、管委會空間、梯廳、甲乙丙梯、緊急昇降機（無障礙）、丁梯、甲乙梯、樓梯間、乙梯、水錶室、機械室、水塔等２１項,鋼筋混凝土造,109年12月28日,十層,
RPUOMLQLLHGGFAM88DA,,83.93,集合住宅,鋼筋混凝土造,109年12月28日,十層,七層
RPUOMLQLLHGGFAM88DA,,73.15,台電配電室、緊急發電機室、消防機房、污水機房、車道、防空避難室兼停車空間、電信室、排煙室、一般昇降機、停車空間、管委會空間、梯廳、甲乙丙梯、緊急昇降機（無障礙）、丁梯、甲乙梯、樓梯間、乙梯、水錶室、機械室、水塔等２１項,鋼筋混凝土造,109年12月28日,十層,
RPTOMLQLLHGGFAM78DA,,76.68,集合住宅,鋼筋混凝土造,109年12月28日,十層,七層
RPTOMLQLLHGGFAM78DA,,69.76,台電配電室、緊急發電機室、消防機房、污水機房、車道、防空避難室兼停車空間、電信室、排煙室、一般昇降機、停車空間、管委會空間、梯廳、甲乙丙梯、緊急昇降機（無障礙）、丁梯、甲乙梯、樓梯間、乙梯、水錶室、機械室、水塔等２１項,鋼筋混凝土造,109年12月28日,十層,
RPSOMLQLLHGGFAM68DA,,83.93,集合住宅,鋼筋混凝土造,109年12月28日,十層,六層
RPSOMLQLLHGGFAM68DA,,73.15,台電配電室、緊急發電機室、消防機房、污水機房、車道、防空避難室兼停車空間、電信室、排煙室、一般昇降機、停車空間、管委會空間、梯廳、甲乙丙梯、緊急昇降機（無障礙）、丁梯、甲乙梯、樓梯間、乙梯、水錶室、機械室、水塔等２１項,鋼筋混凝土造,109年12月28日,十層,
RPQNMLMKLHGGFAM87DA,2,91.80,住家用,鋼筋混凝土造,108年7月10日,四層,一層 二層 三層 四層
RPQNMLMKLHGGFAM87DA,2,91.80,住家用,鋼筋混凝土造,108年7月10日,四層,一層 二層 三層 四層
RPOOMLSJLHGGFBM38DA,41,80.00,住家用,鋼筋混凝土加強磚造,69年3月15日,二層,一層 二層
RPUNMLTJLHGGFBM98DA,31,116.74,住商用,鋼筋混凝土造,78年9月19日,二層,一層 二層 騎樓
RPVNMLOJLHGGFBM58DA,,211.40,見其他登記事項,鋼筋混凝土造,109年8月11日,三層,一層 二層 三層 見其他登記事項
RPRNMLLKLHGGFBM97DA,30,105.92,住商用,鋼筋混凝土造,79年10月29日,四層,一層 二層 三層 四層 騎樓
RPRNMLLKLHGGFBM97DA,30,105.92,住商用,鋼筋混凝土造,79年10月29日,四層,一層 二層 三層 四層 騎樓
