編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPQNMLMJLHGGFAM77DA,成功段,83.91,都市：其他:住宅區,4,1,持分移轉
RPXNMLMLLHGGFAM68DA,龍眼林段,1023.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉
RPXNMLMLLHGGFAM68DA,龍眼林段,1023.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉
RPUNMLTLLHGGFAM09DA,首區段,124.62,都市：其他:第四種住宅區,1,1,全筆移轉
RPSNMLTLLHGGFAM88DA,龍眼林段,1463.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPPNMLRLKHGGFAM28DA,吳厝段,117.24,都市：其他:住宅區,1,1,全筆移轉
RPPNMLRLKHGGFAM28DA,吳厝段,90.39,都市：其他:農業區,1,1,全筆移轉
RPQOMLPKLHGGFAM28DA,永新段,2.69,都市：其他:溝渠用地,100000,2334,持分移轉
RPQOMLPKLHGGFAM28DA,永新段,32.91,都市：其他:住宅區,100000,2334,持分移轉
RPUOMLQLLHGGFAM88DA,永新段,2.94,都市：其他:溝渠用地,100000,2554,持分移轉
RPUOMLQLLHGGFAM88DA,永新段,36.01,都市：其他:住宅區,100000,2554,持分移轉
RPQNMLNJLHGGFBM97DA,新豐段,214.60,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPTOMLQLLHGGFAM78DA,永新段,2.69,都市：其他:溝渠用地,100000,2334,持分移轉
RPTOMLQLLHGGFAM78DA,永新段,32.91,都市：其他:住宅區,100000,2334,持分移轉
RPSOMLQLLHGGFAM68DA,永新段,2.94,都市：其他:溝渠用地,100000,2554,持分移轉
RPSOMLQLLHGGFAM68DA,永新段,36.01,都市：其他:住宅區,100000,2554,持分移轉
RPQNMLMKLHGGFAM87DA,福興段,43.42,都市：其他:住宅區,2,1,持分移轉
RPQNMLMKLHGGFAM87DA,福興段,43.42,都市：其他:住宅區,2,1,持分移轉
RPOOMLSJLHGGFBM38DA,保安段,89.18,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPQNMLTLLHGGFBM78DA,坪頂段,631.33,非都市：山坡地保育區 ; 非都市編定：農牧用地,100000000000000,8357600000000,持分移轉
RPUNMLTJLHGGFBM98DA,新富寮段,103.61,都市：其他:住宅區,1,1,全筆移轉
RPRNMLTLLHGGFBM88DA,將軍段,206.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPRNMLTLLHGGFBM88DA,將軍段,206.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPVNMLOJLHGGFBM58DA,中興段,7.21,都市：其他:農業區,19,1,持分移轉
RPVNMLOJLHGGFBM58DA,中興段,24.16,都市：其他:農業區,19,1,持分移轉
RPVNMLOJLHGGFBM58DA,中興段,3.58,都市：其他:農業區,19,1,持分移轉
RPVNMLOJLHGGFBM58DA,中興段,90.00,都市：其他:農業區,1,1,全筆移轉
RPQNMLKMLHGGFBM97DA,草屯段,177.92,非都市：特定農業區 ; 非都市編定：甲種建築用地,180,75,持分移轉
RPQNMLKMLHGGFBM97DA,草屯段,616.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPQNMLKMLHGGFBM97DA,草屯段,62.83,非都市：特定農業區 ; 非都市編定：甲種建築用地,576,154,持分移轉
RPRNMLLKLHGGFBM97DA,中興段,49.00,都市：其他:住宅區,2,1,持分移轉
RPRNMLLKLHGGFBM97DA,中興段,49.00,都市：其他:住宅區,2,1,持分移轉
RPROMLMLLHGGFBM28DA,中興段,114.00,都市：其他:住宅區,1,1,全筆移轉
RPUNMLTLLHGGFCM66DA,成功段,470.12,都市：其他:住宅區,1,1,全筆移轉
RPRNMLKMLHGGFDM28DA,前山段,915.98,非都市：特定農業區 ; 非都市編定：農牧用地,1000,593,持分移轉
RPPOMLQLLHGGFCM58DA,忠信段,69.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPSNMLKMLHGGFAM18EA,包尾段,95.04,都市：其他:農業區,9280,1500,持分移轉
RPSNMLKMLHGGFAM18EA,包尾段,1360.00,都市：其他:農業區,1,1,全筆移轉
RPPNMLLMLHGGFCM08DA,貓fdfc段,62.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉
RPQNMLLMLHGGFCM18DA,貓fdfc段,63.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉
RPPNMLLMLHGGFDM18DA,中和段,223.42,非都市：特定農業區 ; 非都市編定：甲種建築用地,518400,12960,持分移轉
RPPNMLNLKHGGFDM18DA,菩提段,22.84,都市：其他:住宅區,10000,74,持分移轉
RPQNMLLMLHGGFEM38DA,城中段,78.00,都市：其他:商業區,1,1,全筆移轉
RPWNMLKMLHGGFAM58EA,新小半山段,159.81,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉
RPQNMLLMLHGGFDM28DA,德興段,285.54,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLLMLHGGFDM28DA,德興段,141.67,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPQNMLLMLHGGFDM28DA,德興段,2563.24,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
