鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
花壇鄉,土地,新金墩段1141~1170地號,167.54,,特定農業區,甲種建築用地,1100105,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7941600,47401,,0.0,0,,RPROMLNLKHGGFAN28DA,0.0,0.0,0.0,無,
秀水鄉,土地,西興段91~120地號,614.4,都市：其他:住宅區,,,1100310,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16730000,27230,,0.0,0,,RPVOMLPLLHGGFAN98DA,0.0,0.0,0.0,無,001
彰化市,土地,福元段781~810地號,253.25,都市：其他:保護區,,,1100201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,766000,3025,,0.0,0,,RPRNMLKMLHGGFAN08DA,0.0,0.0,0.0,無,
線西鄉,房地(土地+建物),金馬路875巷23弄31~60號,79.83,都市：其他:住宅區,,,1100304,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0800226,106.81,2,2,2,有,無,4500000,42131,,0.0,0,,RPPNMLKKLHGGFBN77DA,106.81,0.0,0.0,,
伸港鄉,土地,伸新段601~630地號,114.2,,鄉村區,乙種建築用地,1100104,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1350000,11821,,0.0,0,,RPSNMLLKJHGGFBN97DA,0.0,0.0,0.0,,
伸港鄉,房地(土地+建物)+車位,大同六街218巷1~30號,147.37,都市：其他:第一種住宅區,,,1100311,土地3建物1車位1,全,四層,透天厝,停車空間、住宅,鋼筋混凝土造,1091117,241.92,4,3,5,有,無,15600000,64484,一樓平面,0.0,0,,RPPNMLRKLHGGFBN48DA,225.37,0.0,16.55,,
和美鎮,房地(土地+建物),忠孝路1~30號,112.0,都市：其他:住宅區,,,1100223,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0780527,142.82,3,2,2,有,無,6000000,42011,,0.0,0,,RPQNMLQLLHGGFBN58DA,142.82,0.0,0.0,,
和美鎮,土地,中寮北段811~840地號,379.48,,特定農業區,農牧用地,1100224,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3637578,9586,,0.0,0,1.建地每坪新台幣70000萬元正，農地每坪新台幣5000元正。,RPRNMLQLLHGGFBN68DA,0.0,0.0,0.0,,
和美鎮,土地,忠孝段31~60地號,660.06,,特定農業區,農牧用地,1100323,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2700000,4091,,0.0,0,,RPXNMLQLLHGGFBN66DA,0.0,0.0,0.0,,
