編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLQLLHGGFBN58DA,32,142.82,住商用,鋼筋混凝土造,78年5月27日,三層,一層 二層 三層 騎樓
RPPNMLKKLHGGFBN77DA,30,106.81,住家用,鋼筋混凝土造,80年2月26日,二層,一層 二層 騎樓
RPPNMLTLLHGGFBN78DA,,178.99,住家用,鋼筋混凝土造,109年9月29日,三層,一層 二層 三層 見其他登記事項
RPPNMLRKLHGGFBN48DA,,241.92,停車空間、住宅,鋼筋混凝土造,109年11月17日,四層,一層 二層 三層 四層
RPQNMLTLLHGGFBN88DA,38,136.21,作業房，儲存室,鋼造,72年6月28日,一層,一層
RPPNMLOLLHGGFBN28DA,14,147.54,住宅，停車空間,鋼筋混凝土造,95年12月18日,三層,一層 二層 三層
RPPNMLTLLHGGFCN88DA,26,92.22,住家用,鋼筋混凝土造,84年3月21日,八層,六層
RPPNMLTLLHGGFCN88DA,26,27.15,見其他登記事項,鋼筋混凝土造,84年3月21日,八層,
RPQNMLQLLHGGFDN78DA,2,95.47,集合住宅,鋼筋混凝土造,108年5月7日,十三層,十層
RPQNMLQLLHGGFDN78DA,2,52.06,共有部分主要用途項目有：停車空間、防空避難室兼停車空間、台電配電場所、公共服務空間等四項,鋼筋混凝土造,108年5月7日,十三層,
RPSNMLTLLHGGFDN66DA,2,81.63,集合住宅,鋼筋混凝土造,108年8月6日,七層,一層
RPQNMLQLLHGGFDN78DA,2,23.29,共有部分主要用途項目有：樓梯間、電梯機房、水箱等三項,鋼筋混凝土造,108年5月7日,十三層,
RPSNMLTLLHGGFDN66DA,2,38.93,本共有部分係依使用執照之建築概要表記載項目有防空避難室兼停車空間、台電配電室、消防機械室、發電機室、電信室、梯廳、安全梯間、騎樓、管理室、資源回收室、安全梯、樓梯間、水箱等１３項,鋼筋混凝土造,108年8月6日,七層,
RPRNMLQLLHGGFDN88DA,2,94.59,集合住宅,鋼筋混凝土造,108年5月7日,十三層,二層
RPRNMLQLLHGGFDN88DA,2,51.64,共有部分主要用途項目有：停車空間、防空避難室兼停車空間、台電配電場所、公共服務空間等四項,鋼筋混凝土造,108年5月7日,十三層,
RPRNMLQLLHGGFDN88DA,2,22.95,共有部分主要用途項目有：樓梯間、電梯機房、水箱等三項,鋼筋混凝土造,108年5月7日,十三層,
RPQNMLQJLHGGFEN68DA,,182.85,住家用,鋼筋混凝土造,109年7月27日,三層,一層 二層 三層 見其他登記事項
RPQNMLQJLHGGFEN68DA,,.11,共有部份,鋼筋混凝土造,109年7月27日,一層,
RPPNMLQJLHGGFEN58DA,1,187.56,住家用,鋼筋混凝土造,109年7月27日,三層,一層 二層 三層 見其他登記事項
RPPNMLQJLHGGFEN58DA,1,.11,共有部份,鋼筋混凝土造,109年7月27日,一層,
RPTNMLQKLHGGFEN09DA,1,187.56,住家用,鋼筋混凝土造,109年7月27日,三層,一層 二層 三層 見其他登記事項
RPTNMLQKLHGGFEN09DA,1,.11,共有部份,鋼筋混凝土造,109年7月27日,一層,
RPSNMLRKLHGGFFN56DA,,166.49,店舖，住宅,鋼筋混凝土造,110年1月13日,四層,一層 二層 三層 四層
RPRNMLTLLHGGFFN76DA,8,255.27,住宅,鋼筋混凝土造,102年4月29日,三層,一層 二層 三層
RPQNMLTLLHGGFFN66DA,1,114.67,住宅,鋼筋混凝土造,109年6月15日,四層,一層 二層 三層 四層
RPQNMLTLLHGGFFN66DA,1,114.67,住宅,鋼筋混凝土造,109年6月15日,四層,一層 二層 三層 四層
RPQNMLKMLHGGFGN58DA,1,165.28,住家用,鋼筋混凝土造,109年1月20日,四層,一層 二層 三層 四層
RPOOMLOLLHGGFHN88DA,27,137.64,農舍,加強磚造,83年8月17日,二層,一層 二層
RPOOMLOLLHGGFHN88DA,27,137.64,農舍,加強磚造,83年8月17日,二層,一層 二層
RPSNMLLMLHGGFFN88EA,1,147.62,住宅,鋼筋混凝土造,109年8月28日,三層,一層 二層 三層 見其他登記事項
RPPNMLLMLHGGFBN18EA,,92.95,住家用,鋼筋混凝土造,109年12月8日,四層,一層 二層 三層 四層
RPPNMLLMLHGGFBN18EA,,92.95,住家用,鋼筋混凝土造,109年12月8日,四層,一層 二層 三層 四層
RPPNMLKMLHGGFHN58DA,31,198.01,住家用,鋼筋混凝土造,79年2月7日,三層,一層 二層 三層
RPQNMLQLLHGGFHN56DA,41,119.32,住商用,加強磚造,69年3月28日,二層,一層 二層 騎樓
RPRNMLLMLHGGFGN78DA,38,57.20,住家用,加強磚造,72年1月7日,二層,一層 二層
RPRNMLLMLHGGFGN78DA,38,57.20,住家用,加強磚造,72年1月7日,二層,一層 二層
RPTNMLLMLHGGFGN98DA,40,104.08,住家用,加強磚造,69年11月27日,二層,一層 二層 騎樓
RPSNMLTLLHGGFGN96DA,26,245.33,住商用,鋼筋混凝土造,83年12月12日,五層,一層 二層 三層 四層 五層 騎樓
RPUNMLKMLHGGFGN98DA,43,107.47,住商用,見其他登記事項,67年3月9日,三層,一層 二層 三層 騎樓
RPVNMLLMLHGGFFN09DA,2,396.76,住宅,鋼筋混凝土造,107年12月19日,四層,一層 二層 三層 四層
RPTNMLKMLHGGFEN68DA,12,37.24,住家用,加強磚造,97年11月21日,一層,一層
RPQNMLRKLHGGFFN98DA,,166.49,店舖，住宅,鋼筋混凝土造,110年1月13日,四層,一層 二層 三層 四層
RPPNMLLMLHGGFEN38DA,37,97.90,住商用,加強磚造,73年4月11日,二層,一層 二層
RPUNMLOLLHGGFDN98DA,,93.85,集合住宅,鋼筋混凝土造,109年8月31日,十四層,八層
RPUNMLOLLHGGFDN98DA,,76.73,本共有部分係依使用執照之建築概要表記載項目有停車空間、消防機房、發電機室、污水機房、雨水機房、法定防空避難室兼停車空間、台電配電室、電信室、管委會使用空間、公共服務空間、梯廳、梯間、外廊、機械室、水箱等１５項。,鋼筋混凝土造,109年8月31日,十四層,
RPTNMLTLLHGGFDN76DA,6,195.56,停車空間、住宅,鋼筋混凝土造,103年9月30日,三層,一層 二層 三層
RPUNMLTLLHGGFDN86DA,3,88.64,集合住宅,鋼筋混凝土造,107年8月3日,十七層,九層
RPUNMLTLLHGGFDN86DA,3,74.75,本共有部分係依使用執照之建築概要表記載項目有停車空間、機械室、梯廳、排煙室、安全梯、防空避難室兼停車空間、機車停車空間、台電配電室、門廳、開放空間、公共服務空間、汙物處理室、特別安全梯、防災中心、梯間、水箱等１６項,鋼筋混凝土造,107年8月3日,十七層,
RPQNMLLLLHGGFCN18DA,40,104.00,住商用,鋼筋混凝土加強磚造,70年2月3日,二層,一層 二層 騎樓
RPSOMLTLLHGGFBN56DA,,149.28,住宅、樓梯間,鋼筋混凝土造,109年12月16日,三層,一層 二層 三層 見其他登記事項
RPROMLTLLHGGFBN09DA,,137.90,住宅、樓梯間,鋼筋混凝土造,109年12月16日,三層,一層 二層 三層 見其他登記事項
RPWNMLTLLHGGFAN76DA,,282.28,店舖、停車空間、住宅,鋼筋混凝土造,109年12月10日,四層,一層 二層 三層 四層
RPXNMLKMLHGGFAN68DA,32,165.04,住家用,鋼筋混凝土造,78年6月14日,三層,一層 二層 三層
RPOOMLKMLHGGFAN87DA,32,86.65,住家用,鋼筋混凝土造,78年1月30日,八層,七層
RPOOMLQLLHGGFAN38DA,45,92.05,住家用,鋼筋混凝土加強磚造,65年4月1日,二層,一層 二層
RPOPMLOJKHGGFAN97DA,44,164.64,住商用,鋼筋混凝土造,66年4月1日,三層,一層 二層 三層 騎樓
RPUNMLOLLHGGFAN68DA,20,71.44,住家用,鋼筋混凝土造,90年4月10日,三層,一層 二層 三層 騎樓
RPUNMLOLLHGGFAN68DA,20,71.44,住家用,鋼筋混凝土造,90年4月10日,三層,一層 二層 三層 騎樓
RPQOMLPJLHGGFAN28DA,,88.87,集合住宅,鋼筋混凝土造,109年11月19日,十四層,六層
RPQOMLPJLHGGFAN28DA,,71.44,停車空間，緊急發電機室，電信室，消防機械室，安全梯，排煙室，緊急昇降機間，停車空間兼防空避難室，台電配電室，電錶室，水箱，管委會使用空間，梯廳，戶外安全梯，管委會空間，公共服務空間，水錶室，瓦斯錶室，電梯機械室,鋼筋混凝土造,109年11月19日,十四層,
RPVPMLRKLHGGFAN56DA,2,71.56,集合住宅,鋼筋混凝土造,107年9月20日,十五層,二層
RPVPMLRKLHGGFAN56DA,2,71.56,集合住宅,鋼筋混凝土造,107年9月20日,十五層,二層
RPVPMLRKLHGGFAN56DA,2,69.07,停車空間、消防機房、水箱、梯廳、排煙室、機房、梯間、防空避難室兼停車空間、台電配電室、緊急發電機室、門廳、公共服務空間、污物處理室、社區游泳池、電信室,鋼筋混凝土造,107年9月20日,十五層,
RPVPMLRKLHGGFAN56DA,2,69.07,停車空間、消防機房、水箱、梯廳、排煙室、機房、梯間、防空避難室兼停車空間、台電配電室、緊急發電機室、門廳、公共服務空間、污物處理室、社區游泳池、電信室,鋼筋混凝土造,107年9月20日,十五層,
RPVNMLRKKHGGFAN88DA,,43.91,住宅、樓梯間,鋼筋混凝土造,109年9月22日,三層,一層 二層 三層 屋頂突出物
