交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,西興段91~120地號,1020410,土地3建物0車位0,,,其他,0,0.0,0,0,0,有,無,5650000,9685,0,001
土地,西興段91~120地號,1031210,土地3建物0車位0,,,其他,0,0.0,0,0,0,有,無,7250000,11800,0,001
土地,西興段91~120地號,1090510,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,664400,8000,0,001
土地,西興段91~120地號,1100310,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,16730000,27230,0,001
房地(土地+建物),彰化縣伸港鄉中華路461巷12弄1~30號,1070608,土地1建物1車位0,一層,一層,工廠,35,136.21,0,0,0,無,無,5700000,,0,002
房地(土地+建物),建興路275巷1~30號,1100208,土地1建物1車位0,全,一層,透天厝,38,136.21,2,2,1,有,無,10000000,73416,0,002
房地(土地+建物),永祥街1~30號,1091207,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),26,119.37,3,2,2,有,無,4000000,33509,0,003
房地(土地+建物),永祥街1~30號,1100307,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),26,119.37,3,2,2,有,無,4500000,37698,0,003
建物,彰化縣埤頭鄉稻香路451~480號,1020515,土地0建物1車位0,全,三層,透天厝,0,255.27,5,2,4,有,無,3232000,12661,0,004
房地(土地+建物),彰化縣埤頭鄉稻香路451~480號,1051015,土地4建物1車位0,全,三層,透天厝,3,242.11,5,3,5,有,無,9880000,40808,0,004
房地(土地+建物),稻香路451~480號,1100315,土地4建物1車位0,全,三層,透天厝,8,255.27,4,3,4,有,無,10000000,39174,0,004
土地,新埤頭段211~240地號,1090405,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,10086600,9075,0,005
土地,新埤頭段211~240地號,1100305,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,12440125,11192,0,005
土地,大溪段301~330地號,1041102,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,4374150,9075,0,006
