編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPRNMLKMLHGGFAN08DA,福元段,253.25,都市：其他:保護區,549000,107807,持分移轉
RPSNMLLKJHGGFBN97DA,伸新段,114.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPROMLNLKHGGFAN28DA,新金墩段,27.61,非都市：特定農業區 ; 非都市編定：甲種建築用地,1800,562,持分移轉
RPROMLNLKHGGFAN28DA,新金墩段,124.34,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPROMLNLKHGGFAN28DA,新金墩段,15.59,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPXNMLQLLHGGFBN66DA,忠孝段,176.78,非都市：特定農業區 ; 非都市編定：農牧用地,81,9,持分移轉
RPXNMLQLLHGGFBN66DA,忠孝段,221.28,非都市：特定農業區 ; 非都市編定：農牧用地,54,3,持分移轉
RPXNMLQLLHGGFBN66DA,忠孝段,262.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉
RPRNMLQLLHGGFBN68DA,中寮北段,16.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,110502144,17428896,持分移轉
RPRNMLQLLHGGFBN68DA,中寮北段,53.42,非都市：鄉村區 ; 非都市編定：乙種建築用地,12188,5342,持分移轉
RPRNMLQLLHGGFBN68DA,中寮北段,25.41,非都市：鄉村區 ; 非都市編定：乙種建築用地,16090,2541,持分移轉
RPRNMLQLLHGGFBN68DA,中寮北段,60.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,1463674564,231078320,持分移轉
RPRNMLQLLHGGFBN68DA,中寮北段,111.84,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPRNMLQLLHGGFBN68DA,中寮北段,111.83,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPVOMLPLLHGGFAN98DA,西興段,31.00,都市：其他:住宅區,30,6,持分移轉
RPVOMLPLLHGGFAN98DA,西興段,554.00,都市：其他:住宅區,1,1,全筆移轉
RPVOMLPLLHGGFAN98DA,西興段,29.40,都市：其他:住宅區,30,6,持分移轉
RPQNMLQLLHGGFBN58DA,和東段,112.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLKKLHGGFBN77DA,頂庄段,79.83,都市：其他:住宅區,1,1,全筆移轉
RPPNMLTLLHGGFBN78DA,永慶段,149.25,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPPNMLRKLHGGFBN48DA,伸同段,31.47,都市：其他:第一種住宅區,6,1,持分移轉
RPPNMLRKLHGGFBN48DA,伸同段,20.64,都市：其他:第一種住宅區,1,1,全筆移轉
RPPNMLRKLHGGFBN48DA,伸同段,95.25,都市：其他:第一種住宅區,1,1,全筆移轉
RPRNMLQLLHGGFCN78DA,草港段,2196.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPTNMLTLLHGGFCN66DA,文開段,2.74,都市：其他:第二種保存區,36,1,持分移轉
RPQNMLTLLHGGFBN88DA,伸東段,266.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLOLLHGGFBN28DA,伸南段,28.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLOLLHGGFBN28DA,伸南段,92.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLTLLHGGFCN88DA,永福段,21.18,都市：其他:住宅區,100000,1472,持分移轉
RPUNMLKMLHGGFEN78DA,惠園段,822.82,非都市：山坡地保育區 ; 非都市編定：農牧用地,54,9,持分移轉
RPQNMLQLLHGGFDN78DA,橋愛段,29.11,都市：其他:第一種住宅區,10000,49,持分移轉
RPQNMLQLLHGGFDN78DA,橋愛段,.00,都市：其他:第一種住宅區,,,
RPSNMLTLLHGGFDN66DA,復興段,26.04,都市：其他:第一種住宅區,1000000,15855,持分移轉
RPSNMLTLLHGGFDN66DA,復興段,.00,都市：其他:第一種住宅區,,,
RPRNMLQLLHGGFDN88DA,橋愛段,28.52,都市：其他:第一種住宅區,10000,48,持分移轉
RPRNMLQLLHGGFDN88DA,橋愛段,.00,都市：其他:第一種住宅區,,,
RPQNMLQJLHGGFEN68DA,湳西段,15.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPQNMLQJLHGGFEN68DA,湳西段,.79,非都市：特定農業區 ; 非都市編定：甲種建築用地,43,1,持分移轉
RPQNMLQJLHGGFEN68DA,湳西段,.93,非都市：特定農業區 ; 非都市編定：甲種建築用地,43,1,持分移轉
RPQNMLQJLHGGFEN68DA,湳西段,85.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPQNMLQJLHGGFEN68DA,湳西段,.07,非都市：特定農業區 ; 非都市編定：甲種建築用地,43,1,持分移轉
RPQNMLQJLHGGFEN68DA,湳西段,1.28,非都市：特定農業區 ; 非都市編定：甲種建築用地,43,1,持分移轉
RPPNMLQJLHGGFEN58DA,湳西段,25.19,非都市：特定農業區 ; 非都市編定：甲種建築用地,37,1,持分移轉
RPPNMLQJLHGGFEN58DA,湳西段,.79,非都市：特定農業區 ; 非都市編定：甲種建築用地,43,1,持分移轉
RPPNMLQJLHGGFEN58DA,湳西段,.93,非都市：特定農業區 ; 非都市編定：甲種建築用地,43,1,持分移轉
RPPNMLQJLHGGFEN58DA,湳西段,87.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPPNMLQJLHGGFEN58DA,湳西段,.07,非都市：特定農業區 ; 非都市編定：甲種建築用地,43,1,持分移轉
RPPNMLQJLHGGFEN58DA,湳西段,1.28,非都市：特定農業區 ; 非都市編定：甲種建築用地,43,1,持分移轉
RPTNMLQKLHGGFEN09DA,湳西段,25.19,非都市：特定農業區 ; 非都市編定：甲種建築用地,37,1,持分移轉
RPTNMLQKLHGGFEN09DA,湳西段,.79,非都市：特定農業區 ; 非都市編定：甲種建築用地,43,1,持分移轉
RPTNMLQKLHGGFEN09DA,湳西段,.93,非都市：特定農業區 ; 非都市編定：甲種建築用地,43,1,持分移轉
RPTNMLQKLHGGFEN09DA,湳西段,87.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPTNMLQKLHGGFEN09DA,湳西段,.07,非都市：特定農業區 ; 非都市編定：甲種建築用地,43,1,持分移轉
RPTNMLQKLHGGFEN09DA,湳西段,1.28,非都市：特定農業區 ; 非都市編定：甲種建築用地,43,1,持分移轉
RPSNMLRKLHGGFFN56DA,新豐段,69.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPSNMLRKLHGGFFN56DA,新豐段,30.56,非都市：特定農業區 ; 非都市編定：甲種建築用地,9,1,持分移轉
RPQNMLKMLHGGFFN48DA,新埤頭段,555.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉
RPQNMLKMLHGGFFN48DA,新埤頭段,555.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉
RPRNMLTLLHGGFFN76DA,稻香段,.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,600,1,持分移轉
RPRNMLTLLHGGFFN76DA,稻香段,14.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉
RPRNMLTLLHGGFFN76DA,稻香段,238.58,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPRNMLTLLHGGFFN76DA,稻香段,5.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPRNMLKMLHGGFGN68DA,文津段,2097.23,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPSNMLKMLHGGFGN78DA,復興段,1419.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLTLLHGGFFN66DA,永豐段,19.98,都市：其他:住宅區,20,1,持分移轉
RPSNMLOLLHGGFGN09DA,芳墘段,321.26,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPSNMLOLLHGGFGN09DA,芳墘段,151.92,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉
RPSNMLOLLHGGFGN09DA,芳墘段,166.79,非都市：一般農業區 ; 非都市編定：交通用地,2358,423,持分移轉
RPQNMLTLLHGGFFN66DA,永豐段,19.98,都市：其他:住宅區,20,1,持分移轉
RPQNMLTLLHGGFFN66DA,永豐段,59.70,都市：其他:住宅區,2,1,持分移轉
RPQNMLTLLHGGFFN66DA,永豐段,59.70,都市：其他:住宅區,2,1,持分移轉
RPXNMLKMLHGGFGN66DA,三林段,3816.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPSNMLQLLHGGFHN76DA,大義段,2599.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLKMLHGGFGN58DA,梅芳段,1.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉
