鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新竹市,房地(土地+建物)+車位,高峰路192巷1弄1~30號,514.48,都市：其他:甲之一種風景區,,,1100116,土地9建物1車位1,全,三層,透天厝,見使用執照,鋼筋混凝土造,0800726,442.67,4,2,4,有,有,18500000,41792,坡道平面,0.0,0,含傢俱設備費；其他增建；,RPWOMLTKJHGGFAO66DA,312.52,130.15,0.0,無,
新竹市,房地(土地+建物)+車位,江山街1~30號,25.24,都市：其他:第二種商業區,,,1100123,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1011015,220.05,3,2,3,有,有,15580000,70802,坡道平面,38.99,0,,RPTPMLTLJHGGFAO56DA,113.77,4.95,11.34,有,001
新竹市,房地(土地+建物)+車位,東門街91~120號,16.02,都市：其他:第二種商業區,,,1100116,土地2建物1車位1,二十層,二十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080426,214.75,4,2,2,有,有,23050000,117015,坡道平面,33.15,1800000,,RPVPMLTJKHGGFAO66DA,108.58,0.0,12.52,有,
新竹市,房地(土地+建物)+車位,東門街91~120號,16.02,都市：其他:第二種商業區,,,1100116,土地2建物1車位1,二十一層,二十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080426,214.37,4,2,2,有,有,23630000,118254,坡道平面,33.15,2200000,,RPQQMLTJKHGGFAO88DA,108.48,0.0,12.4,有,
新竹市,房地(土地+建物),田美三街58巷1~30號,46.78,都市：其他:第一種住宅區,,,1100305,土地1建物1車位0,一層，地下層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790924,212.64999999999998,4,2,3,有,無,8000000,37621,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTQMLPJLHGGFAO88DA,166.25,16.04,0.0,有,
新竹市,房地(土地+建物)+車位,田美三街48巷1~30號,15.0,都市：其他:第一種住宅區,,,1100305,土地1建物1車位2,地下層,十六層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0800115,72.2,1,0,1,有,有,2000000,27705,坡道機械,34.16,0,親友、員工、共有人或其他特殊關係間之交易；,RPVQMLPJLHGGFAO09DA,56.11,0.0,3.78,有,
新竹市,房地(土地+建物)+車位,東大路三段391~420號,20.0,都市：其他:第一之一種住宅區,,,1100226,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841002,130.34,4,2,2,有,有,4100000,31456,坡道機械,0.0,0,陽台外推；,RPPOMLSJLHGGFAO58DA,79.86,0.0,15.9,有,002
新竹市,房地(土地+建物)+車位,牛埔路14巷1~30號,25.2,都市：其他:第二種住宅區,,,1091203,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1091230,86.94,3,2,2,有,有,7450000,85691,其他,5.03,0,,RPXOMLTJLHGGFAO86DA,57.94,0.0,0.0,有,
新竹市,房地(土地+建物)+車位,東門街91~120號,18.45,都市：其他:第二種商業區,,,1100226,土地2建物1車位2,十三層,二十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080426,267.67,4,2,2,有,有,27600000,116204,坡道平面,66.3,4200000,,RPROMLMKLHGGFAO28DA,120.18,0.0,14.12,有,
