編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLSJLHGGFAO58DA,25,95.76,住家用,鋼筋混凝土造,84年10月2日,八層,四層
RPPOMLSJLHGGFAO58DA,25,11.15,共有部分,鋼筋混凝土造,84年10月2日,八層,
RPPOMLSJLHGGFAO58DA,25,23.43,共有部分,鋼筋混凝土造,84年10月2日,八層,
RPTPMLTLJHGGFAO56DA,8,130.06,見其他登記事項,鋼筋混凝土造,101年10月15日,十一層,七層
RPTPMLTLJHGGFAO56DA,8,89.99,共有部分,鋼筋混凝土造,101年10月15日,十一層,
RPVPMLTJKHGGFAO66DA,2,121.10,集合住宅,鋼筋混凝土造,108年4月26日,二十八層,二十層
RPVPMLTJKHGGFAO66DA,2,93.65,共有部分,鋼筋混凝土造,108年4月26日,二十八層,
RPXOMLTJLHGGFAO86DA,,57.94,集合住宅,鋼筋混凝土造,109年12月30日,五層,五層
RPXOMLTJLHGGFAO86DA,,29.00,共有部分,鋼筋混凝土造,109年12月30日,五層,
RPWOMLTKJHGGFAO66DA,29,442.67,見使用執照,鋼筋混凝土造,80年7月26日,三層,一層 二層 三層 地下層
RPTQMLPJLHGGFAO88DA,30,91.14,住家用,鋼筋混凝土造,79年9月24日,五層,一層 地下層
RPTQMLPJLHGGFAO88DA,30,91.14,住家用,鋼筋混凝土造,79年9月24日,五層,一層 地下層
RPTQMLPJLHGGFAO88DA,30,15.18,共有部分,鋼筋混凝土造,79年9月24日,五層,
RPTQMLPJLHGGFAO88DA,30,15.18,共有部分,鋼筋混凝土造,79年9月24日,五層,
RPROMLMKLHGGFAO28DA,2,134.30,集合住宅,鋼筋混凝土造,108年4月26日,二十八層,十三層
RPROMLMKLHGGFAO28DA,2,133.37,共有部分,鋼筋混凝土造,108年4月26日,二十八層,
RPVQMLPJLHGGFAO09DA,30,34.16,見使用執照,鋼筋混凝土造,80年1月15日,十六層,地下層
RPVQMLPJLHGGFAO09DA,30,25.73,住家用,鋼筋混凝土造,80年1月15日,十六層,七層
RPVQMLPJLHGGFAO09DA,30,12.31,共有部分,鋼筋混凝土造,80年1月15日,十六層,
RPQQMLTJKHGGFAO88DA,2,120.88,集合住宅,鋼筋混凝土造,108年4月26日,二十八層,二十一層
RPQQMLTJKHGGFAO88DA,2,93.49,共有部分,鋼筋混凝土造,108年4月26日,二十八層,
RPRRMLRKLHGGFAO09DA,7,221.07,見其他登記事項,鋼筋混凝土造,103年6月5日,二十六層,六層
RPRRMLRKLHGGFAO09DA,7,.26,見其他登記事項,鋼筋混凝土造,103年6月5日,二十六層,一層
RPRRMLRKLHGGFAO09DA,7,56.00,共有部分,鋼筋混凝土造,103年6月5日,二十六層,
RPRRMLRKLHGGFAO09DA,7,.08,共有部分,鋼筋混凝土造,103年6月5日,二十六層,
RPRRMLRKLHGGFAO09DA,7,78.27,共有部分,鋼筋混凝土造,103年6月5日,二十六層,
RPRRMLRKLHGGFAO09DA,7,82.59,共有部分,鋼筋混凝土造,103年6月5日,二十六層,
RPQPMLOLLHGGFAO58DA,,262.39,住家用,見其他登記事項,,三層,一層 二層 三層
RPOPMLOLLHGGFAO38DA,27,78.51,住家用,鋼筋混凝土造,83年5月30日,七層,一層
RPOPMLOLLHGGFAO38DA,27,10.80,共有部分,鋼筋混凝土造,83年5月30日,七層,
RPOPMLOLLHGGFAO38DA,27,19.77,共有部分,鋼筋混凝土造,83年5月30日,八層,
RPUOMLMLLHGGFAO68DA,29,25.76,住家用,鋼筋混凝土造,81年1月3日,七層,六層
RPUOMLMLLHGGFAO68DA,29,8.52,共有部分,鋼筋混凝土造,81年1月3日,七層,
RPPNMLQLLHGGFAO48DA,,57.94,集合住宅,鋼筋混凝土造,109年12月30日,五層,四層
RPPNMLQLLHGGFAO48DA,,29.00,共有部分,鋼筋混凝土造,109年12月30日,五層,
RPWOMLPLLHGGFAO56DA,23,87.68,住家用,鋼筋混凝土造,86年10月30日,七層,四層
RPWOMLPLLHGGFAO56DA,23,26.85,見其他登記事項,鋼筋混凝土造,86年10月30日,八層,
RPWOMLPLLHGGFAO56DA,23,11.44,見其他登記事項,鋼筋混凝土造,86年10月30日,七層,
RPRNMLQLLHGGFAO68DA,,38.86,集合住宅,鋼筋混凝土造,109年12月30日,五層,三層
RPRNMLQLLHGGFAO68DA,,21.25,共有部分,鋼筋混凝土造,109年12月30日,五層,
RPQQMLQLLHGGFAO88DA,,50.40,住家用,加強磚造,,二層,一層 二層
RPQNMLQLLHGGFAO58DA,,57.94,集合住宅,鋼筋混凝土造,109年12月30日,五層,三層
RPQNMLQLLHGGFAO58DA,,29.00,共有部分,鋼筋混凝土造,109年12月30日,五層,
RPUOMLTLLHGGFAO76DA,32,92.95,住家用,鋼筋混凝土造,78年4月4日,五層,三層
RPUOMLTLLHGGFAO76DA,32,8.43,共有部分,鋼筋混凝土造,78年4月4日,五層,
RPUOMLTLLHGGFAO76DA,32,6.48,共有部分,鋼筋混凝土造,78年4月4日,000,
RPQTMLQLLHGGFAO56DA,1,.01,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,一層
RPQTMLQLLHGGFAO56DA,1,40.59,見其他登記事項,鋼筋混凝土造,109年5月12日,二十一層,八層
RPQTMLQLLHGGFAO56DA,1,43.20,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPQTMLQLLHGGFAO56DA,1,23.91,共有部分,鋼筋混凝土造,109年5月12日,二十一層,
RPTOMLTLLHGGFAO66DA,5,95.16,見其他登記事項,鋼筋混凝土造,104年12月7日,八層,八層
RPTOMLTLLHGGFAO66DA,5,19.00,共有部分,鋼筋混凝土造,104年12月7日,八層,
RPTOMLTLLHGGFAO66DA,5,59.20,共有部分,鋼筋混凝土造,104年12月7日,八層,
RPROMLTLLHGGFAO09DA,25,44.19,住家用,鋼筋混凝土造,84年12月8日,八層,六層
RPROMLTLLHGGFAO09DA,25,6.55,共有部分,鋼筋混凝土造,84年12月8日,八層,
RPROMLTLLHGGFAO09DA,25,6.84,共有部分,鋼筋混凝土造,84年12月8日,八層,
RPROMLTLLHGGFAO09DA,25,.00,共有部分,鋼筋混凝土造,84年12月8日,八層,
RPROMLTLLHGGFAO09DA,25,24.63,見其他登記事項,鋼筋混凝土造,85年4月10日,八層,地下二層
RPVNMLKMLHGGFAO58DA,2,89.72,集合住宅,鋼筋混凝土造,108年4月26日,二十八層,八層
