交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,新竹市新竹市江山街1~30號,1020523,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),1,220.05,3,2,3,有,有,12610000,63846,1050000,001
房地(土地+建物)+車位,江山街1~30號,1100123,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),8,220.05,3,2,3,有,有,15580000,70802,0,001
房地(土地+建物)+車位,新竹市新竹市東大路三段391~420號,1010826,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),17,130.34,4,1,2,有,有,3300000,25318,0,002
房地(土地+建物)+車位,東大路三段391~420號,1090726,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),25,130.34,4,2,2,有,無,4000000,30689,0,002
房地(土地+建物)+車位,東大路三段391~420號,1100226,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),25,130.34,4,2,2,有,有,4100000,31456,0,002
房地(土地+建物)+車位,埔頂一路91~120號,1070628,土地1建物1車位1,八層,二十一層,住宅大樓(11層含以上有電梯),0,107.71000000000001,1,1,1,有,有,5960000,77674,950000,003
房地(土地+建物)+車位,埔頂一路91~120號,1100228,土地1建物1車位1,八層,二十一層,住宅大樓(11層含以上有電梯),1,107.71000000000001,1,1,1,有,有,9200000,85415,0,003
房地(土地+建物)+車位,新竹市新竹市埔頂路151~180號,1010918,土地4建物1車位1,六層,八層,華廈(10層含以下有電梯),17,82.22999999999999,2,1,1,有,有,4300000,52290,0,004
房地(土地+建物)+車位,新竹市新竹市埔頂路151~180號,1011218,土地4建物1車位1,六層,八層,華廈(10層含以下有電梯),17,82.22999999999999,2,1,1,有,有,4270000,51928,0,004
房地(土地+建物)+車位,新竹市新竹市埔頂路151~180號,1040618,土地4建物1車位1,六層,八層,華廈(10層含以下有電梯),20,82.21,2,1,1,有,有,4990000,60691,0,004
房地(土地+建物)+車位,埔頂路151~180號,1100218,土地4建物1車位1,六層,八層,華廈(10層含以下有電梯),25,82.21,2,1,1,有,有,5900000,71759,0,004
房地(土地+建物)+車位,新竹市新竹市東大路三段301~330號,1060324,土地2建物1車位1,八層,八層,華廈(10層含以下有電梯),1,173.36,3,2,2,有,有,8700000,55616,1000000,005
房地(土地+建物)+車位,東大路三段301~330號,1100124,土地2建物1車位1,八層,八層,華廈(10層含以下有電梯),5,173.36,3,2,2,有,有,8850000,51050,0,005
房地(土地+建物),新竹市新竹市竹光路78巷15弄1~30號,1020508,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),24,107.85000000000001,3,2,2,有,無,3150000,29207,0,006
房地(土地+建物),新竹市新竹市竹光路78巷15弄1~30號,1090108,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),31,107.85000000000001,3,2,2,有,無,3650000,33843,0,006
房地(土地+建物),竹光路78巷15弄1~30號,1100208,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),32,107.85000000000001,3,2,2,有,無,5400000,50070,0,006
房地(土地+建物)+車位,新竹市新竹市東門街91~120號,1050609,土地2建物1車位1,八層,二十八層,住宅大樓(11層含以上有電梯),0,167.63,3,2,2,有,有,15850000,106707,1500000,007
房地(土地+建物)+車位,東門街91~120號,1100209,土地2建物1車位1,八層,二十八層,住宅大樓(11層含以上有電梯),2,167.63,3,2,2,有,有,18150000,108274,0,007
房地(土地+建物)+車位,新竹市新竹市慈雲路121~150號,1020607,土地1建物1車位1,七層,二十八層,住宅大樓(11層含以上有電梯),2,189.68,3,2,2,有,有,14300000,82229,1150000,008
房地(土地+建物)+車位,慈雲路121~150號,1100307,土地1建物1車位1,七層,二十八層,住宅大樓(11層含以上有電梯),6,189.68,3,2,2,有,有,17600000,92788,0,008
房地(土地+建物)+車位,新竹市新竹市慈雲路121~150號,1010802,土地1建物1車位1,二十二層,二十八層,住宅大樓(11層含以上有電梯),2,185.57999999999998,3,2,2,有,有,13900000,82788,1000000,009
房地(土地+建物)+車位,慈雲路121~150號,1100302,土地1建物1車位1,二十二層,二十八層,住宅大樓(11層含以上有電梯),6,185.57999999999998,3,2,2,有,有,19600000,105615,0,009
房地(土地+建物)+車位,東新路61~90號,1071128,土地1建物1車位1,二層,四層,華廈(10層含以下有電梯),0,114.05000000000001,2,2,1,有,有,6790000,75961,900000,010
房地(土地+建物)+車位,東新路61~90號,1100228,土地1建物1車位1,二層,四層,華廈(10層含以下有電梯),0,114.05000000000001,2,2,1,有,有,9100000,79783,0,010
房地(土地+建物),新竹市新竹市武陵路240巷1~30號,1030804,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),30,68.87,2,2,1,有,無,2100000,30492,0,011
房地(土地+建物),武陵路240巷1~30號,1100304,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),37,68.87,3,2,2,有,無,3720000,54015,0,011
房地(土地+建物)+車位,慈雲路61~90號,1090916,土地1建物1車位1,十三層,二十九層,住宅大樓(11層含以上有電梯),1,177.98000000000002,3,2,2,有,有,17500000,109738,1600000,012
房地(土地+建物)+車位,慈雲路61~90號,1100316,土地1建物1車位1,十三層,二十九層,住宅大樓(11層含以上有電梯),2,177.98000000000002,2,2,2,有,有,17100000,96078,0,012
房地(土地+建物)+車位,新竹市新竹市經國路三段92巷16弄31~60號,1020621,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),0,139.17000000000002,3,2,2,有,有,6020000,43256,0,013
房地(土地+建物)+車位,經國路三段92巷16弄31~60號,1100221,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),8,139.17000000000002,2,2,2,有,有,7780000,55903,0,013
土地,光華段1081~1110地號,1020513,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2939000,96361,0,014
土地,光華段1081~1110地號,1040913,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,19376000,105880,0,014
土地,光華段1081~1110地號,1100313,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,44300000,242077,0,014
房地(土地+建物)+車位,新竹市新竹市龍山東路61~90號,1020709,土地1建物1車位1,八層,二十八層,住宅大樓(11層含以上有電梯),3,182.01999999999998,3,2,2,有,有,12660000,74895,900000,015
房地(土地+建物)+車位,龍山東路61~90號,1100209,土地1建物1車位1,八層,二十八層,住宅大樓(11層含以上有電梯),5,182.01999999999998,3,2,2,有,有,18500000,101637,0,015
房地(土地+建物),延平路三段515巷21弄1~30號,1090601,土地4建物1車位0,全,四層,透天厝,25,224.9,4,3,3,有,無,6500000,28902,0,016
房地(土地+建物),延平路三段515巷21弄1~30號,1100301,土地4建物1車位0,全,四層,透天厝,26,224.9,4,2,3,有,無,8700000,38684,0,016
房地(土地+建物)+車位,新竹市新竹市武陵路179巷1~30號,1040407,土地2建物1車位1,四層,二十層,住宅大樓(11層含以上有電梯),15,218.76999999999998,5,2,3,有,有,11800000,53938,0,017
房地(土地+建物)+車位,武陵路179巷1~30號,1100307,土地2建物1車位1,四層,二十層,住宅大樓(11層含以上有電梯),21,218.76999999999998,5,2,3,有,有,13600000,62166,0,017
房地(土地+建物)+車位,新竹市新竹市關新東路271~300號,1000926,土地2建物1車位2,一層，二層,二十六層,店面(店鋪),2,322.06,0,0,0,無,有,43570000,155745,2000000,018
房地(土地+建物)+車位,關新東路271~300號,1100226,土地2建物1車位2,一層，二層,二十六層,住宅大樓(11層含以上有電梯),8,322.06,0,0,0,無,有,56000000,173875,0,018
房地(土地+建物)+車位,新竹市新竹市經國路二段511~540號,1021121,土地2建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),7,140.36,3,2,2,有,有,7800000,55575,0,019
房地(土地+建物)+車位,經國路二段511~540號,1100221,土地2建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),14,140.36,3,2,2,有,有,9350000,66619,0,019
房地(土地+建物)+車位,新竹市新竹市慈雲路121~150號,1020220,土地1建物1車位1,十二層,二十八層,住宅大樓(11層含以上有電梯),2,189.68,3,2,2,有,有,14050000,81603,1000000,020
房地(土地+建物)+車位,慈雲路121~150號,1100220,土地1建物1車位1,十二層,二十八層,住宅大樓(11層含以上有電梯),6,189.68,3,2,2,有,有,17330000,91364,0,020
房地(土地+建物),新竹市新竹市仁德街61~90號,1041202,土地1建物1車位0,全,二層,透天厝,-1,79.62,3,2,4,有,無,10000000,125597,0,021
房地(土地+建物),仁德街61~90號,1090902,土地1建物1車位0,全,二層,透天厝,-1,39.81,3,2,3,有,無,7000000,175835,0,021
房地(土地+建物)+車位,新竹市新竹市中山路640巷481~510號,1011114,土地1建物1車位2,八層,十層,華廈(10層含以下有電梯),0,180.73000000000002,3,2,2,有,有,5890000,41326,890000,022
房地(土地+建物)+車位,中山路640巷481~510號,1091214,土地1建物1車位2,八層,十層,華廈(10層含以下有電梯),8,180.73000000000002,3,2,2,有,有,10100000,55884,0,022
房地(土地+建物),新竹市新竹市光華二街81巷10弄61~90號,1010827,土地2建物1車位0,四層,八層,華廈(10層含以下有電梯),19,148.73000000000002,3,2,2,有,有,5500000,36981,0,023
房地(土地+建物)+車位,光華二街81巷10弄61~90號,1100227,土地2建物1車位1,四層,八層,華廈(10層含以下有電梯),28,148.73000000000002,3,2,2,有,有,7880000,52982,0,023
房地(土地+建物)+車位,新竹市新竹市經國路一段511~540號,1011222,土地1建物1車位1,十六層,二十層,住宅大樓(11層含以上有電梯),17,136.73000000000002,3,2,2,有,有,5580000,40810,0,024
