編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPPOMLSJLHGGFAO58DA,南寮段,20.00,都市：其他:第一之一種住宅區,100000,1134,持分移轉
RPTPMLTLJHGGFAO56DA,西門段一小段,25.24,都市：其他:第二種商業區,10000,239,持分移轉
RPVPMLTJKHGGFAO66DA,榮光段一小段,3.03,都市：其他:第二種商業區,10000,66,持分移轉
RPVPMLTJKHGGFAO66DA,榮光段一小段,13.00,都市：其他:第二種商業區,10000,66,持分移轉
RPXOMLTJLHGGFAO86DA,和平段,25.20,都市：其他:第二種住宅區,10000,1491,持分移轉
RPWOMLTKJHGGFAO66DA,古峰段,122.51,都市：其他:乙種風景區,29,1,持分移轉
RPWOMLTKJHGGFAO66DA,古峰段,4.00,都市：其他:甲種風景區,29,1,持分移轉
RPWOMLTKJHGGFAO66DA,古峰段,5.64,都市：其他:道路用地,29,1,持分移轉
RPWOMLTKJHGGFAO66DA,古峰段,52.52,都市：其他:甲種風景區,29,1,持分移轉
RPWOMLTKJHGGFAO66DA,古峰段,.27,都市：其他:甲種風景區,29,1,持分移轉
RPWOMLTKJHGGFAO66DA,古峰段,72.91,都市：其他:乙種風景區,1,1,全筆移轉
RPWOMLTKJHGGFAO66DA,古峰段,252.43,都市：其他:甲種風景區,1,1,全筆移轉
RPWOMLTKJHGGFAO66DA,古峰段,3.08,都市：其他:甲種風景區,29,1,持分移轉
RPWOMLTKJHGGFAO66DA,古峰段,1.11,都市：其他:甲之一種風景區,29,1,持分移轉
RPTQMLPJLHGGFAO88DA,民主段,23.39,都市：其他:第一種住宅區,20000,579,持分移轉
RPTQMLPJLHGGFAO88DA,民主段,23.39,都市：其他:第一種住宅區,20000,579,持分移轉
RPROMLMKLHGGFAO28DA,榮光段一小段,3.49,都市：其他:第二種商業區,10000,76,持分移轉
RPROMLMKLHGGFAO28DA,榮光段一小段,14.96,都市：其他:第二種商業區,10000,76,持分移轉
RPVQMLPJLHGGFAO09DA,民主段,15.00,都市：其他:第一種住宅區,10000,92,持分移轉
RPQQMLTJKHGGFAO88DA,榮光段一小段,3.03,都市：其他:第二種商業區,10000,66,持分移轉
RPQQMLTJKHGGFAO88DA,榮光段一小段,13.00,都市：其他:第二種商業區,10000,66,持分移轉
RPRRMLRKLHGGFAO09DA,東山段一小段,46.67,都市：其他:第二種住宅區,100000,1799,持分移轉
RPRRMLTKLHGGFAO66DA,水源段,10.54,非都市：鄉村區 ; 非都市編定：乙種建築用地,144,12,持分移轉
RPVOMLPLLHGGFAO09DA,士林段,77.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPVOMLPLLHGGFAO09DA,士林段,76.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPVOMLPLLHGGFAO09DA,士林段,72.55,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPVOMLPLLHGGFAO09DA,士林段,76.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPVOMLPLLHGGFAO09DA,士林段,82.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPVOMLPLLHGGFAO09DA,士林段,81.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPVOMLPLLHGGFAO09DA,士林段,81.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPVOMLPLLHGGFAO09DA,士林段,76.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPVOMLPLLHGGFAO09DA,士林段,76.88,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPVOMLPLLHGGFAO09DA,士林段,72.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPVOMLPLLHGGFAO09DA,士林段,76.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPVOMLPLLHGGFAO09DA,士林段,82.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPQPMLOLLHGGFAO58DA,東山段二小段,141.00,都市：其他:第一種住宅區,1,1,全筆移轉
RPWSMLQLLHGGFAO07DA,長興段,131.97,都市：其他:乙種工業區,16,3,持分移轉
RPWSMLQLLHGGFAO07DA,長興段,43.99,都市：其他:乙種工業區,128,8,持分移轉
RPOPMLOLLHGGFAO38DA,康朗段,19.97,都市：其他:第一之一種住宅區,10000,104,持分移轉
RPWSMLQLLHGGFAO07DA,長興段,95.14,都市：其他:乙種工業區,24,7,持分移轉
RPWSMLQLLHGGFAO07DA,長興段,67.96,都市：其他:乙種工業區,288,60,持分移轉
RPUOMLMLLHGGFAO68DA,光復段,5.81,都市：其他:第一種住宅區,10000,182,持分移轉
RPPNMLQLLHGGFAO48DA,和平段,25.20,都市：其他:第二種住宅區,10000,1491,持分移轉
RPWOMLPLLHGGFAO56DA,五福段,29.78,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,215,持分移轉
RPWOMLPLLHGGFAO56DA,五福段,2.80,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,10000,31,持分移轉
RPRNMLQLLHGGFAO68DA,和平段,17.05,都市：其他:第二種住宅區,10000,1009,持分移轉
RPQQMLQLLHGGFAO88DA,成德段,39.55,都市：其他:第二種住宅區,1,1,全筆移轉
RPQNMLQLLHGGFAO58DA,和平段,25.20,都市：其他:第二種住宅區,10000,1491,持分移轉
RPUOMLTLLHGGFAO76DA,崙子段,31.20,都市：其他:第一種住宅區,5,1,持分移轉
RPQTMLQLLHGGFAO56DA,光武段,9.71,都市：其他:商務專用區,100000,98,持分移轉
RPTOMLTLLHGGFAO66DA,康朗段,6.79,都市：其他:農業區,236,1,持分移轉
