編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPOMLSJLHGGFAO58DA,坡道機械,0,,
RPTPMLTLJHGGFAO56DA,坡道平面,0,38.99,
RPVPMLTJKHGGFAO66DA,坡道平面,1800000,33.15,
RPXOMLTJLHGGFAO86DA,其他,0,5.03,
RPWOMLTKJHGGFAO66DA,坡道平面,0,,
RPROMLMKLHGGFAO28DA,坡道平面,2400000,33.15,
RPROMLMKLHGGFAO28DA,坡道平面,1800000,33.15,
RPVQMLPJLHGGFAO09DA,坡道機械,0,17.08,
RPVQMLPJLHGGFAO09DA,坡道機械,0,17.08,
RPQQMLTJKHGGFAO88DA,坡道平面,2200000,33.15,
RPRRMLRKLHGGFAO09DA,坡道平面,0,27.64,
RPRRMLRKLHGGFAO09DA,坡道平面,0,27.64,
RPRRMLRKLHGGFAO09DA,坡道平面,0,27.64,
RPPNMLQLLHGGFAO48DA,其他,0,5.03,
RPWOMLPLLHGGFAO56DA,坡道平面,0,,
RPRNMLQLLHGGFAO68DA,其他,0,5.03,
RPQNMLQLLHGGFAO58DA,其他,0,5.03,
RPQTMLQLLHGGFAO56DA,坡道平面,0,,
RPTOMLTLLHGGFAO66DA,坡道平面,0,34.91,
RPROMLTLLHGGFAO09DA,坡道平面,0,,
RPVNMLKMLHGGFAO58DA,坡道平面,0,33.15,
RPQNMLTLLHGGFAO98EA,坡道平面,0,,
RPSOMLQLLHGGFAO98EA,坡道平面,0,,
RPQPMLTLLHGGFAO56EA,坡道平面,0,,
RPRNMLTLLHGGFAO09EA,坡道平面,1600000,2.47,
RPSQMLKMLHGGFAO68EA,坡道平面,1050000,25.41,
RPSNMLTLLHGGFAO56EA,坡道平面,1500000,,
RPQNMLKMLHGGFAO18EA,坡道平面,0,,
RPTNMLKMLHGGFAO48EA,坡道平面,0,27.57,
RPVOMLTLLHGGFAO86DA,坡道平面,0,25.00,
RPTOMLKMLHGGFAO48DA,坡道平面,1080000,,
RPPNMLKMLHGGFAO97DA,坡道平面,1200000,42.66,
RPOQMLKMLHGGFAO18DA,坡道平面,0,,
RPOQMLKMLHGGFAO18DA,坡道平面,0,,
RPXPMLTLLHGGFAO17DA,坡道平面,0,,
RPXPMLTLLHGGFAO17DA,坡道平面,0,,
RPVPMLKMLHGGFAO78DA,坡道平面,0,,
RPXPMLKMLHGGFAO98DA,坡道平面,0,,
RPURMLQLLHGGFAO76DA,坡道平面,0,,
RPUPMLLKLHGGFAO58DA,升降機械,0,,
RPUPMLLKLHGGFAO58DA,升降機械,0,,
RPRQMLLKLHGGFAO38DA,一樓平面,850000,7.71,
RPSOMLTKLHGGFAO09DA,坡道平面,0,,
RPSPMLLJKHGGFAO18DA,坡道平面,1250000,35.92,
RPWPMLNLKIPFFAO27DA,坡道平面,1250000,35.92,
RPOUMLNLRHPFFAO57DA,坡道平面,1300000,35.92,
RPOQMLNLKIPFFAO56DA,坡道平面,1250000,35.92,
RPRNMLSLLHGGFAO88DA,坡道平面,0,,
RPORMLKMLHGGFAO28DA,坡道機械,0,13.32,
RPQQMLKMLHGGFAO38DA,坡道平面,0,,
RPURNLLMLHGGFAO09DA,坡道平面,0,29.87,
RPURNLLMLHGGFAO09DA,坡道平面,0,29.87,
RPRQMLKMLHGGFAO48DA,坡道機械,0,,
RPUPMLKMLHGGFAO68DA,坡道平面,0,,
RPTQMLTLLHGGFAO86DA,坡道平面,1500000,,
RPTQMLTLLHGGFAO86DA,坡道平面,1500000,,
RPVQMLTLLHGGFAO07DA,坡道平面,1500000,,
RPRQMLTLLHGGFAO66DA,坡道平面,1500000,,
RPUQMLTLLHGGFAO96DA,坡道平面,1500000,,
RPUQMLTLLHGGFAO96DA,坡道平面,1500000,,
RPWQMLTLLHGGFAO17DA,坡道平面,1700000,,
RPORMLTLLHGGFAO09DA,坡道平面,1500000,,
RPORMLTLLHGGFAO09DA,坡道平面,1300000,,
RPXQMLTLLHGGFAO27DA,坡道平面,1500000,,
RPQOMLKMLHGGFAO18DA,坡道平面,1700000,,
RPQOMLKMLHGGFAO18DA,坡道平面,1700000,,
RPVQNLLMLHGGFAO56EA,坡道平面,0,,
RPSNMLLJMHGGFAO28EA,坡道機械,0,13.20,
RPXQNLLMLHGGFAO76EA,坡道平面,0,,
RPPNMLLMLHGGFAO18EA,坡道平面,1000000,27.54,
RPQNMLLMLHGGFAO28EA,坡道平面,1000000,27.54,
RPRNMLLMLHGGFAO38EA,坡道平面,1000000,27.54,
RPTNMLLMLHGGFAO58EA,坡道平面,1100000,27.54,
RPSNMLLMLHGGFAO48EA,坡道平面,1050000,27.54,
RPTOMLLMLHGGFAO68EA,坡道平面,1050000,25.41,
RPUOMLLMLHGGFAO78EA,坡道平面,870000,25.41,
RPVOMLLMLHGGFAO88EA,坡道平面,1020000,27.54,
RPWOMLLMLHGGFAO98EA,坡道平面,910000,25.41,
RPXOMLLMLHGGFAO09EA,坡道平面,1000000,27.54,
RPOPMLLMLHGGFAO28EA,坡道平面,1200000,27.54,
RPQPMLLMLHGGFAO48EA,坡道平面,950000,25.41,
RPPPMLLMLHGGFAO38EA,坡道平面,1050000,27.54,
RPSPMLLMLHGGFAO68EA,坡道平面,970000,27.54,
RPRPMLLMLHGGFAO58EA,坡道平面,1200000,27.54,
RPUPMLLMLHGGFAO88EA,坡道平面,1000000,27.54,
RPTPMLLMLHGGFAO78EA,坡道平面,1000000,27.54,
RPWPMLLMLHGGFAO09EA,坡道平面,1150000,27.54,
RPXPMLLMLHGGFAO56EA,坡道平面,1100000,25.41,
RPPQMLLMLHGGFAO48EA,坡道平面,1050000,27.54,
RPOQMLLMLHGGFAO38EA,坡道平面,1000000,27.54,
RPQQMLLMLHGGFAO58EA,坡道平面,1100000,27.54,
RPRQMLLMLHGGFAO68EA,坡道平面,1150000,27.54,
RPSQMLLMLHGGFAO78EA,坡道平面,1120000,30.10,
RPUQMLLMLHGGFAO98EA,坡道平面,940000,30.10,
RPTQMLLMLHGGFAO88EA,坡道平面,870000,25.41,
RPVQMLLMLHGGFAO09EA,坡道平面,1020000,27.54,
RPWQMLLMLHGGFAO56EA,坡道平面,1050000,27.54,
RPXQMLLMLHGGFAO66EA,坡道平面,910000,25.41,
RPPRMLLMLHGGFAO58EA,坡道平面,970000,27.54,
RPORMLLMLHGGFAO48EA,坡道平面,910000,25.41,
RPQRMLLMLHGGFAO68EA,坡道平面,1100000,27.54,
RPRRMLLMLHGGFAO78EA,坡道平面,970000,27.54,
RPTRMLLMLHGGFAO98EA,坡道平面,870000,25.41,
RPVRMLLMLHGGFAO56EA,坡道平面,1100000,27.54,
RPSRMLLMLHGGFAO88EA,坡道平面,950000,25.41,
RPURMLLMLHGGFAO09EA,坡道平面,1150000,27.54,
