鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,建物,新竹市新竹市北大路181~210號,0.0,商,,,1100209,土地0建物1車位1,十五層,27,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070903,133.94,2,2,1,有,有,有,43000,321,坡道平面,29.71,0,,RPQQMLNJLHGGFAO48CC
新竹市,建物,新竹市新竹市鐵道路一段28巷31~60號,0.0,其他,,,1100207,土地0建物1車位1,見其他登記事項,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,1020916,158.08,2,1,2,有,有,無,48000,304,坡道平面,0.0,0,含增建或未登記建物。；租賃期間含免租金裝潢期。,RPRRMLNJLHGGFAO68CC
新竹市,建物,新竹市新竹市牛埔東路241~270號,0.0,其他,,,1100226,土地0建物1車位0,八層,16,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0850926,126.81,4,2,2,有,有,有,16200,128,,0.0,0,,RPOSMLNJLHGGFAO48CC
新竹市,建物,新竹市新竹市北區少年街31~60號,0.0,商,,,1100226,土地0建物1車位0,八層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830131,68.51,1,1,1,有,有,有,10000,146,,0.0,0,,RPUPMLPJLHGGFAO98CC
新竹市,建物,新竹市新竹市北區文雅街118巷1~30號,0.0,住,,,1100225,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,107.89,3,2,2,有,無,有,15000,139,,0.0,0,,RPWPMLPJLHGGFAO56CC
新竹市,建物,新竹市新竹市竹蓮街173巷1~30號,0.0,商,,,1100224,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701228,75.42,2,2,1,有,無,無,13000,172,,0.0,0,,RPPNMLRJLHGGFAO48CC
新竹市,建物,新竹市新竹市鐵道路一段28巷31~60號,0.0,其他,,,1100207,土地0建物1車位1,見其他登記事項,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,1020916,158.08,2,1,2,有,有,無,48000,304,坡道平面,0.0,0,含增建或未登記建物。；,RPOPMLSJLHGGFAO68CC
新竹市,建物,新竹市新竹市武陵路271巷1~30號,0.0,住,,,1100303,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860719,141.71,4,2,2,有,有,有,16200,114,,0.0,0,續租。；,RPWQMLSJLHGGFAO96CC
新竹市,建物,新竹市新竹市建功一路49巷1~30號,0.0,住,,,1100304,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720609,75.9,3,2,2,有,無,有,15600,206,,0.0,0,,RPORMLSJLHGGFAO88CC
新竹市,建物,新竹市新竹市新竹市東區北大路1~30號,5.43,商,,,1100211,土地0建物1車位0,十六層,28,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,0960703,143.82,4,2,2,有,有,有,35000,243,,0.0,0,含管理費、稅金或水電等費用。；,RPPNMLKKLHGGFAO87CC
