編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWPMLPJLHGGFAO56CC,,94.90,住家用,鋼筋混凝土造,,五層,
RPWPMLPJLHGGFAO56CC,,6.65,共有部分,鋼筋混凝土造,,五層,
RPWPMLPJLHGGFAO56CC,,6.34,共有部分,鋼筋混凝土造,,五層,
RPOSMLNJLHGGFAO48CC,24,113.33,住家用,鋼骨鋼筋混凝土造,85年9月26日,十六層,
RPOSMLNJLHGGFAO48CC,24,4.51,共有部分,鋼骨鋼筋混凝土造,85年9月26日,十六層,
RPOSMLNJLHGGFAO48CC,24,8.97,共有部分,鋼骨鋼筋混凝土造,85年9月26日,十六層,
RPUPMLPJLHGGFAO98CC,27,54.92,住家用,鋼筋混凝土造,83年1月31日,九層,
RPORMLSJLHGGFAO88CC,38,75.90,住家用,鋼筋混凝土造,72年6月9日,五層,
RPUPMLPJLHGGFAO98CC,27,3.93,見使用執照,鋼筋混凝土造,83年1月31日,九層,
RPUPMLPJLHGGFAO98CC,27,9.66,共有部分,鋼筋混凝土造,83年1月31日,九層,
RPPNMLRJLHGGFAO48CC,39,75.42,住家用,鋼筋混凝土造,70年12月28日,五層,
RPWQMLSJLHGGFAO96CC,24,114.80,住家用,鋼筋混凝土造,86年7月19日,八層,
RPWQMLSJLHGGFAO96CC,24,12.23,共有部分,鋼筋混凝土造,86年7月19日,八層,
RPWQMLSJLHGGFAO96CC,24,14.68,見其他登記事項,鋼筋混凝土造,86年7月19日,八層,
RPQQMLNJLHGGFAO48CC,2,70.02,見其他登記事項,鋼筋混凝土造,107年9月3日,二十七層,
RPQQMLNJLHGGFAO48CC,2,17.15,共有部分,鋼筋混凝土造,107年9月3日,二十七層,
RPQQMLNJLHGGFAO48CC,2,46.77,共有部分,鋼筋混凝土造,107年9月3日,二十七層,
RPRRMLNJLHGGFAO68CC,7,99.83,見其他登記事項,鋼筋混凝土造,102年9月16日,十四層,
RPRRMLNJLHGGFAO68CC,7,.01,見其他登記事項,鋼筋混凝土造,102年9月16日,十四層,
RPRRMLNJLHGGFAO68CC,7,20.00,共有部分,鋼筋混凝土造,102年9月16日,十四層,
RPRRMLNJLHGGFAO68CC,7,.00,共有部分,鋼筋混凝土造,102年9月16日,十四層,
RPRRMLNJLHGGFAO68CC,7,38.24,共有部分,鋼筋混凝土造,102年9月16日,十四層,
RPOPMLSJLHGGFAO68CC,7,99.83,見其他登記事項,鋼筋混凝土造,102年9月16日,十四層,
RPPNMLKKLHGGFAO87CC,14,107.55,見其他登記事項,鋼骨鋼筋混凝土造,96年7月3日,二十八層,
RPOPMLSJLHGGFAO68CC,7,.01,見其他登記事項,鋼筋混凝土造,102年9月16日,十四層,
RPPNMLKKLHGGFAO87CC,14,13.09,見其他登記事項,鋼骨鋼筋混凝土造,96年7月3日,二十八層,
RPOPMLSJLHGGFAO68CC,7,20.00,共有部分,鋼筋混凝土造,102年9月16日,十四層,
RPPNMLKKLHGGFAO87CC,14,22.86,見其他登記事項,鋼骨鋼筋混凝土造,96年7月3日,二十八層,
RPOPMLSJLHGGFAO68CC,7,.00,共有部分,鋼筋混凝土造,102年9月16日,十四層,
RPPNMLKKLHGGFAO87CC,14,.32,見其他登記事項,鋼骨鋼筋混凝土造,96年7月3日,二十八層,
RPOPMLSJLHGGFAO68CC,7,38.24,共有部分,鋼筋混凝土造,102年9月16日,十四層,
