鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
莿桐鄉,土地,埔子段1~30地號,496.68,都市：其他:住宅區,,,1091015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000000,22147,,0.0,0,,RPPOMLTJLHGGFAP78DA,0.0,0.0,0.0,無,001
斗六市,房地(土地+建物),同心街31~60號,64.0,都市：其他:住宅區,,,1100301,土地1建物1車位0,全,四層,透天厝,店舖、住宅、停車空間,鋼筋混凝土造,0960320,202.18,5,2,3,有,無,10800000,53418,,0.0,0,,RPPNMLKMLHGGFAP08DA,193.52,4.64,4.02,無,
林內鄉,土地,新興段901~930地號,908.0,都市：其他:住宅區,,,1100204,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9888000,10890,,0.0,0,未登記建物；,RPPNMLLMLHGGFAP18DA,0.0,0.0,0.0,無,
斗南鎮,土地,埤麻段811~840地號,181.84,,鄉村區,乙種建築用地,1100316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,6599,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLLMLHGGFBP68DA,0.0,0.0,0.0,無,002
崙背鄉,土地,東興段31~60地號,1246.96,,特定農業區,農牧用地,1100217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2263200,1815,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTKKHGGFCP98DA,0.0,0.0,0.0,無,
崙背鄉,土地,中勸段421~450地號,3713.01,都市：其他:乙種工業區,,,1100208,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,56158500,15125,,0.0,0,,RPUNMLQLLHGGFCP66DA,0.0,0.0,0.0,無,003
虎尾鎮,房地(土地+建物),林森路一段416巷1~30號,33.2,都市：其他:商業區,,,1100207,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0830409,168.2,2,1,1,有,有,3000000,17836,,0.0,0,,RPTNMLLKLHGGFDP68DA,135.78,0.0,0.0,有,
虎尾鎮,房地(土地+建物),永興北一街1~30號,141.88,都市：其他:住宅區,,,1100224,土地5建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090824,250.01,4,3,5,有,無,12880000,51518,,0.0,0,,RPTNMLPLLHGGFDP56DA,230.28,0.0,19.73,無,
虎尾鎮,房地(土地+建物),永興北一街1~30號,141.92,都市：其他:住宅區,,,1100224,土地5建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090824,250.01,4,3,5,有,無,13200000,52798,,0.0,0,,RPUNMLPLLHGGFDP66DA,230.28,0.0,19.73,無,
虎尾鎮,房地(土地+建物),永興北一街1~30號,176.05,都市：其他:住宅區,,,1100224,土地5建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090824,254.02,4,3,5,有,無,13980000,55035,,0.0,0,,RPVNMLPLLHGGFDP76DA,233.98,0.0,20.04,無,
虎尾鎮,房地(土地+建物),永興北一街1~30號,175.16,都市：其他:住宅區,,,1100224,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090824,254.01,4,3,5,有,無,13880000,54644,,0.0,0,,RPWNMLPLLHGGFDP86DA,233.98,0.0,20.03,無,
虎尾鎮,房地(土地+建物),永興北一街1~30號,141.33,都市：其他:住宅區,,,1100224,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090824,250.01,4,3,5,有,無,12880000,51518,,0.0,0,,RPXNMLPLLHGGFDP96DA,230.28,0.0,19.73,無,
虎尾鎮,房地(土地+建物),永興北一街1~30號,141.37,都市：其他:住宅區,,,1100224,土地4建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090824,250.01,4,3,5,有,無,12880000,51518,,0.0,0,,RPOOMLPLLHGGFDP78DA,230.28,0.0,19.73,無,
虎尾鎮,房地(土地+建物),虎興南路91~120號,109.11,都市：其他:住宅區,,,1081003,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090908,154.91,3,2,4,有,無,7800000,50352,,0.0,0,,RPTNMLRLLHGGFDP76DA,143.65,0.0,11.26,無,
虎尾鎮,房地(土地+建物),正義路1~30號,10.36,都市：其他:商業區,,,1100311,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850513,92.09,2,2,1,有,有,3550000,38549,,0.0,0,,RPPNMLKMLHGGFDP38DA,62.6,0.0,8.83,有,004
口湖鄉,土地,安南段781~810地號,160.67,,鄉村區,乙種建築用地,1100121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,480000,2987,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLPJKHGGFEP58DA,0.0,0.0,0.0,無,
北港鎮,土地,新東段91~120地號,215.61,都市：其他:住宅區,,,1100316,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5106666,23685,,0.0,0,政府機關標讓售；,RPWNMLTLLHGGFEP37DA,0.0,0.0,0.0,無,
四湖鄉,土地,新下寮段151~180地號,3442.0,,一般農業區,農牧用地,1100312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2409400,700,,0.0,0,,RPTNMLKMLHGGFEP88DA,0.0,0.0,0.0,無,
水林鄉,土地,王厝段61~90地號,271.08,,鄉村區,乙種建築用地,1100315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3150000,11620,,0.0,0,,RPUNMLKMLHGGFEP98DA,0.0,0.0,0.0,無,005
麥寮鄉,房地(土地+建物),橋頭路1~30號,104.0,,一般農業區,甲種建築用地,1100224,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820525,193.75,5,2,3,有,無,4950000,25548,,0.0,0,,RPQNMLPLLHGGFFP09DA,193.75,0.0,0.0,無,
麥寮鄉,房地(土地+建物),仁德路236巷61~90號,98.89,,鄉村區,乙種建築用地,1100206,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0951115,186.11,4,2,3,有,無,6900000,37075,,0.0,0,,RPUNMLPLLHGGFFP86DA,176.37,0.0,9.74,無,
東勢鄉,土地,東北段511~540地號,1529.38,住,,,1091117,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21095000,13793,,0.0,0,,RPWNMLTLLHGGFFP47DA,0.0,0.0,0.0,無,006
麥寮鄉,土地,山寮段901~930地號,50.0,,鄉村區,乙種建築用地,1100323,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,942000,18840,,0.0,0,,RPQNMLKMLHGGFFP68DA,0.0,0.0,0.0,無,007
東勢鄉,土地,東北段661~690地號,343.7,農,,,1091226,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3430000,9980,,0.0,0,未登記建物；,RPRNMLKMLHGGFFP78DA,0.0,0.0,0.0,無,
林內鄉,房地(土地+建物),三權路308巷1~30號,90.82,,一般農業區,甲種建築用地,1100307,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0821225,143.89,4,2,3,有,無,4500000,31274,,0.0,0,頂樓加蓋；其他增建；,RPSNMLKMLHGGFAP48EA,143.89,0.0,0.0,無,008
斗六市,房地(土地+建物),長春路91~120號,150.12,都市：其他:住宅區,,,1100220,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880702,309.67,5,2,5,有,無,19700000,63616,,0.0,0,,RPRNMLLMLHGGFAP48EA,287.05,0.0,22.62,無,
斗六市,土地,海豐崙段海豐崙小段391~420地號,75.0,都市：其他:住宅區,,,1100206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4538000,60507,,0.0,0,,RPWNMLLMLHGGFAP98EA,0.0,0.0,0.0,無,
西螺鎮,房地(土地+建物),大同路3巷1~30號,84.54,都市：其他:住宅區,,,1100223,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0950929,158.12,5,2,3,有,無,7200000,45535,,0.0,0,,RPVNMLKMLHGGFCP98EA,153.93,0.0,4.19,無,
土庫鎮,房地(土地+建物),中圍路1~30號,136.43,,特定農業區,甲種建築用地,1100301,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820626,185.13,4,2,3,有,無,2500000,13504,,0.0,0,,RPUNMLTLLHGGFDP17EA,182.81,0.0,2.32,無,
土庫鎮,房地(土地+建物),興國街77巷1~30號,125.83,都市：其他:住宅區,,,1100226,土地2建物1車位0,全,三層,透天厝,住宅、自設停車空間,鋼筋混凝土造,1080916,160.31,5,2,4,有,無,6900000,43042,,0.0,0,預售屋、或土地及建物分次登記案件；,RPVNMLTLLHGGFDP27EA,153.55,0.0,6.76,無,009
斗南鎮,房地(土地+建物),明昌路127巷1弄1~30號,120.0,都市：其他:第二種住宅區,,,1100316,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0751010,131.8,5,2,2,有,無,4800000,36419,,0.0,0,,RPUNMLLMLHGGFBP88EA,131.8,0.0,0.0,無,
斗南鎮,土地,大東段大東小段1051~1080地號,2221.0,,特定農業區,農牧用地,1100312,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3260000,1468,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLLMLHGGFBP68EA,0.0,0.0,0.0,無,
四湖鄉,土地,關聖段121~150地號,106.56,都市：其他:住宅區,,,1100311,土地2建物1車位0,一層，二層，三層，電梯樓梯間,三層,其他,住家用,鋼筋混凝土造,0930317,188.28,0,0,0,有,無,3550000,33315,,0.0,0,,RPSNMLKMLHGGFEP88EA,0.0,0.0,0.0,無,
斗六市,房地(土地+建物),長春路31~60號,14.54,都市：其他:住宅區,,,1100226,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830215,96.44,3,1,2,有,有,3100000,32144,,0.0,0,含土地增值稅或其他稅費；含仲介費；,RPSNMLLJMHGGFAP38EA,63.63,0.0,7.87,有,
