編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLKMLHGGFAP08DA,14,202.18,店舖、住宅、停車空間,鋼筋混凝土造,96年3月20日,四層,一層 二層 三層 四層 騎樓
RPTNMLPLLHGGFDP56DA,1,250.01,住家用,鋼筋混凝土造,109年8月24日,四層,一層 二層 三層 四層
RPVNMLPLLHGGFDP76DA,1,254.02,住家用,鋼筋混凝土造,109年8月24日,四層,一層 二層 三層 四層
RPUNMLPLLHGGFDP66DA,1,250.01,住家用,鋼筋混凝土造,109年8月24日,四層,一層 二層 三層 四層
RPTNMLLKLHGGFDP68DA,27,32.42,共有部份,鋼筋混凝土造,83年4月9日,八層,
RPTNMLLKLHGGFDP68DA,27,135.78,商業用,鋼筋混凝土造,83年4月9日,八層,三層
RPTNMLRLLHGGFDP76DA,,77.45,住家用,鋼筋混凝土造,109年9月8日,三層,一層 二層 三層
RPTNMLRLLHGGFDP76DA,,77.45,住家用,鋼筋混凝土造,109年9月8日,三層,一層 二層 三層
RPXNMLPLLHGGFDP96DA,1,250.01,住家用,鋼筋混凝土造,109年8月24日,四層,一層 二層 三層 四層
RPWNMLPLLHGGFDP86DA,1,254.01,住家用,鋼筋混凝土造,109年8月24日,四層,一層 二層 三層 四層
RPPNMLKMLHGGFDP38DA,25,71.43,住家用,鋼筋混凝土造,85年5月13日,八層,七層
RPPNMLKMLHGGFDP38DA,25,8.06,共有部份,鋼筋混凝土造,85年5月13日,八層,
RPPNMLKMLHGGFDP38DA,25,12.61,共有部份,鋼筋混凝土造,85年5月13日,八層,
RPOOMLPLLHGGFDP78DA,1,250.01,住家用,鋼筋混凝土造,109年8月24日,四層,一層 二層 三層 四層
RPQNMLPLLHGGFFP09DA,28,193.75,住家用,鋼筋混凝土造,82年5月25日,三層,一層 二層 三層 電梯樓梯間
RPUNMLPLLHGGFFP86DA,14,186.11,住家用,鋼筋混凝土造,95年11月15日,三層,一層 二層 三層 屋頂突出物
RPSNMLKMLHGGFAP48EA,27,143.89,住家用,鋼筋混凝土造,82年12月25日,三層,一層 二層 三層 電梯樓梯間
RPUNMLTLLHGGFDP17EA,28,185.13,住家用,鋼筋混凝土造,82年6月26日,三層,一層 二層 三層 電梯樓梯間
RPVNMLKMLHGGFCP98EA,14,158.12,住家用,鋼筋混凝土造,95年9月29日,三層,一層 二層 三層 電梯樓梯間
RPRNMLLMLHGGFAP48EA,22,309.67,住家用,鋼筋混凝土造,88年7月2日,三層,一層 二層 三層 電梯樓梯間
RPUNMLLMLHGGFBP88EA,34,131.80,住家用,加強磚造,75年10月10日,二層,一層 二層 電梯樓梯間
RPVNMLTLLHGGFDP27EA,1,160.31,住宅、自設停車空間,鋼筋混凝土造,108年9月16日,三層,一層 二層 三層
RPSNMLLJMHGGFAP38EA,27,71.50,住家用,鋼筋混凝土造,83年2月15日,七層,七層
RPSNMLLJMHGGFAP38EA,27,24.94,共同部份,鋼筋混凝土造,83年2月15日,七層,
RPSNMLKMLHGGFEP88EA,17,188.28,住家用,鋼筋混凝土造,93年3月17日,三層,一層 二層 三層 電梯樓梯間
RPUNMLLMLHGGFAP78EA,22,161.11,住家用,鋼筋混凝土造,88年3月9日,三層,一層 二層 三層 電梯樓梯間
RPVNMLLMLHGGFAP88EA,1,103.15,住宅、樓梯間,鋼筋混凝土造,109年3月25日,三層,一層 二層 三層 屋頂突出物
RPVNMLLMLHGGFAP88EA,1,103.15,住宅、樓梯間,鋼筋混凝土造,109年3月25日,三層,一層 二層 三層 屋頂突出物
RPOOMLKMLHGGFAP18EA,26,23.04,共同部份,鋼筋混凝土造,83年12月10日,六層,
RPOOMLKMLHGGFAP18EA,26,52.11,住家用,鋼筋混凝土造,83年12月10日,六層,六層
RPOOMLKMLHGGFAP18EA,26,13.20,共同部份,鋼筋混凝土造,83年12月10日,六層,
RPTNMLLJMHGGFEP78DA,37,117.22,住家用,鋼筋混凝土造,73年9月15日,二層,一層 二層 電梯樓梯間
RPVNMLKMLHGGFFP56DA,38,115.20,住宅,加強磚造,71年10月1日,二層,一層 二層 騎樓
RPRNMLLMLHGGFEP78DA,28,141.56,住家用,鋼筋混凝土造,82年8月25日,三層,一層 二層 三層
RPWNMLLJMHGGFEP09DA,25,84.75,住家用,鋼筋混凝土造,84年10月19日,三層,一層 二層 三層
RPWNMLLJMHGGFEP09DA,25,84.75,住家用,鋼筋混凝土造,84年10月19日,三層,一層 二層 三層
RPSNMLLJMHGGFDP58DA,24,164.08,住家用,鋼筋混凝土造,85年10月7日,四層,一層 二層 三層 四層
RPQNMLLMLHGGFDP58DA,23,31.99,住家用,鋼筋混凝土造,86年11月6日,八層,七層
RPQNMLLMLHGGFDP58DA,23,3.60,共有部份,鋼筋混凝土造,86年11月6日,八層,
RPQNMLLMLHGGFDP58DA,23,2.31,共有部份,鋼筋混凝土造,86年11月6日,八層,
RPQNMLLMLHGGFDP58DA,23,1.82,共有部份,鋼筋混凝土造,86年11月6日,八層,
RPQNMLLMLHGGFDP58DA,23,.22,共有部份,鋼筋混凝土造,86年11月6日,八層,
RPQNMLLMLHGGFDP58DA,23,4.60,共有部份,鋼筋混凝土造,86年11月6日,八層,
RPRNMLKMLHGGFDP58DA,42,148.12,住商用,加強磚造,67年8月25日,二層,一層 二層 騎樓 電梯樓梯間
RPUNMLRLLHGGFDP86DA,,154.91,住家用,鋼筋混凝土造,109年9月8日,三層,一層 二層 三層
RPPOMLPLLHGGFDP88DA,1,250.01,住家用,鋼筋混凝土造,109年8月24日,四層,一層 二層 三層 四層
RPRNMLRLLHGGFDP56DA,26,103.92,住家用,鋼筋混凝土造,84年4月6日,十二層,四層
RPRNMLRLLHGGFDP56DA,26,28.22,共有部份,鋼筋混凝土造,84年4月6日,十二層,
RPRNMLRLLHGGFDP56DA,26,12.72,共有部份,鋼筋混凝土造,84年4月6日,十二層,
RPQOMLPLLHGGFDP98DA,1,250.01,住家用,鋼筋混凝土造,109年8月24日,四層,一層 二層 三層 四層
RPROMLPLLHGGFDP09DA,1,254.02,住家用,鋼筋混凝土造,109年8月24日,四層,一層 二層 三層 四層
RPSNMLLMLHGGFAP48DA,13,160.20,集村農舍,鋼筋混凝土造,97年5月8日,四層,一層 二層 三層 四層
RPSNMLLMLHGGFAP48DA,13,160.20,集村農舍,鋼筋混凝土造,97年5月8日,四層,一層 二層 三層 四層
RPQOMLTLLHGGFAP09DA,27,120.28,住家用,鋼筋混凝土造,83年9月1日,八層,四層
RPQOMLTLLHGGFAP09DA,27,13.76,共同部份,鋼筋混凝土造,83年9月1日,八層,
RPOOMLPLLHGGFAP48DA,,40.70,集合住宅,鋼筋混凝土造,109年11月13日,五層,四層
RPOOMLPLLHGGFAP48DA,,40.70,集合住宅,鋼筋混凝土造,109年11月13日,五層,四層
RPOOMLPLLHGGFAP48DA,,11.10,安全梯間、管委會、門廳、電信室、走廊,鋼筋混凝土造,109年11月13日,五層,
RPOOMLPLLHGGFAP48DA,,11.10,安全梯間、管委會、門廳、電信室、走廊,鋼筋混凝土造,109年11月13日,五層,
RPRNMLQLLHGGFAP78DA,39,183.61,住商用,加強磚造,71年1月3日,三層,一層 二層 三層 騎樓
RPPNMLRKLHGGFAP58DA,7,193.81,一般零售業（店舖）、樓梯間,鋼筋混凝土造,103年6月18日,三層,一層 二層 三層 屋頂突出物
RPXNMLLMLHGGFAP98DA,33,2693.02,醫院、病房、住宅,鋼筋混凝土造,76年7月4日,八層,一層 二層 三層 四層 五層 六層 七層 八層 屋頂突出物 騎樓 地下層
RPXNMLPLLHGGFAP66DA,,81.33,集合住宅,鋼筋混凝土造,109年11月13日,五層,三層
RPXNMLPLLHGGFAP66DA,,22.19,安全梯間、管委會、門廳、電信室、走廊,鋼筋混凝土造,109年11月13日,五層,
RPXNMLPLLHGGFAP66DA,,13.99,停車空間,鋼筋混凝土造,109年11月13日,五層,
