交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,埔子段1~30地號,1040115,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,16000000,14340,0,001
土地,埔子段1~30地號,1091015,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,11000000,22147,0,001
土地,埤麻段811~840地號,1050916,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2500000,13748,0,002
土地,埤麻段811~840地號,1080416,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1300000,7149,0,002
土地,埤麻段811~840地號,1100316,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1200000,6599,0,002
土地,中勸段421~450地號,1060508,土地3建物0車位0,,,其他,0,0.0,0,0,0,有,無,27606000,7435,0,003
土地,中勸段421~450地號,1070808,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,37064610,9982,0,003
土地,中勸段421~450地號,1100208,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,56158500,15125,0,003
房地(土地+建物),雲林縣虎尾鎮正義路1~30號,1030211,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),18,92.09,2,1,1,有,有,1980000,21501,0,004
房地(土地+建物),雲林縣虎尾鎮正義路1~30號,1060611,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),21,92.09,3,1,2,有,有,2650000,28776,0,004
房地(土地+建物),正義路1~30號,1100311,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),25,92.09,2,2,1,有,有,3550000,38549,0,004
土地,王厝段61~90地號,1050615,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,2132000,7865,0,005
土地,王厝段61~90地號,1100315,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3150000,11620,0,005
土地,東北段511~540地號,1041117,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,20374000,14157,0,006
土地,東北段511~540地號,1091117,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,21095000,13793,0,006
土地,山寮段901~930地號,1040323,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,120000,2400,0,007
土地,山寮段901~930地號,1100323,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,942000,18840,0,007
房地(土地+建物),雲林縣林內鄉三權路308巷1~30號,1080307,土地1建物1車位0,全,三層,透天厝,25,143.89,5,2,3,有,無,3880000,26965,0,008
房地(土地+建物),三權路308巷1~30號,1100307,土地1建物1車位0,全,三層,透天厝,27,143.89,4,2,3,有,無,4500000,31274,0,008
房地(土地+建物),雲林縣土庫鎮國興街77巷1~30號,1081226,土地2建物1車位0,全,三層,透天厝,0,160.31,5,2,4,有,無,7500000,46784,0,009
房地(土地+建物),興國街77巷1~30號,1100226,土地2建物1車位0,全,三層,透天厝,1,160.31,5,2,4,有,無,6900000,43042,0,009
房地(土地+建物)+車位,雲林縣斗六市公正街195巷61~90號,1070704,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),24,86.26,2,2,1,有,有,1800000,20867,0,010
房地(土地+建物)+車位,公正街195巷61~90號,1100204,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),26,88.35,2,1,1,有,有,3050000,34522,0,010
土地,大湖底段211~240地號,1090322,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7500000,2575,0,011
土地,大湖底段61~90地號,1100322,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,500000,664,0,011
土地,大屯子段481~510地號,1071225,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,4377060,1813,0,012
土地,大屯子段481~510地號,1100325,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3294000,1800,0,012
房地(土地+建物),雲林縣四湖鄉下鹿場路91~120號,1021022,土地1建物1車位0,全,三層,透天厝,18,169.51,5,1,3,有,無,2000000,11799,0,013
房地(土地+建物),雲林縣四湖鄉下鹿場路91~120號,1030222,土地1建物1車位0,全,三層,透天厝,18,169.51,5,1,3,有,無,2100000,12389,0,013
