編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPQNMLTKKHGGFCP98DA,東興段,1246.96,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPPOMLTJLHGGFAP78DA,埔子段,496.68,都市：其他:住宅區,1,1,全筆移轉
RPPNMLLMLHGGFAP18DA,新興段,908.00,都市：其他:住宅區,1,1,全筆移轉
RPUNMLQLLHGGFCP66DA,中勸段,3527.13,都市：其他:乙種工業區,1,1,全筆移轉
RPUNMLQLLHGGFCP66DA,中勸段,123.71,都市：其他:乙種工業區,2,1,持分移轉
RPUNMLQLLHGGFCP66DA,中勸段,62.17,都市：其他:乙種工業區,3,1,持分移轉
RPTNMLLMLHGGFBP68DA,埤麻段,181.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPPNMLKMLHGGFAP08DA,大潭段社口小段,64.00,都市：其他:住宅區,1,1,全筆移轉
RPTNMLPLLHGGFDP56DA,高北段,20.60,都市：其他:住宅區,258252,21267,持分移轉
RPTNMLPLLHGGFDP56DA,高北段,.52,都市：其他:住宅區,258252,13592,持分移轉
RPTNMLPLLHGGFDP56DA,高北段,5.83,都市：其他:住宅區,12,1,持分移轉
RPTNMLPLLHGGFDP56DA,高北段,113.58,都市：其他:住宅區,1,1,全筆移轉
RPTNMLPLLHGGFDP56DA,高北段,1.35,都市：其他:住宅區,1,1,全筆移轉
RPVNMLPLLHGGFDP76DA,高北段,20.60,都市：其他:住宅區,258252,21267,持分移轉
RPVNMLPLLHGGFDP76DA,高北段,127.32,都市：其他:住宅區,1,1,全筆移轉
RPVNMLPLLHGGFDP76DA,高北段,.52,都市：其他:住宅區,258252,13592,持分移轉
RPVNMLPLLHGGFDP76DA,高北段,5.83,都市：其他:住宅區,12,1,持分移轉
RPVNMLPLLHGGFDP76DA,高北段,21.78,都市：其他:住宅區,1,1,全筆移轉
RPUNMLPLLHGGFDP66DA,高北段,20.60,都市：其他:住宅區,258252,21267,持分移轉
RPUNMLPLLHGGFDP66DA,高北段,.52,都市：其他:住宅區,258252,13592,持分移轉
RPUNMLPLLHGGFDP66DA,高北段,5.83,都市：其他:住宅區,12,1,持分移轉
RPUNMLPLLHGGFDP66DA,高北段,98.17,都市：其他:住宅區,1,1,全筆移轉
RPUNMLPLLHGGFDP66DA,高北段,16.80,都市：其他:住宅區,1,1,全筆移轉
RPTNMLLKLHGGFDP68DA,明正段,33.20,都市：其他:商業區,10000,444,持分移轉
RPWNMLTLLHGGFEP37DA,新東段,215.61,都市：其他:住宅區,1,1,全筆移轉
RPPNMLPJKHGGFEP58DA,安南段,80.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,162,27,持分移轉
RPPNMLPJKHGGFEP58DA,安南段,80.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,162,27,持分移轉
RPTNMLRLLHGGFDP76DA,大學段,12.16,都市：其他:住宅區,200000,2790,持分移轉
RPTNMLRLLHGGFDP76DA,大學段,12.16,都市：其他:住宅區,200000,2790,持分移轉
RPTNMLRLLHGGFDP76DA,大學段,42.30,都市：其他:住宅區,2,1,持分移轉
RPTNMLRLLHGGFDP76DA,大學段,42.30,都市：其他:住宅區,2,1,持分移轉
RPTNMLRLLHGGFDP76DA,大學段,.09,都市：其他:住宅區,96,1,持分移轉
RPTNMLRLLHGGFDP76DA,大學段,.09,都市：其他:住宅區,96,1,持分移轉
RPTNMLKMLHGGFEP88DA,新下寮段,3442.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPXNMLPLLHGGFDP96DA,高北段,20.60,都市：其他:住宅區,258252,21267,持分移轉
RPXNMLPLLHGGFDP96DA,高北段,.52,都市：其他:住宅區,258252,13592,持分移轉
RPXNMLPLLHGGFDP96DA,高北段,5.83,都市：其他:住宅區,12,1,持分移轉
RPXNMLPLLHGGFDP96DA,高北段,114.38,都市：其他:住宅區,1,1,全筆移轉
RPWNMLPLLHGGFDP86DA,高北段,20.60,都市：其他:住宅區,258252,21267,持分移轉
RPWNMLPLLHGGFDP86DA,高北段,.52,都市：其他:住宅區,258252,13592,持分移轉
RPWNMLPLLHGGFDP86DA,高北段,5.83,都市：其他:住宅區,12,1,持分移轉
RPWNMLPLLHGGFDP86DA,高北段,148.21,都市：其他:住宅區,1,1,全筆移轉
RPPNMLKMLHGGFDP38DA,信義段,10.36,都市：其他:商業區,10000,210,持分移轉
RPOOMLPLLHGGFDP78DA,高北段,20.60,都市：其他:住宅區,258252,21267,持分移轉
RPOOMLPLLHGGFDP78DA,高北段,.52,都市：其他:住宅區,258252,13592,持分移轉
RPOOMLPLLHGGFDP78DA,高北段,5.83,都市：其他:住宅區,12,1,持分移轉
RPOOMLPLLHGGFDP78DA,高北段,114.42,都市：其他:住宅區,1,1,全筆移轉
RPUNMLKMLHGGFEP98DA,王厝段,271.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPQNMLKMLHGGFFP68DA,山寮段,50.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPRNMLKMLHGGFFP78DA,東北段,292.70,都市：農,1,1,全筆移轉
RPRNMLKMLHGGFFP78DA,東北段,51.00,都市：農,1,1,全筆移轉
RPWNMLTLLHGGFFP47DA,東北段,261.44,都市：住,54,26,持分移轉
RPWNMLTLLHGGFFP47DA,東北段,1267.94,都市：住,1,1,全筆移轉
RPQNMLPLLHGGFFP09DA,橋頭段,104.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPWNMLLMLHGGFAP98EA,海豐崙段海豐崙小段,75.00,都市：其他:住宅區,1,1,全筆移轉
RPUNMLPLLHGGFFP86DA,橋頭段,11.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,9,1,持分移轉
RPUNMLPLLHGGFFP86DA,橋頭段,68.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPUNMLPLLHGGFFP86DA,橋頭段,19.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPSNMLKMLHGGFAP48EA,湖本段,90.82,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPUNMLTLLHGGFDP17EA,新興段,77.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPUNMLTLLHGGFDP17EA,新興段,59.43,非都市：特定農業區 ; 非都市編定：甲種建築用地,7,1,持分移轉
