鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
東石鄉,土地,海埔段151~180地號,296.0,,一般農業區,農牧用地,1100318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,198365,670,,0.0,0,,RPROMLSKLHGGFBQ56DA,0.0,0.0,0.0,無,
六腳鄉,土地,六斗尾段六斗小段151~180地號,2170.0,,特定農業區,農牧用地,1100321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2420000,1115,,0.0,0,,RPPNMLMLLHGGFBQ38DA,0.0,0.0,0.0,無,
布袋鎮,土地,貴舍段271~300地號,4051.0,,一般農業區,農牧用地,1100318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2850000,704,,0.0,0,含未保存之建物鵝舍1棟及本土地上之全部設施並包於本畜牧場登記一併移轉與承買人親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLNLLHGGFBQ58DA,0.0,0.0,0.0,無,
朴子市,土地,文化段841~870地號,6.3,都市：其他:住宅區,,,1100324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,118420,18797,,0.0,0,土地增值稅由買方負擔繳納,RPPNMLOLLHGGFBQ58DA,0.0,0.0,0.0,無,
朴子市,土地,文化段871~900地號,1.4,都市：其他:住宅區,,,1100324,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26040,18600,,0.0,0,土地增值稅由買方負擔繳納,RPQNMLOLLHGGFBQ68DA,0.0,0.0,0.0,無,001
義竹鄉,土地,義竹段義竹小段871~900地號,2981.0,,特定農業區,農牧用地,1100217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3100000,1040,,0.0,0,,RPRNMLKMLHGGFBQ48DA,0.0,0.0,0.0,無,
義竹鄉,土地,過路子段901~930地號,5227.5,,一般農業區,水利用地,1100318,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,350000,67,,0.0,0,所有辦理費用均由買方負擔親友、員工、共有人或其他特殊關係間之交易；,RPSNMLKMLHGGFBQ58DA,0.0,0.0,0.0,無,
布袋鎮,房地(土地+建物),新南路121~150號,90.25,都市：其他:住宅區,,,1100303,土地1建物1車位0,全,四層,透天厝,住商用,ＲＣ鋼骨造,0840320,163.48,4,2,3,有,無,2550000,15598,,0.0,0,,RPUNMLKMLHGGFBQ78DA,157.3,0.0,6.18,無,002
布袋鎮,房地(土地+建物),新南路121~150號,91.33,都市：其他:住宅區,,,1100303,土地1建物1車位0,全,四層,透天厝,住商用,ＲＣ鋼骨造,0840320,165.66,4,2,3,有,無,2800000,16902,,0.0,0,,RPVNMLKMLHGGFBQ88DA,159.3,0.0,6.36,無,003
