編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLKMLHGGFBQ78DA,26,163.48,住商用,ＲＣ鋼骨造,84年3月20日,四層,一層 二層 三層 四層
RPVNMLKMLHGGFBQ88DA,26,165.66,住商用,ＲＣ鋼骨造,84年3月20日,四層,一層 二層 三層 四層
RPTNMLMKLHGGFCQ78DA,3,152.38,住家用,鋼筋混凝土造,107年9月4日,二層,一層 二層
RPPNMLSLLHGGFCQ09DA,25,204.98,住商用,鋼筋混凝土造,85年6月10日,四層,一層 二層 三層 四層 電梯樓梯間
RPUNMLRKLHGGFDQ86DA,22,159.67,住家用,鋼筋混凝土造,88年4月6日,三層,一層 二層 三層
RPPOMLSKLHGGFDQ56DA,17,16.70,住家用,鋼筋混凝土造,93年8月3日,五層,三層
RPPOMLSKLHGGFDQ56DA,17,19.39,住家用,鋼筋混凝土造,93年8月3日,五層,三層
RPPOMLSKLHGGFDQ56DA,17,.98,樓梯間,鋼筋混凝土造,93年8月3日,五層,
RPPOMLSKLHGGFDQ56DA,17,.83,樓梯間,鋼筋混凝土造,93年8月3日,五層,
RPPOMLSKLHGGFDQ56DA,17,8.06,樓梯間、走廊,鋼筋混凝土造,93年8月3日,五層,
RPPOMLSKLHGGFDQ56DA,17,6.83,樓梯間、走廊,鋼筋混凝土造,93年8月3日,五層,
RPPOMLSKLHGGFDQ56DA,17,1.48,樓梯間、機房,鋼筋混凝土造,93年8月3日,五層,
RPPOMLSKLHGGFDQ56DA,17,1.26,樓梯間、機房,鋼筋混凝土造,93年8月3日,五層,
RPPOMLSKLHGGFDQ56DA,17,.77,車道、停車空間,鋼筋混凝土造,93年8月3日,五層,
RPPOMLSKLHGGFDQ56DA,17,.90,車道、停車空間,鋼筋混凝土造,93年8月3日,五層,
RPPOMLSKLHGGFDQ56DA,17,.19,停車空間,鋼筋混凝土造,93年8月3日,五層,
RPPOMLSKLHGGFDQ56DA,17,.22,停車空間,鋼筋混凝土造,93年8月3日,五層,
RPPNMLTLLHGGFDQ66DA,28,159.71,住家用,鋼筋混凝土造,82年5月28日,三層,一層 二層 三層
RPTNMLKMLHGGFCQ88EA,28,104.46,集合住宅,鋼筋混凝土造,82年2月17日,五層,五層
RPTNMLKMLHGGFCQ88EA,28,14.24,共有部份,鋼筋混凝土造,82年2月17日,五層,
RPXNMLMLLHGGFDQ76DA,,164.11,住家用,鋼筋混凝土,109年10月12日,三層,一層 二層 三層 見其他登記事項
RPWNMLQLLHGGFDQ07DA,27,21.52,防空避難室、樓梯間﹝共同使用﹞,鋼筋混凝土造,83年8月19日,七層,
RPWNMLQLLHGGFDQ07DA,27,10.90,停車場（共同使用）,鋼筋混凝土造,83年8月19日,七層,
RPWNMLQLLHGGFDQ07DA,27,110.17,集合住宅,鋼筋混凝土造,83年8月19日,七層,五層
RPPNMLKMLHGGFDQ48DA,16,1.59,門廳、遊憩設施,鋼筋混凝土造,94年8月26日,三層,一層 二層 三層
RPPNMLKMLHGGFDQ48DA,16,5.08,門廳、遊憩設施、機械空間、梯間、游泳池,鋼筋混凝土造,94年8月26日,二層,一層 二層 地下一層 地下二層
RPPNMLKMLHGGFDQ48DA,13,200.08,店鋪、集合住宅、停車空間,鋼筋混凝土造,96年9月29日,四層,一層 二層 三層 四層
RPQNMLLMLHGGFBQ48DA,41,143.25,住商用,鋼筋混凝土加強磚造,69年7月17日,三層,一層 二層 三層 騎樓
RPUNMLKKLHGGFBQ58DA,15,56.48,商業用,鋼筋混凝土造,94年10月3日,十層,一層
RPUNMLKKLHGGFBQ58DA,15,.39,管理委員會使用空間,鋼筋混凝土造,94年10月3日,十層,
RPUNMLKKLHGGFBQ58DA,15,33.13,機電設備空間、停車空間、樓梯間、走廊、機械室、水塔,鋼筋混凝土造,94年10月3日,十層,
RPPNMLLJMHGGFBQ18DA,40,58.10,住家用,鋼筋混凝土加強磚造,70年7月20日,二層,一層 二層 騎樓
RPPNMLLJMHGGFBQ18DA,40,58.10,住家用,鋼筋混凝土加強磚造,70年7月20日,二層,一層 二層 騎樓
RPQNMLSLLHGGFBQ09DA,28,95.87,住家用,鋼筋混凝土造,82年7月12日,七層,三層
RPQNMLSLLHGGFBQ09DA,28,35.95,配電室、樓梯間、防空避難室、停車場,鋼筋混凝土造,82年7月12日,七層,
RPSNMLOLLHGGFBQ88DA,24,90.16,住家用,鋼筋混凝土造,86年1月10日,十層,三層
RPSNMLOLLHGGFBQ88DA,24,22.25,防空避難室兼停車空間,鋼筋混凝土造,86年1月10日,十層,
RPSNMLOLLHGGFBQ88DA,24,15.69,電、樓梯間,鋼筋混凝土造,86年1月10日,十層,
RPPOMLLJMHGGFBQ28DA,49,205.88,住家用,鋼筋混凝土加強磚造,61年1月31日,三層,一層 二層 三層 騎樓
RPPOMLSKLHGGFBQ98DA,7,38.80,集合住宅,鋼筋混凝土造,103年6月25日,五層,五層
RPPOMLSKLHGGFBQ98DA,7,11.09,車道、樓梯間、水箱等七項,鋼筋混凝土造,103年6月25日,五層,
RPTOMLLJMHGGFBQ68DA,34,134.42,廠房,鐵架磚造,75年9月15日,一層,一層
RPRNMLLMLHGGFBQ58DA,28,160.20,住商用,鋼筋混凝土加強磚造,82年7月8日,三層,一層 二層 三層 騎樓
RPRNMLLMLHGGFBQ58DA,28,160.20,住商用,鋼筋混凝土加強磚造,82年7月8日,三層,一層 二層 三層 騎樓
