交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,文化段841~870地號,1010824,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,285600,12000,0,001
土地,文化段871~900地號,1100324,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,404240,18758,0,001
土地,文化段871~900地號,1100324,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,26040,18600,0,001
房地(土地+建物),嘉義縣布袋鎮新南路121~150號,1050803,土地1建物1車位0,全,四層,透天厝,21,163.48,4,2,2,有,無,2680000,16393,0,002
房地(土地+建物),新南路121~150號,1100303,土地1建物1車位0,全,四層,透天厝,26,163.48,4,2,3,有,無,2550000,15598,0,002
房地(土地+建物),嘉義縣布袋鎮岑海里新南路121~150號,1050503,土地1建物1車位0,全,四層,透天厝,21,165.66,4,2,2,有,無,2800000,16902,0,003
房地(土地+建物),新南路121~150號,1100303,土地1建物1車位0,全,四層,透天厝,26,165.66,4,2,3,有,無,2800000,16902,0,003
土地,新厝段961~990地號,1070528,土地4建物0車位0,,,其他,0,0.0,0,0,0,有,無,360000,1798,0,004
土地,新厝段961~990地號,1080728,土地4建物0車位0,,,其他,0,0.0,0,0,0,有,無,1211200,6050,0,004
土地,新厝段961~990地號,1100228,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,885240,5445,0,004
房地(土地+建物),嘉義縣大林鎮中坑里大智五街1~30號,1071008,土地1建物1車位0,全,二層,透天厝,0,152.38,4,1,3,有,無,7300000,47907,0,005
房地(土地+建物),中坑里大智五街1~30號,1100308,土地1建物1車位0,全,二層,透天厝,3,152.38,4,2,3,有,無,9900000,64969,0,005
房地(土地+建物),嘉義縣太保市公園北街31~60號,1051215,土地1建物1車位0,三層,五層,套房(1房1廳1衛),12,38.96,1,1,1,有,無,500000,12834,0,006
房地(土地+建物),公園北街31~60號,1100315,土地1建物2車位0,三層,五層,華廈(10層含以下有電梯),17,57.620000000000005,2,2,2,有,無,1060000,18396,0,006
土地,麻寮段571~600地號,1070116,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,2800000,30228,0,007
土地,麻寮段571~600地號,1070516,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,662000,29780,0,007
土地,麻寮段571~600地號,1080516,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,112000,30189,0,007
土地,麻寮段571~600地號,1100316,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,392000,21155,0,007
土地,中林段181~210地號,1080722,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,1440000,1200,0,008
土地,中林段181~210地號,1100222,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,520000,1300,0,008
土地,下塗溝段重劃小段721~750地號,1051226,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2400000,2092,0,009
土地,下塗溝段重劃小段721~750地號,1100126,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2500000,2180,0,009
房地(土地+建物),平林里光明街31~60號,1091021,土地7建物1車位0,五層,五層,公寓(5樓含以下無電梯),28,118.69999999999999,3,2,2,有,有,2500000,21061,0,010
房地(土地+建物),平林里光明街31~60號,1100321,土地7建物1車位0,五層,五層,公寓(5樓含以下無電梯),28,118.69999999999999,3,2,2,有,無,2200000,18534,0,010
房地(土地+建物)+車位,舊埤里新埤1~30號,1080406,土地4建物1車位1,全,三層,透天厝,0,164.11,3,2,3,有,無,6300000,38389,0,011
房地(土地+建物)+車位,舊埤里新埤1~30號,1100306,土地4建物1車位1,全,三層,透天厝,0,164.11,3,2,3,有,無,6350000,38694,0,011
土地,水西段1171~1200地號,1080424,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,14625600,19963,0,012
土地,水西段1171~1200地號,1090724,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,17285580,23594,0,012
土地,水西段1171~1200地號,1100324,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,17728800,24199,0,012
土地,新月眉潭段1321~1350地號,1100217,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1157844,6050,0,013
土地,新月眉潭段1321~1350地號,1100317,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1157844,6050,0,013
房地(土地+建物),嘉義縣朴子市文明路1~30號,1040224,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),22,95.87,3,2,2,有,有,2300000,23991,0,014
房地(土地+建物)+車位,文明路1~30號,1100324,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),28,131.82,3,1,2,有,有,3000000,22758,0,014
土地,文化段1141~1170地號,1070722,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,6854348,39325,0,015
土地,文化段1141~1170地號,1100322,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,8857926,50820,0,015
土地,六桂段151~180地號,1050615,土地7建物0車位0,,,其他,0,0.0,0,0,0,有,無,15750000,67487,0,016
土地,六桂段151~180地號,1091015,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1231200,51300,0,016
房地(土地+建物),嘉義縣朴子市朴東一街1~30號,1041212,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),1,38.8,1,1,1,有,無,2300000,59278,0,017
房地(土地+建物),朴東一街1~30號,1100312,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),7,49.89,1,1,1,有,無,2680000,53718,0,017
土地,安福段271~300地號,1100323,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1879280,45371,0,018
土地,安福段271~300地號,1100323,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1252853,30248,0,018
房地(土地+建物),嘉義縣朴子市永和里菜埔361~390號,1090224,土地2建物1車位0,一層，二層，三層，四層，屋頂突出物,五層,店面(店鋪),0,280.75,5,2,2,有,無,11000000,39181,0,019
房地(土地+建物),菜埔361~390號,1100324,土地2建物1車位0,全,五層,透天厝,1,280.75,5,3,6,有,無,11000000,39181,0,019
房地(土地+建物),嘉義縣大埔鄉大埔村大埔181~210號,1090324,土地1建物1車位0,全,二層,透天厝,25,116.55,4,2,3,有,無,2600000,22308,0,020
房地(土地+建物),大埔村大埔181~210號,1100224,土地1建物1車位0,全,二層,透天厝,26,116.55,3,2,3,有,無,2330000,19991,0,020
土地,嘉新段691~720地號,1080824,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,71332,30225,0,021
土地,嘉新段691~720地號,1080824,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,142664,30225,0,021
土地,嘉新段691~720地號,1091224,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,260000,29988,0,021
土地,嘉新段691~720地號,1100224,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,350000,70707,0,021
土地,三層崎段1~30地號,1011223,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,246000,82,0,022
土地,三層崎段1~30地號,1020523,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,90000,90,0,022
土地,三層崎段1~30地號,1061123,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,150000,150,0,022
土地,三層崎段1~30地號,1080423,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,130000,130,0,022
土地,三層崎段1~30地號,1100323,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,170000,170,0,022
土地,竹頭崎段241~270地號,1090923,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,360000,179,0,023
土地,竹頭崎段241~270地號,1100323,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,190000,189,0,023
房地(土地+建物),嘉義縣水上鄉柳新村柳子林1831~1860號,1040126,土地2建物1車位0,全,四層,透天厝,19,168.83,4,2,3,有,無,3900000,23100,0,024
房地(土地+建物),柳新村柳子林1831~1860號,1100226,土地2建物1車位0,全,四層,透天厝,25,168.83,4,2,2,有,無,5500000,32577,0,024
土地,灣潭子段271~300地號,1060922,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,300000,204,0,025
土地,灣潭子段271~300地號,1100222,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,500000,341,0,025
房地(土地+建物),嘉義縣中埔鄉金蘭村頂山門31~60號,1081103,土地3建物1車位0,全,四層,透天厝,0,315.76,4,3,5,有,無,14000000,44337,0,026
房地(土地+建物),金蘭村頂山門31~60號,1100303,土地3建物1車位0,全,四層,透天厝,2,315.76,6,2,6,有,無,14000000,44337,0,026
房地(土地+建物),嘉義縣太保市北新里11鄰北興路301~330號,1090609,土地1建物1車位0,全,二層,透天厝,38,94.57,3,2,2,有,無,2500000,26435,0,027
房地(土地+建物),北新里北興路301~330號,1100109,土地1建物1車位0,全,二層,透天厝,39,94.57,4,2,3,有,無,5550000,58687,0,027
房地(土地+建物),嘉義縣大林鎮大埔美園區十六路1~30號,1080525,土地3建物1車位0,全,二層,透天厝,1,145.61,4,2,3,有,無,7500000,51507,0,028
