編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPROMLSKLHGGFBQ56DA,海埔段,296.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPPNMLOLLHGGFBQ58DA,文化段,6.30,都市：其他:住宅區,320,32,持分移轉
RPPNMLMLLHGGFBQ38DA,六斗尾段六斗小段,2170.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLOLLHGGFBQ68DA,文化段,1.40,都市：其他:住宅區,50,5,持分移轉
RPRNMLKMLHGGFBQ48DA,義竹段義竹小段,2981.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPPOMLTLLHGGFBQ56DA,新厝段,2.20,都市：其他:住宅區,1,1,全筆移轉
RPPOMLTLLHGGFBQ56DA,新厝段,160.39,都市：其他:住宅區,1,1,全筆移轉
RPQNMLNLLHGGFBQ58DA,貴舍段,4051.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPSNMLKMLHGGFBQ58DA,過路子段,1540.00,非都市：一般農業區 ; 非都市編定：水利用地,2,1,持分移轉
RPSNMLKMLHGGFBQ58DA,過路子段,3687.50,非都市：一般農業區 ; 非都市編定：水利用地,2,1,持分移轉
RPVNMLKMLHGGFBQ88DA,新生段,91.33,都市：其他:住宅區,1,1,全筆移轉
RPUNMLKMLHGGFBQ78DA,新生段,90.25,都市：其他:住宅區,1,1,全筆移轉
RPUNMLTLLHGGFDQ17DA,麻寮段,18.53,都市：其他:住宅區,2500,250,持分移轉
RPPNMLLMLHGGFEQ68DA,大草埔段,2102.57,非都市：山坡地保育區 ; 非都市編定：農牧用地,14,6,持分移轉
RPQNMLLMLHGGFDQ78EA,下塗溝段重劃小段,1147.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPRNMLLMLHGGFCQ78EA,中林段,400.00,非都市：特定農業區 ; 非都市編定：農牧用地,27,3,持分移轉
RPTNMLMKLHGGFCQ78DA,大工一段,184.97,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉
RPSNMLLMLHGGFCQ88EA,永福段,81.56,都市：其他:住,27,3,持分移轉
RPSNMLLMLHGGFCQ88EA,永福段,.11,都市：其他:住,27,3,持分移轉
RPPNMLSLLHGGFCQ09DA,民南段,82.00,都市：其他:住,1,1,全筆移轉
RPQOMLLMLHGGFDQ78DA,鹿草段鹿草小段,2675.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPUNMLRKLHGGFDQ86DA,水東段,80.39,都市：其他:住宅區,1,1,全筆移轉
RPPOMLSKLHGGFDQ56DA,嘉保段,21.19,都市：其他:第二種住宅區,10000,211,持分移轉
RPRNMLKMLHGGFDQ68DA,崙子頂段崙頂小段,1380.00,都市：其他:商業區,1,1,全筆移轉
RPRNMLKMLHGGFDQ68DA,崙子頂段崙頂小段,85.00,都市：其他:綠道用地,1,1,全筆移轉
RPRNMLKMLHGGFDQ68DA,崙子頂段崙頂小段,1127.00,非都市： ; 非都市編定：,1,1,全筆移轉
RPRNMLKMLHGGFDQ68DA,崙子頂段崙頂小段,85.00,都市：其他:綠道用地,1,1,全筆移轉
RPRNMLKMLHGGFDQ68DA,崙子頂段崙頂小段,647.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLTLLHGGFDQ66DA,三和段,80.37,都市：其他:住宅區,1,1,全筆移轉
RPPNMLLMLHGGFDQ58DA,南新段,70.06,都市：其他:農業區,2,1,持分移轉
