鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
屏東巿,房地(土地+建物),頂宅街250巷1~30號,218.9,,一般農業區,甲種建築用地,1100125,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1030516,244.58,5,2,4,有,有,12600000,51517,,0.0,0,,RPQNMLTJLHGGFAT56DA,233.74,0.0,10.84,無,001
屏東巿,房地(土地+建物),崇朝路31~60號,61.19,都市：其他:住宅區,,,1100129,土地2建物1車位0,全,四層,透天厝,集合住宅,鋼筋混凝土造,0810410,192.84,4,2,3,有,無,6000000,31114,,0.0,0,,RPSNMLKKLHGGFAT58DA,131.62,0.0,0.0,無,
屏東巿,房地(土地+建物),崇陽街18巷8弄1~30號,89.0,都市：其他:住宅區,,,1100310,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0731108,102.73,4,1,2,有,無,5000000,48671,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLLKLHGGFAT88DA,98.97,3.76,0.0,無,
屏東巿,房地(土地+建物),大連路1巷1~30號,18.53,都市：其他:住宅區,,,1100207,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0821005,121.4,3,2,2,有,有,3880000,31960,,0.0,0,,RPSOMLRKLHGGFAT76DA,81.35,1.35,10.47,有,
九如鄉,房地(土地+建物),東寧路24巷1~30號,1952.0,,特定農業區,甲種建築用地,1100312,土地5建物1車位0,全,二層,透天厝,住家用,加強磚造,1020325,296.83,7,3,5,有,無,18000000,60641,,0.0,0,其他增建；,RPSNMLTLLHGGFAT96DA,296.83,0.0,0.0,無,002
屏東巿,房地(土地+建物)+車位,公勇路61~90號,3.43,都市：其他:道路用地,,,1100315,土地4建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870312,166.06,4,2,2,有,有,6600000,39745,坡道平面,19.97,0,,RPTNMLKMLHGGFAT88DA,100.79,0.0,12.0,有,
屏東巿,房地(土地+建物),武順街31~60號,21.2,都市：其他:住宅區,,,1100224,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801211,119.07,3,2,2,有,有,2600000,21836,,0.0,0,,RPXNMLKMLHGGFAT66DA,90.57,0.0,3.56,有,
萬丹鄉,土地,新社皮段631~660地號,137.0,,鄉村區,乙種建築用地,1080327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2362222,17242,,0.0,0,,RPPNMLLMLHGGFAT58DA,0.0,0.0,0.0,無,
里港鄉,房地(土地+建物),茄苳路61~90號,95.2,,鄉村區,乙種建築用地,1100315,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090414,181.22,5,2,4,有,無,8150000,44973,,0.0,0,,RPPNMLSLLHGGFBT66DA,165.55,0.0,15.67,無,
高樹鄉,土地,長榮段541~570地號,236.0,都市：其他:住宅區,,,1091225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1411966,5983,,0.0,0,,RPVNMLKMLHGGFBT56DA,0.0,0.0,0.0,無,
高樹鄉,土地,長榮段541~570地號,232.0,都市：其他:住宅區,,,1091225,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1388034,5983,,0.0,0,,RPXNMLKMLHGGFBT76DA,0.0,0.0,0.0,無,
新埤鄉,土地,打鐵段361~390地號,68.33,,鄉村區,乙種建築用地,1100220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,164000,2400,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOLLHGGFCT98DA,0.0,0.0,0.0,無,
新埤鄉,土地,打鐵段511~540地號,64.83,,鄉村區,乙種建築用地,1100220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,155600,2400,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOLLHGGFCT09DA,0.0,0.0,0.0,無,
