編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLTLLHGGFAT96DA,8,296.83,住家用,加強磚造,102年3月25日,二層,一層 二層
RPTNMLKMLHGGFAT88DA,23,112.79,住家用,鋼筋混凝土造,87年3月12日,十四層,十四層
RPTNMLKMLHGGFAT88DA,,53.27,見其他登記事項,鋼筋混凝土造,,十四層,
RPQNMLTJLHGGFAT56DA,7,244.02,住家用,鋼筋混凝土造,103年5月16日,三層,一層 二層 三層
RPQNMLTJLHGGFAT56DA,6,.56,住家用,鋼筋混凝土造,103年10月1日,一層,一層
RPUNMLLKLHGGFAT88DA,36,102.73,住家用,加強磚造,73年11月8日,二層,一層 二層
RPPNMLSLLHGGFBT66DA,1,181.22,住家用,鋼筋混凝土造,109年4月14日,三層,一層 二層 三層 見其他登記事項
RPXNMLKMLHGGFAT66DA,29,94.13,住家用,鋼筋混凝土造,80年12月11日,七層,五層
RPXNMLKMLHGGFAT66DA,29,3.79,公共設施,鋼筋混凝土造,80年12月11日,七層,
RPXNMLKMLHGGFAT66DA,29,5.88,共有部份,鋼筋混凝土造,80年12月11日,七層,
RPXNMLKMLHGGFAT66DA,29,12.32,共有部份,鋼筋混凝土造,80年12月11日,七層,
RPXNMLKMLHGGFAT66DA,29,2.95,共有部份,鋼筋混凝土造,80年12月11日,七層,
RPSNMLKKLHGGFAT58DA,29,131.62,集合住宅,鋼筋混凝土造,81年4月10日,四層,一層 二層 三層 四層
RPSNMLKKLHGGFAT58DA,29,61.22,地下防空避難室,鋼筋混凝土造,81年4月10日,,
RPSOMLRKLHGGFAT76DA,27,93.17,見其他登記事項,鋼筋混凝土造,82年10月5日,十一層,七層
RPSOMLRKLHGGFAT76DA,27,28.23,見其他登記事項,鋼筋混凝土造,82年10月5日,十一層,
RPPNMLKMLHGGFCT68DA,41,102.40,住家用,加強磚造,69年9月8日,二層,一層 二層 騎樓
RPQNMLSLLHGGFCT86DA,15,173.63,住商用,鋼筋混凝土造,95年3月31日,三層,一層 二層 三層 騎樓
