編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPVNMLKMLHGGFBT56DA,長榮段,236.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLLMLHGGFAT58DA,新社皮段,137.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPSNMLTLLHGGFAT96DA,九如段,715.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPSNMLTLLHGGFAT96DA,九如段,278.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPSNMLTLLHGGFAT96DA,九如段,54.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPSNMLTLLHGGFAT96DA,九如段,821.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPSNMLTLLHGGFAT96DA,九如段,84.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPTNMLKMLHGGFAT88DA,新街段三小段,2.34,都市：其他:住宅區,10000,12,持分移轉
RPTNMLKMLHGGFAT88DA,新街段三小段,.23,都市：其他:道路用地,10000,12,持分移轉
RPTNMLKMLHGGFAT88DA,灰段,.69,都市：其他:住宅區,10000,12,持分移轉
RPTNMLKMLHGGFAT88DA,灰段,.16,都市：其他:道路用地,10000,12,持分移轉
RPQNMLTJLHGGFAT56DA,新生段,51.95,非都市：一般農業區 ; 非都市編定：甲種建築用地,21,1,持分移轉
RPQNMLTJLHGGFAT56DA,新生段,160.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPQNMLTJLHGGFAT56DA,新生段,6.95,非都市：一般農業區 ; 非都市編定：甲種建築用地,21,1,持分移轉
RPUNMLLKLHGGFAT88DA,勝興段,11.00,都市：其他:住宅區,1,1,全筆移轉
RPUNMLLKLHGGFAT88DA,勝興段,78.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLSLLHGGFBT66DA,茄苳腳段,95.20,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPXNMLKMLHGGFAT66DA,萬年段,21.20,都市：其他:住宅區,10000,92,持分移轉
RPSNMLKKLHGGFAT58DA,勝興段,.17,都市：其他:住宅區,10000,580,持分移轉
RPSNMLKKLHGGFAT58DA,勝興段,61.02,都市：其他:住宅區,10000,1160,持分移轉
RPSOMLRKLHGGFAT76DA,豐田段,18.53,都市：其他:住宅區,10000,73,持分移轉
RPXNMLKMLHGGFBT76DA,長榮段,109.00,都市：其他:住宅區,1,1,全筆移轉
RPXNMLKMLHGGFBT76DA,長榮段,104.00,都市：其他:住宅區,1,1,全筆移轉
RPXNMLKMLHGGFBT76DA,長榮段,19.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLOLLHGGFCT98DA,打鐵段,68.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,576,48,持分移轉
RPQNMLOLLHGGFCT09DA,打鐵段,64.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,144,24,持分移轉
RPRPMLKMLHGGFCT09DA,上萬安段,38.30,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
SPRPMLKMLHGGFCT56DA,上萬安段,26.04,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
TPRPMLKMLHGGFCT66DA,上萬安段,20.47,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
RPSPMLKMLHGGFCT56DA,上萬安段,30.22,非都市：一般農業區 ; 非都市編定：交通用地,4,1,持分移轉
RPUPMLKMLHGGFCT76DA,上萬安段,30.22,非都市：一般農業區 ; 非都市編定：交通用地,4,1,持分移轉
RPTPMLKMLHGGFCT66DA,上萬安段,30.22,非都市：一般農業區 ; 非都市編定：交通用地,4,1,持分移轉
RPVPMLKMLHGGFCT86DA,上萬安段,30.22,非都市：一般農業區 ; 非都市編定：交通用地,4,1,持分移轉
RPXPMLKMLHGGFCT07DA,上萬安段,162.07,非都市：一般農業區 ; 非都市編定：交通用地,100,43,持分移轉
RPPQMLKMLHGGFCT98DA,上萬安段,218.33,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
RPQQMLKMLHGGFCT09DA,上萬安段,200.08,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
SPQQMLKMLHGGFCT56DA,上萬安段,156.45,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
RPPNMLSLLHGGFCT76DA,德勝段,3097.21,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPSNMLKMLHGGFCT98DA,五魁段,25.97,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPSNMLTLLHGGFCT17DA,萬全段,70.08,都市：其他:農業區,24,3,持分移轉
RPSNMLTLLHGGFCT17DA,萬全段,500.00,都市：其他:農業區,1,1,全筆移轉
RPWPMLKMLHGGFCT96DA,上萬安段,214.84,非都市：一般農業區 ; 非都市編定：交通用地,100,57,持分移轉
RPPNMLKMLHGGFCT68DA,新東段,81.62,都市：其他:住宅區,1,1,全筆移轉
RPQNMLSLLHGGFCT86DA,中洲段,83.01,都市：其他:住宅區,1,1,全筆移轉
RPXNMLQLLHGGFDT47DA,關帝段,1078.61,都市：其他:乙種工業區,1,1,全筆移轉
RPXNMLQLLHGGFDT47DA,關帝段,1078.61,都市：其他:乙種工業區,1,1,全筆移轉
RPQNMLTLLHGGFDT07DA,花矸段,172.05,都市：其他:道路用地,9,2,持分移轉
RPTOMLKMLHGGFCT56DA,新光華段,56.06,都市：其他:住宅區,1,1,全筆移轉
RPXOMLKMLHGGFCT96DA,美和段,8.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,44,持分移轉
RPUNMLQLLHGGFDT17DA,新吉段,57.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPQNMLKMLHGGFDT88DA,壽元段,3250.64,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPUNMLTLLHGGFCT37DA,新光華段,73.99,都市：其他:住宅區,43900,729,持分移轉
RPWNMLNLLHGGFDT07DA,成功段,57.95,非都市：一般農業區 ; 非都市編定：農牧用地,20000,891,持分移轉
RPWNMLNLLHGGFDT07DA,成功段,560.51,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPUNMLPLLHGGFET17DA,四重溪段,5.80,非都市：一般農業區 ; 非都市編定：交通用地,5,1,持分移轉
SPUNMLPLLHGGFET27DA,四重溪段,52.20,非都市：一般農業區 ; 非都市編定：交通用地,5,1,持分移轉
RPSNMLKMLHGGFDT09DA,關帝段,104.68,都市：其他:住宅區,1,1,全筆移轉
TPUNMLPLLHGGFET37DA,四重溪段,2.33,非都市：一般農業區 ; 非都市編定：交通用地,3,1,持分移轉
SPQOMLPLLHGGFET96DA,四重溪段,2.33,非都市：一般農業區 ; 非都市編定：交通用地,3,1,持分移轉
