鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
花蓮市,土地,福德段571~600地號,482.0,農,,,1100218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9950000,20643,,0.0,0,,RPXOMLMLKHGGFAU86DA,0.0,0.0,0.0,無,001
新城鄉,房地(土地+建物),復興路189巷13弄1~30號,127.33,住,,,1100312,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050624,201.1,4,2,5,有,無,12800000,63650,,0.0,0,含裝潢費；含傢俱設備費；,RPVOMLLKLHGGFAU56DA,180.6,0.0,17.75,無,
花蓮市,房地(土地+建物),中興路31~60號,4.41,商,,,1100223,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850208,55.120000000000005,2,1,1,有,有,2300000,41727,,0.0,0,,RPPNMLPLLHGGFAU98DA,38.97,0.0,3.05,有,
花蓮市,房地(土地+建物),美崙市場1~30號,37.0,都市：其他:市場用地,,,1100226,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0611209,122.24,3,2,2,有,無,3800000,31086,,0.0,0,其他                    ；頂樓加蓋；,RPOOMLPLLHGGFAU98DA,122.24,0.0,0.0,無,
花蓮市,房地(土地+建物)+車位,林政街19巷1~30號,25.62,住,,,1100310,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100120,94.48,2,1,1,有,有,7200000,76207,一樓平面,0.0,0,,RPVPMLQLLHGGFAU27DA,52.63,0.0,4.15,有,
花蓮市,房地(土地+建物),林政街19巷1~30號,20.13,住,,,1100310,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100120,54.0,1,1,1,有,有,3840000,71111,,0.0,0,,RPWPMLQLLHGGFAU37DA,32.28,0.0,3.49,有,
花蓮市,房地(土地+建物)+車位,林政街19巷1~30號,25.62,住,,,1100310,土地1建物2車位1,四層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100120,94.48,2,1,1,有,有,6600000,69856,一樓平面,0.0,0,,RPPQMLQLLHGGFAU76DA,52.63,0.0,4.15,有,
吉安鄉,房地(土地+建物),明義二街61~90號,1175.0,農,,,1100309,土地2建物1車位0,一層，二層，三層,三層,農舍,農舍,鋼筋混凝土造,1030124,260.08,5,2,6,有,無,26500000,,,0.0,0,,RPWOMLQLLHGGFAU27DA,241.78,0.0,18.3,無,
花蓮市,房地(土地+建物),林政街19巷1~30號,20.13,住,,,1100310,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1100120,54.0,1,1,1,有,有,3740000,69259,,0.0,0,,RPOPMLQLLHGGFAU56DA,32.28,0.0,3.49,有,
