編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWPMLQLLHGGFAU37DA,,35.77,見其他登記事項,鋼筋混凝土造,110年1月20日,五層,五層
RPVPMLQLLHGGFAU27DA,,56.78,見其他登記事項,鋼筋混凝土造,110年1月20日,五層,五層
RPWPMLQLLHGGFAU37DA,,18.23,見其他登記事項,鋼筋混凝土造,110年1月20日,五層,
RPVPMLQLLHGGFAU27DA,,21.53,見其他登記事項,鋼筋混凝土造,110年1月20日,五層,
RPVPMLQLLHGGFAU27DA,,16.17,見其他登記事項,鋼筋混凝土造,110年1月20日,五層,
RPPQMLQLLHGGFAU76DA,,56.78,見其他登記事項,鋼筋混凝土造,110年1月20日,五層,四層
RPPQMLQLLHGGFAU76DA,,21.53,見其他登記事項,鋼筋混凝土造,110年1月20日,五層,
RPPQMLQLLHGGFAU76DA,,16.17,見其他登記事項,鋼筋混凝土造,110年1月20日,五層,
RPWOMLQLLHGGFAU27DA,7,260.08,農舍,鋼筋混凝土造,103年1月24日,三層,一層 二層 三層
RPOOMLPLLHGGFAU98DA,48,122.24,住商用,鋼筋混凝土造,61年12月9日,三層,一層 二層 三層 騎樓 地下層
RPPNMLPLLHGGFAU98DA,25,42.02,住家用,鋼筋混凝土造,85年2月8日,十二層,九層
RPPNMLPLLHGGFAU98DA,25,13.10,共有部份,鋼筋混凝土造,85年2月8日,十二層,
RPOPMLQLLHGGFAU56DA,,35.77,見其他登記事項,鋼筋混凝土造,110年1月20日,五層,四層
RPOPMLQLLHGGFAU56DA,,18.23,見其他登記事項,鋼筋混凝土造,110年1月20日,五層,
RPVOMLLKLHGGFAU56DA,5,99.17,住家用,鋼筋混凝土造,105年6月24日,四層,一層 二層 三層 四層
RPVOMLLKLHGGFAU56DA,5,99.17,住家用,鋼筋混凝土造,105年6月24日,四層,一層 二層 三層 四層
RPVOMLLKLHGGFAU56DA,5,1.37,共有部份,鋼筋混凝土造,105年6月24日,,
RPVOMLLKLHGGFAU56DA,5,1.37,共有部份,鋼筋混凝土造,105年6月24日,,
RPWNMLTLLHGGFAU47DA,,154.30,住家用,鋼筋混凝土造,110年1月19日,四層,一層 二層 三層 四層 屋頂突出物
RPRNMLKMLHGGFAU78DA,17,225.25,住家用,鋼筋混凝土造,93年7月13日,三層,一層 二層 三層
RPROMLKMLHGGFAU88DA,,49.50,住家用,鋼筋混凝土加強磚造,62年0月0日,一層,一層
RPXNMLKMLHGGFAU76DA,26,178.63,住家用,鋼筋混凝土造,83年11月4日,三層,一層 二層 三層
RPWOMLKMLHGGFAU76DA,,60.35,見其他登記事項,鋼筋混凝土造,109年12月1日,五層,二層
RPWOMLKMLHGGFAU76DA,,22.96,共有部份,鋼筋混凝土造,109年12月1日,五層,
RPWOMLKMLHGGFAU76DA,,16.89,見其他登記事項,鋼筋混凝土造,109年12月1日,五層,
RPUOMLKMLHGGFAU56DA,39,96.85,住家用,鋼筋混凝土加強磚造,70年12月31日,二層,一層 二層
RPTOMLKMLHGGFAU09DA,26,23.76,住家用,鋼筋混凝土造,83年11月15日,十二層,七層
RPTOMLKMLHGGFAU09DA,26,7.56,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPTOMLKMLHGGFAU09DA,26,3.98,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPTNMLKMLHGGFBU09DA,40,106.74,住商用,鋼筋混凝土加強磚造,70年4月9日,二層,一層 二層 騎樓
RPSPMLKMLHGGFAU09DA,,16.02,停車空間,鋼筋混凝土造,108年11月28日,5,
RPQNMLLMLHGGFBU88DA,40,214.34,住商用,鋼筋混凝土造,70年2月24日,三層,一層 二層 三層 騎樓
RPUPMLKMLHGGFAU66DA,26,17.77,住家用,鋼筋混凝土造,84年8月19日,十一層,十層
RPUPMLKMLHGGFAU66DA,26,5.34,共有部份,鋼筋混凝土造,84年8月19日,十一層,
RPVPMLKMLHGGFAU76DA,22,165.09,住家用,鋼筋混凝土造,87年8月15日,三層,一層 二層 三層
RPXNMLLMLHGGFAU86DA,25,25.36,共有部份,鋼筋混凝土造,85年6月25日,八層,
RPXNMLLMLHGGFAU86DA,25,30.48,共有部份,鋼筋混凝土造,85年6月25日,八層,
RPXNMLLMLHGGFAU86DA,25,111.55,住家用,鋼筋混凝土造,85年6月25日,八層,七層
RPXNMLLMLHGGFAU86DA,25,14.13,停車空間,鋼筋混凝土造,85年6月25日,八層,地下一層
RPPOMLLMLHGGFAU78DA,40,81.60,住家用,鋼筋混凝土造,69年12月23日,二層,一層 二層
RPTOMLLMLHGGFAU56DA,25,24.50,住家用,鋼筋混凝土造,84年9月19日,六層,三層
RPTOMLLMLHGGFAU56DA,25,11.28,共有部份,鋼筋混凝土造,84年9月19日,六層,
RPUOMLLMLHGGFAU66DA,5,72.24,住家用,鋼筋混凝土造,105年9月12日,一層,一層
RPOOMLKMLHGGFAU58DA,,32.28,見其他登記事項,鋼筋混凝土造,109年12月1日,五層,二層
RPOOMLKMLHGGFAU58DA,,12.24,共有部份,鋼筋混凝土造,109年12月1日,五層,
RPPOMLKMLHGGFAU68DA,,30.18,見其他登記事項,鋼筋混凝土造,109年12月1日,五層,三層
