編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPXOMLMLKHGGFAU86DA,福德段,482.00,都市：農,1,1,全筆移轉
RPPNMLTLLHGGFAU76DA,東華段,191.98,都市：農,1,1,全筆移轉
RPWPMLQLLHGGFAU37DA,國風段,20.13,都市：住,100,11,持分移轉
RPVPMLQLLHGGFAU27DA,國風段,25.62,都市：住,100,14,持分移轉
RPPQMLQLLHGGFAU76DA,國風段,25.62,都市：住,100,14,持分移轉
RPWOMLQLLHGGFAU27DA,太昌段,1057.00,都市：農,1,1,全筆移轉
RPWOMLQLLHGGFAU27DA,太昌段,118.00,都市：農,1,1,全筆移轉
RPOOMLPLLHGGFAU98DA,民享段,37.00,都市：其他:市場用地,1,1,全筆移轉
RPPNMLPLLHGGFAU98DA,民享段,4.41,都市：商,10000,87,持分移轉
RPOPMLQLLHGGFAU56DA,國風段,20.13,都市：住,100,11,持分移轉
RPVOMLLKLHGGFAU56DA,嘉南段,63.67,都市：住,12,1,持分移轉
RPVOMLLKLHGGFAU56DA,嘉南段,63.67,都市：住,12,1,持分移轉
RPWNMLTLLHGGFAU47DA,宜昌段,47.00,都市：住,1,1,全筆移轉
RPUNMLKMLHGGFBU56DA,南富段,1344.52,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPRNMLKMLHGGFAU78DA,碧雲段,120.00,都市：商,1,1,全筆移轉
RPQNMLQLLHGGFCU76DA,玉城段,227.00,都市：其他:住宅區,1,1,全筆移轉
RPROMLKMLHGGFAU88DA,慈勝段,83.38,都市：其他:住宅區,1,1,全筆移轉
RPXNMLKMLHGGFAU76DA,豐東段,119.25,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPWOMLKMLHGGFAU76DA,樹人段,29.16,都市：住,10000,1736,持分移轉
RPUOMLKMLHGGFAU56DA,嘉北段,95.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPTOMLKMLHGGFAU09DA,富國段,3.34,都市：商,10000,20,持分移轉
RPTNMLKMLHGGFBU09DA,大安段,94.00,都市：其他:住宅區,1,1,全筆移轉
RPVNMLLMLHGGFAU76EA,下台地段,1358.39,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
