編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVPMLQLLHGGFAU27DA,一樓平面,0,,
RPPQMLQLLHGGFAU76DA,一樓平面,0,,
RPWOMLKMLHGGFAU76DA,一樓平面,0,16.89,
RPSPMLKMLHGGFAU09DA,一樓平面,1000000,16.02,
RPXNMLLMLHGGFAU86DA,坡道平面,0,,
RPPOMLKMLHGGFAU68DA,一樓平面,800000,16.89,
RPWOMLMKLHGGFAU76DA,升降機械,0,12.75,
RPTOMLMKLHGGFAU09DA,升降平面,0,,
RPVNMLKMLHGGFAU56DA,升降機械,600000,8.25,
RPSOMLLJMHGGFAU88DA,坡道平面,1500000,25.29,
RPORMLQJMHGGFAU66DA,坡道平面,0,14.01,
RPPQMLLJMHGGFAU78DA,一樓平面,0,16.89,
RPTOMLRJMHGGFAU96DA,升降機械,500000,8.66,
