編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVOMLSJLHGGFAU27CC,13,175.75,住家用,鋼筋混凝土造,96年10月3日,三層,
RPROMLMJLHGGFAU88CC,23,113.84,住家用,鋼筋混凝土造,87年3月3日,四層,
RPQOMLMJLHGGFAU78CC,23,23.42,住家用,鋼筋混凝土造,87年3月3日,四層,
RPUOMLSJLHGGFAU17CC,,25.90,商業用,木造,,一層,
RPOPMLSJLHGGFAU66CC,32,37.66,住家用,鋼筋混凝土造,78年6月3日,五層,
RPOPMLSJLHGGFAU66CC,32,4.06,共有部份,鋼筋混凝土造,78年6月3日,五層,
RPOPMLSJLHGGFAU66CC,32,4.91,共有部份,鋼筋混凝土造,78年6月3日,五層,
RPWNMLKKLHGGFAU56CC,36,252.85,住商用,鋼筋混凝土造,73年9月19日,五層,
RPWOMLSJLHGGFAU37CC,24,39.56,住家用,鋼筋混凝土造,86年1月13日,七層,
RPWOMLSJLHGGFAU37CC,24,16.54,共有部份,鋼筋混凝土造,86年1月13日,七層,
RPUPMLKKLHGGFAU56CC,40,13.34,住家用,鋼筋混凝土加強磚造,69年10月27日,二層,
