編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPVOMLSJLHGGFAU27CC,嘉北段,87.00,都市：住,,,
RPROMLMJLHGGFAU88CC,仁廉段,.00,都市：商,,,
RPQOMLMJLHGGFAU78CC,仁廉段,.00,都市：商,,,
RPUOMLSJLHGGFAU17CC,北濱段,31.00,都市：商,,,
RPUOMLSJLHGGFAU17CC,北濱段,12.00,都市：商,,,
RPOPMLSJLHGGFAU66CC,富國段,13.95,都市：住,,,
RPWNMLKKLHGGFAU56CC,富國段,47.37,都市：商,,,
RPWOMLSJLHGGFAU37CC,自強段,10.89,都市：住,,,
RPUPMLKKLHGGFAU56CC,嘉南段,.00,都市：商,,,
RPUPMLKKLHGGFAU56CC,嘉南段,.00,都市：商,,,
RPUPMLKKLHGGFAU56CC,嘉南段,.00,都市：商,,,
