鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
台東市,房地(土地+建物),仁昌街91~120號,12.91,都市：其他:商業區,,,1100203,土地1建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0830516,106.08,3,2,2,有,有,4480000,42232,,0.0,0,,RPWNMLOJLHGGFAV86DA,78.98,0.0,4.55,有,
台東市,房地(土地+建物),康定街331~360號,166.34,都市：其他:住宅區,,,1100301,土地1建物1車位0,全,三層,透天厝,住宅、樓梯間,ＲＣ造,1070503,288.29,5,2,5,有,無,12800000,44400,,0.0,0,,RPWNMLRKLHGGFAV27DA,257.85,30.44,0.0,無,
台東市,房地(土地+建物),漢口街61~90號,108.88,都市：其他:住宅區,,,1100318,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0871224,223.53,5,2,2,有,無,7800000,34895,,0.0,0,,RPVOMLSKLHGGFAV37DA,194.94,17.71,10.88,無,
卑南鄉,土地,利家段271~300地號,218.0,,山坡地保育區,丙種建築用地,1100322,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1950000,8945,,0.0,0,,RPUNMLTLLHGGFAV37DA,0.0,0.0,0.0,無,
太麻里鄉,土地,蘭里段601~630地號,2562.42,,山坡地保育區,農牧用地,1100301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,507,,0.0,0,,RPQNMLOLLHGGFDV76DA,0.0,0.0,0.0,無,01
太麻里鄉,房地(土地+建物),龍泉路53巷1~30號,16.73,都市：其他:出租旅館區,,,1100310,土地1建物1車位0,五層,八層,套房(1房1廳1衛),出租套房,鋼筋混凝土造,0821108,52.26,1,1,1,有,無,700000,13395,,0.0,0,,RPTNMLOLLHGGFDV07DA,31.5,0.0,6.75,無,
太麻里鄉,房地(土地+建物),龍泉路1~30號,6.53,都市：其他:旅館區,,,1100318,土地1建物1車位0,十二層,十五層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0870306,49.199999999999996,1,1,1,有,有,1030000,20935,,0.0,0,含傢俱設備費；含地政士服務費；,RPPNMLPLLHGGFDV76DA,30.45,0.0,4.85,有,
達仁鄉,土地,台拉段61~90地號,355.28,,鄉村區,乙種建築用地,1091228,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,305541,860,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLQLLHGGFDV86DA,0.0,0.0,0.0,無,
大武鄉,土地,南興段91~120地號,150.0,,鄉村區,乙種建築用地,1100208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,750000,5000,,0.0,0,含土地增值稅或其他稅費；含仲介費；親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQLLHGGFDV96DA,0.0,0.0,0.0,無,
成功鎮,房地(土地+建物),民恒路31~60號,55.77,都市：其他:住宅區,,,1100308,土地2建物1車位0,全,一層,透天厝,住家用,水泥磚木造蓋瓦,,30.81,1,1,1,有,無,1800000,58423,,0.0,0,未登記建物；,RPRNMLTLLHGGFBV17DA,30.81,0.0,0.0,無,02
台東市,房地(土地+建物),更生北路496巷4弄31~60號,45.48,都市：其他:住宅區,,,1100311,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),Ｈ２集合住宅,ＲＣ造,1091222,81.84,3,2,2,有,無,5280000,64516,,0.0,0,,RPVNMLSKLHGGFAV27DA,63.18,3.77,0.0,有,
台東市,房地(土地+建物)+車位,福建路123巷1~30號,52.47,都市：其他:住宅區,,,1100219,土地3建物2車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841021,203.39000000000001,0,0,0,無,無,1000000,4917,坡道平面,0.0,0,,RPSNMLKMLHGGFAV09EA,138.9,0.0,4.93,有,
