交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,蘭里段601~630地號,1020101,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,780000,304,0,01
土地,蘭里段601~630地號,1100301,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1300000,507,0,01
房地(土地+建物),臺東縣成功鎮民?路31~60號,1031108,土地2建物1車位0,全,一層,透天厝,0,30.81,1,1,1,有,無,249934,8112,0,02
房地(土地+建物),民恒路31~60號,1100308,土地2建物1車位0,全,一層,透天厝,-1,30.81,1,1,1,有,無,1800000,58423,0,02
房地(土地+建物),臺東縣臺東市中興路二段450巷1~30號,1090622,土地1建物1車位0,一層,九層,其他,24,39.64,0,0,0,無,有,600000,15132,0,03
車位,台東市中興路二段450巷1~30號,1100122,土地1建物1車位1,一層,九層,其他,25,39.64,0,0,0,有,無,630000,,630000,03
車位,中興路二段450巷1~30號,1100222,土地1建物1車位7,一層,九層,其他,25,277.52,0,0,0,有,無,4200000,,4200000,03
房地(土地+建物)+車位,中興路二段450巷1~30號,1100322,土地1建物1車位1,一層,九層,華廈(10層含以下有電梯),25,39.64,0,0,0,無,有,600000,15132,0,03
房地(土地+建物),臺東縣臺東市志航路一段412巷18弄1~30號,1031104,土地1建物1車位0,全,四層,透天厝,0,283.38,7,2,7,有,無,10500000,37053,0,04
房地(土地+建物),志航路一段412巷18弄1~30號,1100304,土地1建物1車位0,全,四層,透天厝,6,283.38,7,2,7,有,無,13000000,45875,0,04
土地,明峰段1111~1140地號,1011025,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2875000,1149,0,05
土地,明峰段1111~1140地號,1100125,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4770000,1907,0,05
土地,明峰段1081~1110地號,1100325,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3180000,1906,0,05
房地(土地+建物),臺東縣臺東市中興路二段450巷28弄1~30號,1040305,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),19,107.18,3,2,2,有,有,3500000,32655,0,06
房地(土地+建物)+車位,中興路二段450巷28弄1~30號,1100305,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),25,146.82999999999998,3,2,2,有,有,4860000,33100,0,06
土地,公,1100326,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,165159,10316,0,07
土地,公,1100326,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,165159,10316,0,07
土地,龍過脈段31~60地號,1040430,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,3500000,1044,0,08
土地,龍過脈段31~60地號,1100130,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5100000,1522,0,08
土地,梅園段871~900地號,1060111,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,100000,459,0,10
土地,梅園段871~900地號,1100311,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,200000,1311,0,10
