編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPPNMLQLLHGGFDV86DA,台拉段,355.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPUNMLTLLHGGFAV37DA,利家段,218.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉
RPQNMLOLLHGGFDV76DA,蘭里段,2562.42,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPQNMLQLLHGGFDV96DA,南興段,150.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPWNMLRKLHGGFAV27DA,建業段,166.34,都市：其他:住宅區,1,1,全筆移轉
RPRNMLTLLHGGFBV17DA,忠仁段,3.46,都市：其他:住宅區,1,1,全筆移轉
RPRNMLTLLHGGFBV17DA,忠仁段,52.31,都市：其他:住宅區,1,1,全筆移轉
RPVOMLSKLHGGFAV37DA,中正段,16.88,都市：其他:道路用地,1,1,全筆移轉
RPVOMLSKLHGGFAV37DA,中正段,92.00,都市：其他:住宅區,1,1,全筆移轉
RPPNMLPLLHGGFDV76DA,秀山段,6.53,都市：其他:旅館區,100000,105,持分移轉
RPTNMLOLLHGGFDV07DA,秀山段,8.36,都市：其他:出租旅館區,10000,26,持分移轉
RPTNMLOLLHGGFDV07DA,秀山段,8.36,都市：其他:出租旅館區,10000,26,持分移轉
RPTNMLKMLHGGFAV09DA,利家段,2689.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPUNMLKMLHGGFAV56DA,中心段,136.50,都市：其他:住宅區,2,1,持分移轉
RPVNMLSKLHGGFAV27DA,南王段,45.48,都市：其他:住宅區,10000,557,持分移轉
RPSNMLKMLHGGFAV09EA,台東段,4.23,都市：其他:商業區,10000,694,持分移轉
RPSNMLKMLHGGFAV09EA,台東段,39.00,都市：其他:住宅區,10000,694,持分移轉
RPSNMLKMLHGGFAV09EA,台東段,9.23,都市：其他:住宅區,10000,694,持分移轉
RPWNMLOJLHGGFAV86DA,常德段,12.91,都市：其他:商業區,10000,68,持分移轉
RPPOMLTLLHGGFAV96DA,建樂段,8.95,都市：其他:住宅區,10000,45,持分移轉
RPPOMLTLLHGGFAV96DA,建樂段,1.03,都市：其他:農業區,10000,45,持分移轉
RPPNMLKMLHGGFAV68DA,豐年段,.50,都市：其他:住宅區,10000,1,持分移轉
RPQQMLMKLHGGFAV09DA,岩灣段,112.38,都市：其他:住宅區,1,1,全筆移轉
RPRQMLMKLHGGFAV56DA,岩灣段,112.38,都市：其他:住宅區,1,1,全筆移轉
RPPNMLTLLHGGFAV86DA,明峰段,834.32,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉
RPPNMLTLLHGGFAV86DA,明峰段,833.77,非都市：山坡地保育區 ; 非都市編定：農牧用地,3,1,持分移轉
RPTNMLTKKHGGFAV07DA,公西段,15.71,都市：其他:道路用地,1,1,全筆移轉
RPVNMLKMLHGGFAV66DA,興安段,164.01,都市：其他:住宅區,1,1,全筆移轉
RPPOMLTKKHGGFAV76DA,新中寮段,37.83,都市：其他:,1,1,全筆移轉
RPUNMLTKKHGGFAV17DA,公西段,16.01,都市：其他:道路用地,2,1,持分移轉
RPSNMLNJLHGGFAV98DA,龍過脈段,3114.01,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPSNMLNJLHGGFAV98DA,龍過脈段,237.25,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉
RPOPMLSJLHGGFAV66DA,中山段,125.00,都市：其他:住宅區,1,1,全筆移轉
SPQNMLOJLHGGFAV98DA,台東段,21.00,非都市： ; 非都市編定：,1,1,全筆移轉
RPQNMLOJLHGGFAV88DA,台東段,154.00,非都市： ; 非都市編定：,1,1,全筆移轉
TPQNMLOJLHGGFAV09DA,台東段,7.00,都市：其他:住宅區,1,1,全筆移轉
RPQOMLMJLHGGFAV78DA,南王段,38.38,都市：其他:住宅區,10000,470,持分移轉
RPTOMLMJLHGGFAV09DA,南王段,38.38,都市：其他:住宅區,10000,470,持分移轉
RPUNMLSKKHGGFAV07DA,公西段,16.01,都市：其他:道路用地,2,1,持分移轉
RPRNMLTLLHGGFAV07DA,豐年段,18.50,都市：其他:住宅區,10000,37,持分移轉
RPSNMLTLLHGGFAV17DA,新園段,301.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPRNMLPKLHGGFAV56DA,台東段,782.00,都市：其他:住宅區,1,1,全筆移轉
RPRNMLPKLHGGFAV56DA,台東段,78.00,都市：其他:住宅區,1,1,全筆移轉
RPRNMLPKLHGGFAV56DA,台東段,19.00,都市：其他:住宅區,1,1,全筆移轉
RPUOMLOLLHGGFAV96DA,大豐段,2700.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPTNMLLKLHGGFAV98DA,南王段,38.38,都市：其他:住宅區,10000,470,持分移轉
RPPNMLLMLHGGFAV78DA,台東段,243.50,都市：其他:住宅區,2,1,持分移轉
RPOOMLKMLHGGFAV68DA,梅園段,152.56,非都市：山坡地保育區 ; 非都市編定：農牧用地,5,1,持分移轉
