編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPXNMLLMLHGGFAW07DA,中三劃測段,527.00,都市：其他:農業區,1,1,全筆移轉
RPUNMLLJMHGGFAW56DA,中蘭劃測段,600.00,都市：其他:農業區,1,1,全筆移轉
RPPNMLRJMHGGFAW66DA,寧湖三劃段,1000.00,都市：其他:農業區,1,1,全筆移轉
RPPNMLQJMHGGFAW56DA,北九劃段,907.37,都市：其他:農業區,1,1,全筆移轉
RPPNMLQJMHGGFAW56DA,北九劃段,92.63,都市：其他:道路用地,1,1,全筆移轉
RPQNMLLMLHGGFAW98DA,西山段,594.39,都市：其他:農業區,1,1,全筆移轉
RPQNMLLMLHGGFAW98DA,西山段,66.86,都市：其他:道路用地,1,1,全筆移轉
RPWNMLTKLHGGFAW57DA,金門城測段,49.06,都市：其他:自然村專用區,10000,805,持分移轉
SPTNMLMJLHGGFAW56DA,市港段,14.74,都市：其他:第五種住宅區,10000,123,持分移轉
RPRNMLQJMHGGFAW76DA,寧湖一劃段,16.87,都市：其他:自然村專用區,100000,1886,持分移轉
RPTNMLMJLHGGFAW09DA,市港段,14.98,都市：其他:第五種住宅區,10000,125,持分移轉
