編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTOMLRKLHGGFAX27DA,,92.11,見其他登記事項,鋼筋混凝土造,110年1月11日,五層,三層
RPTOMLRKLHGGFAX27DA,,35.49,見其他登記事項,鋼筋混凝土造,110年1月11日,五層,
RPRNMLKMLHGGFAX09DA,25,178.70,住家用,鋼筋混凝土造,85年4月15日,三層,一層 二層 三層
RPUNMLKMLHGGFAX76DA,3,322.84,住家用,鋼筋混凝土造,107年1月24日,三層,一層 二層 三層 見其他登記事項
RPPOMLRKLHGGFAX86DA,,92.11,見其他登記事項,鋼筋混凝土造,110年1月11日,五層,五層
RPPOMLRKLHGGFAX86DA,,35.49,見其他登記事項,鋼筋混凝土造,110年1月11日,五層,
RPSNMLLMLHGGFAX66DA,47,88.14,住家用,鋼筋混凝土加強磚造,62年12月30日,三層,一層 二層 三層
RPSNMLTLLHGGFAX37DA,24,237.69,住家用,鋼筋混凝土造,86年3月20日,四層,一層 二層 三層 四層 電梯樓梯間
RPOOMLRKLHGGFAX76DA,,92.11,集合住宅,鋼筋混凝土造,110年1月11日,五層,四層
RPOOMLRKLHGGFAX76DA,,35.49,電梯、梯廳、安全梯、樓梯間、水箱,鋼筋混凝土造,110年1月11日,五層,
